TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,67.42,67.47,67.345,67.35,12297,12053,0,
20180102 09:31:00,67.45,67.58,67.45,67.56,14215,1100,0,
20180102 09:32:00,67.51,67.56,67.49,67.52,29628,1870,0,
20180102 09:33:00,67.52,67.68,67.49,67.65,56477,25173,0,
20180102 09:34:00,67.54,67.575,67.49,67.49,58206,1700,0,
20180102 09:35:00,67.49,67.51,67.42,67.42,58913,600,0,
20180102 09:36:00,67.4875,67.5,67.41,67.45,61617,2275,0,
20180102 09:37:00,67.51,67.52,67.51,67.52,61979,300,0,
20180102 09:38:00,67.55,67.55,67.55,67.55,62359,200,0,
20180102 09:39:00,67.61,67.61,67.61,67.61,62664,100,0,
20180102 09:40:00,67.64,67.64,67.58,67.58,63271,600,0,
20180102 09:41:00,67.575,67.72,67.57,67.695,65983,2180,0,
20180102 09:42:00,67.72,67.78,67.71,67.78,67374,1000,0,
20180102 09:43:00,67.765,67.765,67.68,67.695,68839,1200,0,
20180102 09:44:00,67.73,67.73,67.725,67.725,69289,450,0,
20180102 09:45:00,67.75,67.86,67.75,67.83,75869,6134,0,
20180102 09:46:00,67.8,67.89,67.8,67.89,77269,948,0,
20180102 09:47:00,67.86,67.88,67.84,67.84,78979,1700,0,
20180102 09:48:00,67.8,67.8,67.8,67.8,79279,200,0,
20180102 09:49:00,67.77,67.77,67.76,67.76,79634,200,0,
20180102 09:50:00,67.79,67.8,67.68,67.71,108581,28400,0,
20180102 09:51:00,67.705,67.74,67.705,67.74,117429,8800,0,
20180102 09:52:00,67.72,67.74,67.66,67.7,125850,7993,0,
20180102 09:53:00,67.705,67.705,67.63,67.63,140161,13920,0,
20180102 09:54:00,67.66,67.66,67.635,67.64,141419,1200,0,
20180102 09:55:00,67.64,67.64,67.57,67.58,143054,1300,0,
20180102 09:56:00,67.6,67.63,67.6,67.63,143828,700,0,
20180102 09:57:00,67.63,67.63,67.59,67.62,144267,400,0,
20180102 09:58:00,67.63,67.66,67.6,67.66,152694,7800,0,
20180102 09:59:00,67.66,67.71,67.64,67.71,160099,7106,0,
20180102 10:00:00,67.71,67.76,67.71,67.76,163487,3000,0,
20180102 10:01:00,67.77,67.78,67.75,67.75,165337,1400,0,
20180102 10:02:00,67.75,67.75,67.74,67.75,166864,1400,0,
20180102 10:03:00,67.76,67.76,67.73,67.74,167814,700,0,
20180102 10:04:00,67.7329,67.75,67.73,67.75,168338,422,0,
20180102 10:06:00,67.77,67.77,67.71,67.725,170471,1944,0,
20180102 10:07:00,67.74,67.74,67.66,67.66,172751,1934,0,
20180102 10:08:00,67.67,67.69,67.67,67.69,174057,1086,0,
20180102 10:09:00,67.68,67.74,67.68,67.74,178193,3950,0,
20180102 10:10:00,67.74,67.75,67.735,67.735,180119,1900,0,
20180102 10:11:00,67.76,67.76,67.7,67.7015,184147,3396,0,
20180102 10:12:00,67.7,67.73,67.7,67.73,184864,700,0,
20180102 10:13:00,67.7,67.7,67.58,67.605,190043,3831,0,
20180102 10:14:00,67.61,67.65,67.57,67.65,194218,3601,0,
20180102 10:15:00,67.6454,67.68,67.6454,67.65,196450,2154,0,
20180102 10:16:00,67.6566,67.69,67.6566,67.69,198410,1769,0,
20180102 10:17:00,67.685,67.685,67.64,67.65,199864,1000,0,
20180102 10:18:00,67.655,67.6607,67.64,67.64,200708,518,0,
20180102 10:19:00,67.62,67.63,67.62,67.63,201884,500,0,
20180102 10:20:00,67.63,67.67,67.63,67.65,204078,1500,0,
20180102 10:21:00,67.64,67.66,67.63,67.63,205027,700,0,
20180102 10:22:00,67.61,67.64,67.61,67.64,206829,1600,0,
20180102 10:23:00,67.63,67.64,67.63,67.64,208066,1100,0,
20180102 10:24:00,67.65,67.68,67.64,67.68,209417,1200,0,
20180102 10:25:00,67.65,67.65,67.65,67.65,209517,100,0,
20180102 10:26:00,67.68,67.69,67.68,67.69,210201,600,0,
20180102 10:27:00,67.7,67.72,67.7,67.7,212773,2406,0,
20180102 10:28:00,67.71,67.75,67.7,67.75,213777,832,0,
20180102 10:30:00,67.75,67.765,67.6945,67.7,215941,1300,0,
20180102 10:31:00,67.72,67.72,67.71,67.71,217009,900,0,
20180102 10:32:00,67.71,67.71,67.71,67.71,217206,100,0,
20180102 10:34:00,67.72,67.72,67.71,67.71,217592,300,0,
20180102 10:35:00,67.73,67.73,67.73,67.73,217765,100,0,
20180102 10:37:00,67.74,67.76,67.65,67.65,227342,8740,0,
20180102 10:38:00,67.65,67.65,67.615,67.615,230510,2700,0,
20180102 10:39:00,67.63,67.65,67.59,67.6,234684,3498,0,
20180102 10:40:00,67.615,67.64,67.615,67.63,235208,300,0,
20180102 10:41:00,67.63,67.65,67.63,67.63,236420,1210,0,
20180102 10:42:00,67.65,67.66,67.64,67.65,237875,900,0,
20180102 10:43:00,67.65,67.685,67.65,67.685,245438,7477,0,
20180102 10:44:00,67.69,67.695,67.68,67.68,248737,2461,0,
20180102 10:45:00,67.69,67.71,67.67,67.7,255441,6203,0,
20180102 10:46:00,67.6898,67.6898,67.6898,67.6898,255987,400,0,
20180102 10:47:00,67.69,67.7,67.63,67.65,272053,14566,0,
20180102 10:48:00,67.65,67.65,67.63,67.64,273110,900,0,
20180102 10:49:00,67.66,67.66,67.66,67.66,273210,100,0,
20180102 10:50:00,67.67,67.69,67.66,67.69,274993,1611,0,
20180102 10:51:00,67.68,67.69,67.68,67.69,275324,200,0,
20180102 10:52:00,67.7,67.71,67.67,67.68,280721,4526,0,
20180102 10:53:00,67.69,67.69,67.69,67.69,280837,100,0,
20180102 10:54:00,67.695,67.72,67.695,67.72,284947,3981,0,
20180102 10:55:00,67.7,67.75,67.68,67.75,286758,1700,0,
20180102 10:56:00,67.74,67.74,67.72,67.72,287533,400,0,
20180102 10:57:00,67.74,67.75,67.74,67.75,290564,2934,0,
20180102 10:58:00,67.74,67.75,67.73,67.75,291083,400,0,
20180102 10:59:00,67.75,67.75,67.735,67.75,293957,2700,0,
20180102 11:00:00,67.75,67.75,67.72,67.75,297119,2900,0,
20180102 11:01:00,67.735,67.75,67.735,67.75,301444,4200,0,
20180102 11:02:00,67.73,67.75,67.73,67.75,302467,900,0,
20180102 11:03:00,67.74,67.74,67.71,67.73,305704,2691,0,
20180102 11:04:00,67.73,67.73,67.72,67.72,306358,404,0,
20180102 11:05:00,67.72,67.72,67.72,67.72,306458,100,0,
20180102 11:06:00,67.74,67.78,67.73,67.75,316377,9477,0,
20180102 11:07:00,67.75,67.83,67.75,67.81,322366,4881,0,
20180102 11:08:00,67.82,67.82,67.7981,67.8,324863,2162,0,
20180102 11:09:00,67.8,67.84,67.8,67.84,328755,3267,0,
20180102 11:10:00,67.84,67.84,67.83,67.84,329196,300,0,
20180102 11:11:00,67.84,67.84,67.82,67.83,331800,2020,0,
20180102 11:13:00,67.811,67.82,67.79,67.79,332687,631,0,
20180102 11:14:00,67.8,67.8,67.8,67.8,332955,200,0,
20180102 11:15:00,67.7701,67.81,67.7701,67.81,333644,516,0,
20180102 11:16:00,67.82,67.87,67.82,67.85,335818,1300,0,
20180102 11:17:00,67.86,67.87,67.8565,67.87,338258,2400,0,
20180102 11:20:00,67.84,67.84,67.82,67.82,339257,300,0,
20180102 11:21:00,67.81,67.81,67.81,67.81,339362,100,0,
20180102 11:22:00,67.76,67.76,67.76,67.76,339643,200,0,
20180102 11:24:00,67.77,67.79,67.76,67.7701,341585,1500,0,
20180102 11:25:00,67.79,67.79,67.73,67.75,346027,3880,0,
20180102 11:26:00,67.7478,67.79,67.7478,67.78,347362,1298,0,
20180102 11:27:00,67.79,67.79,67.74,67.74,349015,1473,0,
20180102 11:28:00,67.75,67.76,67.74,67.76,350418,1100,0,
