TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 08:07:00,54.1,54.1,54.1,54.1,1196,950,0,
20180102 08:14:00,54.1,54.1,54.1,54.1,1546,300,0,
20180102 08:40:00,54.74,54.74,54.74,54.74,1746,200,0,
20180102 09:08:00,54.29,54.29,54.29,54.29,2012,200,0,
20180102 09:14:00,54.12,54.12,54.12,54.12,2112,100,0,
20180102 09:19:00,54.12,54.12,54.1,54.1,2562,450,0,
20180102 09:29:00,54.02,54.02,54.02,54.02,2962,400,0,
20180102 09:30:00,54.06,54.06,54.01,54.01,3362,400,0,
20180102 09:31:00,54,54.01,54,54.01,4495,1100,0,
20180102 09:33:00,54.03,54.03,53.91,54,91224,83723,0,
20180102 09:34:00,53.9838,54.24,53.9838,54.24,113012,21006,0,
20180102 09:35:00,54.15,54.22,54.05,54.065,146699,33408,0,
20180102 09:36:00,54.06,54.265,54.0312,54.265,175939,28165,0,
20180102 09:37:00,54.265,54.379,54.181,54.3648,188981,11897,0,
20180102 09:38:00,54.35,54.44,54.28,54.34,195673,5748,0,
20180102 09:39:00,54.29,54.305,54.255,54.3,204170,6704,0,
20180102 09:40:00,54.311,54.4106,54.29,54.31,212066,7490,0,
20180102 09:41:00,54.37,54.43,54.325,54.34,214803,2421,0,
20180102 09:42:00,54.32,54.34,54.211,54.211,228307,12902,0,
20180102 09:43:00,54.27,54.29,54.22,54.24,235072,6533,0,
20180102 09:44:00,54.259,54.28,54.21,54.265,242832,6565,0,
20180102 09:45:00,54.27,54.29,54.23,54.24,247469,4342,0,
20180102 09:46:00,54.2252,54.2599,54.204,54.204,255362,6500,0,
20180102 09:47:00,54.2,54.23,54.1509,54.23,259964,3531,0,
20180102 09:48:00,54.235,54.28,54.17,54.17,266175,5450,0,
20180102 09:49:00,54.2231,54.23,54.205,54.23,271110,4217,0,
20180102 09:50:00,54.23,54.27,54.19,54.25,278158,6081,0,
20180102 09:51:00,54.26,54.26,54.1,54.21,294296,14978,0,
20180102 09:52:00,54.205,54.2055,54.18,54.2055,295456,1000,0,
20180102 09:53:00,54.18,54.18,54.125,54.14,299718,3200,0,
20180102 09:54:00,54.155,54.28,54.155,54.22,302698,2180,0,
20180102 09:55:00,54.235,54.235,54.235,54.235,303237,100,0,
20180102 09:56:00,54.24,54.24,54.15,54.1615,318526,14803,0,
20180102 09:57:00,54.13,54.16,54.13,54.15,321572,2182,0,
20180102 09:58:00,54.17,54.17,54.14,54.14,324008,2400,0,
20180102 09:59:00,54.15,54.21,54.12,54.125,339387,13537,0,
20180102 10:00:00,54.14,54.3,54.14,54.3,343852,3500,0,
20180102 10:01:00,54.22,54.2605,54.21,54.21,345996,1500,0,
20180102 10:02:00,54.2,54.2,54.16,54.1945,349068,2540,0,
20180102 10:03:00,54.185,54.21,54.185,54.21,350481,850,0,
20180102 10:04:00,54.2,54.21,54.16,54.2,354921,3750,0,
20180102 10:05:00,54.2,54.21,54.18,54.21,359087,3772,0,
20180102 10:06:00,54.2,54.27,54.2,54.27,379489,19381,0,
20180102 10:07:00,54.28,54.34,54.28,54.34,383016,3100,0,
20180102 10:08:00,54.33,54.33,54.25,54.2521,386780,3435,0,
20180102 10:09:00,54.25,54.26,54.2,54.235,387592,501,0,
20180102 10:10:00,54.25,54.28,54.23,54.25,391220,3185,0,
20180102 10:11:00,54.28,54.29,54.24,54.27,398478,6350,0,
20180102 10:12:00,54.265,54.3,54.26,54.3,401362,2050,0,
20180102 10:13:00,54.2856,54.35,54.2802,54.335,405754,3500,0,
20180102 10:14:00,54.337,54.36,54.33,54.335,408487,2330,0,
20180102 10:15:00,54.34,54.37,54.335,54.34,411985,3100,0,
20180102 10:16:00,54.35,54.37,54.34,54.34,419203,6408,0,
20180102 10:17:00,54.35,54.37,54.3376,54.34,423463,3666,0,
20180102 10:18:00,54.35,54.48,54.35,54.47,428805,4890,0,
20180102 10:19:00,54.47,54.47,54.38,54.41,441337,11806,0,
