TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 04:01:00,70.38,70.38,70.38,70.38,100,100,0,
20180102 07:06:00,70.5,70.5,70.5,70.5,3100,3000,0,
20180102 08:00:00,70.5,70.8,70.5,70.7,3500,400,0,
20180102 08:10:00,70.5,70.5,70.5,70.5,5500,2000,0,
20180102 08:12:00,70.7,70.7,70.7,70.7,5675,175,0,
20180102 08:45:00,70.7,70.7,70.7,70.7,6925,1200,0,
20180102 09:01:00,70.62,70.62,70.62,70.62,7634,700,0,
20180102 09:18:00,70.7,70.7,70.7,70.7,7989,350,0,
20180102 09:21:00,70.7,70.8,70.7,70.8,15351,7184,0,
20180102 09:22:00,70.8,70.8,70.8,70.8,15751,400,0,
20180102 09:23:00,70.8,70.8,70.8,70.8,20967,5100,0,
20180102 09:27:00,70.8,70.8,70.8,70.8,21267,300,0,
20180102 09:28:00,70.65,70.84,70.65,70.81,23053,1700,0,
20180102 09:29:00,70.81,70.99,70.8,70.99,191417,10014,0,
20180102 09:30:00,70.77,70.91,70.55,70.85,297073,102299,0,
20180102 09:31:00,70.91,71.08,70.75,71.01,372158,72314,0,
20180102 09:32:00,71.05,71.29,71.04,71.28,415527,41112,0,
20180102 09:33:00,71.29,71.38,71.24,71.3,465603,47519,0,
20180102 09:34:00,71.29,71.29,71.11,71.12,480278,13430,0,
20180102 09:35:00,71.15,71.18,71.04,71.07,502651,21052,0,
20180102 09:36:00,71.05,71.07,70.82,70.84,544959,41457,0,
20180102 09:37:00,70.86,70.99,70.84,70.9,584353,37646,0,
20180102 09:38:00,70.88,70.91,70.73,70.91,619265,32802,0,
20180102 09:39:00,70.91,71.02,70.91,70.99,703050,82919,0,
20180102 09:40:00,70.9875,71.18,70.9875,71.15,790573,85343,0,
20180102 09:41:00,71.145,71.22,71.12,71.19,848007,56021,0,
20180102 09:42:00,71.19,71.22,71.15,71.16,977483,127909,0,
20180102 09:43:00,71.16,71.22,71.12,71.16,1000597,22899,0,
20180102 09:44:00,71.16,71.28,71.15,71.16,1030925,28570,0,
20180102 09:45:00,71.14,71.27,71.14,71.25,1147959,28513,0,
20180102 09:46:00,71.24,71.28,71.18,71.21,1215025,65760,0,
20180102 09:47:00,71.21,71.28,71.18,71.28,1274988,55885,0,
20180102 09:48:00,71.28,71.37,71.275,71.355,1309169,29944,0,
20180102 09:49:00,71.37,71.43,71.34,71.41,1362627,50858,0,
20180102 09:50:00,71.42,71.53,71.42,71.49,1410089,45597,0,
20180102 09:51:00,71.47,71.54,71.45,71.53,1449179,38380,0,
20180102 09:52:00,71.54,71.6,71.5,71.59,1476454,25369,0,
20180102 09:53:00,71.58,71.59,71.49,71.55,1528508,50675,0,
20180102 09:54:00,71.55,71.55,71.5,71.54,1544635,15234,0,
20180102 09:55:00,71.54,71.54,71.44,71.46,1580247,33469,0,
20180102 09:56:00,71.46,71.49,71.45,71.48,1590211,9499,0,
