TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,9.02,9.02,9.02,9.02,800,800,0,
20180102 09:34:00,9,9.065,9,9.065,1243,400,0,
20180102 09:35:00,9,9,9,9,2471,1200,0,
20180102 09:36:00,9,9,9,9,3111,480,0,
20180102 09:37:00,9,9.02,9,9,4611,1400,0,
20180102 09:41:00,9.0001,9.0001,9,9,5266,655,0,
20180102 09:42:00,9,9,9,9,6366,1100,0,
20180102 09:43:00,9,9,9,9,7566,1200,0,
20180102 09:44:00,9.015,9.015,9,9,11100,3534,0,
20180102 09:45:00,9.015,9.03,9,9,13500,2400,0,
20180102 09:51:00,9.04,9.04,9.04,9.04,13625,100,0,
20180102 09:53:00,9.0747,9.0747,9.05,9.05,13971,200,0,
20180102 09:59:00,9.08,9.08,9.08,9.08,14111,140,0,
20180102 10:01:00,9.1,9.1167,9.1,9.1167,14705,500,0,
20180102 10:07:00,9.15,9.165,9.15,9.165,15205,500,0,
20180102 10:08:00,9.21,9.24,9.21,9.23,16511,1300,0,
20180102 10:11:00,9.22,9.22,9.22,9.22,16746,200,0,
20180102 10:13:00,9.2508,9.2508,9.23,9.23,17368,590,0,
20180102 10:15:00,9.24,9.24,9.24,9.24,17468,100,0,
20180102 10:18:00,9.24,9.24,9.24,9.24,17568,100,0,
20180102 10:19:00,9.23,9.23,9.23,9.23,17668,100,0,
20180102 10:23:00,9.23,9.23,9.22,9.22,18521,600,0,
20180102 10:26:00,9.2003,9.2003,9.2003,9.2003,18881,220,0,
20180102 10:28:00,9.24,9.24,9.24,9.24,19006,100,0,
20180102 10:33:00,9.3,9.34,9.3,9.33,20449,796,0,
20180102 10:37:00,9.32,9.32,9.32,9.32,20979,100,0,
20180102 10:41:00,9.31,9.31,9.2512,9.2512,21512,350,0,
20180102 10:51:00,9.36,9.36,9.36,9.36,21973,100,0,
20180102 10:53:00,9.3535,9.3535,9.33,9.33,23302,1141,0,
20180102 10:55:00,9.34,9.34,9.33,9.33,23620,300,0,
20180102 10:57:00,9.33,9.33,9.33,9.33,24231,400,0,
20180102 11:08:00,9.34,9.34,9.34,9.34,24836,100,0,
20180102 11:11:00,9.295,9.295,9.295,9.295,25136,100,0,
20180102 11:13:00,9.28,9.28,9.28,9.28,25236,100,0,
20180102 11:20:00,9.23,9.23,9.23,9.23,25525,100,0,
20180102 11:22:00,9.2115,9.2115,9.2115,9.2115,25899,363,0,
20180102 11:27:00,9.2104,9.2104,9.2104,9.2104,27409,1500,0,
20180102 11:33:00,9.21,9.21,9.2,9.2,28121,600,0,
20180102 11:38:00,9.18,9.18,9.18,9.18,28321,100,0,
20180102 11:40:00,9.18,9.2,9.18,9.2,28521,200,0,
20180102 11:42:00,9.18,9.19,9.17,9.19,29267,600,0,
