TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,59.67,59.67,59.67,59.67,498,498,0,
20180102 09:35:00,59.2747,59.2747,59.2747,59.2747,748,250,0,
20180102 09:37:00,59.48,59.55,59.48,59.55,1248,500,0,
20180102 09:39:00,59.7,59.71,59.5601,59.5601,2263,1010,0,
20180102 09:46:00,59.56,59.56,59.56,59.56,3350,1000,0,
20180102 09:51:00,59.53,59.53,59.53,59.53,3450,100,0,
20180102 09:59:00,59.6149,59.6149,59.6149,59.6149,3632,100,0,
20180102 10:00:00,59.6104,59.6104,59.6104,59.6104,3783,151,0,
20180102 10:14:00,59.675,59.675,59.675,59.675,4483,600,0,
20180102 10:21:00,59.75,59.76,59.75,59.76,4684,201,0,
20180102 10:22:00,59.75,59.75,59.705,59.705,4886,202,0,
20180102 10:31:00,59.761,59.761,59.761,59.761,5653,619,0,
20180102 10:34:00,59.78,59.78,59.78,59.78,5862,100,0,
20180102 10:49:00,59.7757,59.7757,59.7757,59.7757,6178,174,0,
20180102 11:12:00,59.8454,59.89,59.8454,59.89,6476,200,0,
20180102 11:17:00,59.92,59.92,59.92,59.92,6583,100,0,
20180102 11:22:00,59.88,59.88,59.86,59.86,7045,382,0,
20180102 11:30:00,59.88,59.88,59.88,59.88,7985,940,0,
20180102 11:32:00,59.8648,59.89,59.8648,59.89,8435,400,0,
20180102 11:37:00,59.8415,59.8415,59.8415,59.8415,8650,215,0,
20180102 11:40:00,59.92,59.929,59.8893,59.929,9450,800,0,
20180102 12:09:00,59.93,59.93,59.93,59.93,10413,875,0,
20180102 12:13:00,59.9662,59.9662,59.9662,59.9662,10892,479,0,
20180102 12:16:00,60.01,60.01,60.01,60.01,11236,303,0,
20180102 12:27:00,60,60,59.9521,59.9521,12129,891,0,
20180102 12:29:00,59.9855,60.009,59.9541,60.009,13432,1083,0,
20180102 12:36:00,59.9401,59.9401,59.94,59.94,14018,500,0,
20180102 12:43:00,60.01,60.01,59.9786,59.9786,15018,1000,0,
20180102 12:48:00,59.9835,59.9835,59.9835,59.9835,15338,320,0,
20180102 13:00:00,60.07,60.07,60.04,60.04,15599,200,0,
20180102 13:05:00,60.0338,60.0338,60.0338,60.0338,15778,159,0,
20180102 13:09:00,60.08,60.09,60.056,60.056,16378,600,0,
20180102 13:18:00,60.095,60.095,60.095,60.095,16592,109,0,
20180102 13:24:00,60.13,60.13,60.13,60.13,17115,523,0,
20180102 13:53:00,60.21,60.21,60.21,60.21,17249,100,0,
20180102 13:55:00,60.199,60.199,60.199,60.199,17349,100,0,
20180102 13:57:00,60.21,60.21,60.21,60.21,18149,800,0,
20180102 14:01:00,60.22,60.22,60.1951,60.1951,18449,300,0,
20180102 14:04:00,60.24,60.24,60.24,60.24,19279,830,0,
20180102 14:07:00,60.17,60.17,60.14,60.14,22604,3296,0,
20180102 14:08:00,60.11,60.11,60.1,60.11,29269,6437,0,
20180102 14:10:00,60.19,60.19,60.19,60.19,29388,100,0,
20180102 14:17:00,60.19,60.19,60.19,60.19,29678,100,0,
20180102 14:22:00,60.18,60.199,60.18,60.19,30078,400,0,
20180102 14:36:00,60.1576,60.1576,60.1576,60.1576,30517,356,0,
20180102 14:38:00,60.23,60.24,60.23,60.24,30832,315,0,
20180102 14:45:00,60.23,60.23,60.23,60.23,30932,100,0,
20180102 14:52:00,60.25,60.25,60.25,60.25,35298,4173,0,
20180102 14:54:00,60.22,60.22,60.22,60.22,43498,8200,0,
20180102 14:57:00,60.3,60.32,60.3,60.32,45981,2400,0,
20180102 15:03:00,60.2165,60.2165,60.2165,60.2165,48016,2035,0,
20180102 15:22:00,60.37,60.37,60.37,60.37,48838,660,0,
20180102 15:23:00,60.22,60.22,60.22,60.22,49031,193,0,
20180102 15:26:00,60.34,60.36,60.3048,60.3048,49373,300,0,
20180102 15:29:00,60.29,60.29,60.23,60.2894,49701,300,0,
20180102 15:40:00,60.37,60.37,60.33,60.33,53689,3870,0,
20180102 15:42:00,60.36,60.37,60.3416,60.37,57003,3314,0,
20180102 15:47:00,60.42,60.42,60.367,60.367,57403,400,0,
20180102 15:48:00,60.4,60.419,60.3602,60.3602,57853,400,0,
20180102 15:49:00,60.3364,60.3364,60.3364,60.3364,58162,250,0,
20180102 15:52:00,60.42,60.42,60.42,60.42,59152,990,0,
20180102 15:54:00,60.43,60.53,60.43,60.53,70006,10777,0,
20180102 15:55:00,60.34,60.34,60.34,60.34,71406,1400,0,
20180102 15:56:00,60.42,60.42,60.384,60.384,71708,200,0,
20180102 15:59:00,60.43,60.43,60.26,60.3,72950,870,0,
