TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 06:14:00,51.5,51.5,51.5,51.5,200,200,0,
20180102 07:00:00,52,52,52,52,700,400,0,
20180102 07:29:00,52.3,52.3,52.3,52.3,1498,500,0,
20180102 09:01:00,52.3,52.3,52.3,52.3,1698,200,0,
20180102 09:28:00,52.38,52.38,52.38,52.38,2207,500,0,
20180102 09:29:00,52.53,52.56,52.47,52.5,3585,1351,0,
20180102 09:30:00,52.33,52.57,52.23,52.28,57487,51507,0,
20180102 09:31:00,52.29,52.3,52.08,52.08,60468,2597,0,
20180102 09:32:00,52.08,52.17,52.08,52.12,65694,4626,0,
20180102 09:33:00,52.18,52.33,52.18,52.27,82045,14943,0,
20180102 09:34:00,52.265,52.28,52.19,52.26,85581,3021,0,
20180102 09:35:00,52.25,52.3186,52.18,52.225,97503,10566,0,
20180102 09:36:00,52.195,52.195,52.1,52.185,107464,9220,0,
20180102 09:37:00,52.17,52.21,52.13,52.19,131235,21865,0,
20180102 09:38:00,52.2,52.26,52.2,52.23,145550,13299,0,
20180102 09:39:00,52.2249,52.26,52.17,52.17,159250,12422,0,
20180102 09:40:00,52.21,52.23,52.15,52.18,168486,7592,0,
20180102 09:41:00,52.17,52.22,52.16,52.2,174188,5061,0,
20180102 09:42:00,52.24,52.27,52.22,52.24,181196,6426,0,
20180102 09:43:00,52.265,52.265,52.16,52.17,192679,10430,0,
20180102 09:44:00,52.1668,52.18,52.07,52.11,203021,8791,0,
20180102 09:45:00,52.1,52.11,52.01,52.03,218485,14291,0,
20180102 09:46:00,52.03,52.04,52,52.04,235885,16990,0,
20180102 09:47:00,52.04,52.12,52.04,52.12,246042,9300,0,
20180102 09:48:00,52.13,52.14,52.015,52.04,290831,44137,0,
20180102 09:49:00,52.0301,52.0301,51.9,51.9,320799,29102,0,
20180102 09:50:00,51.9,52.01,51.9,52.01,331860,9675,0,
20180102 09:51:00,52.01,52.03,51.99,52.03,342917,10286,0,
20180102 09:52:00,52.01,52.05,51.99,52.05,349513,5654,0,
20180102 09:53:00,52.03,52.085,52.03,52.04,354256,4436,0,
20180102 09:54:00,52.05,52.13,52.05,52.12,361097,6245,0,
20180102 09:55:00,52.12,52.13,52.0783,52.095,367405,3400,0,
20180102 09:56:00,52.08,52.11,52.08,52.1,372129,4400,0,
20180102 09:57:00,52.11,52.19,52.11,52.17,379646,5627,0,
20180102 09:58:00,52.18,52.19,52.16,52.165,383550,3275,0,
20180102 09:59:00,52.2,52.25,52.2,52.21,394868,8843,0,
20180102 10:00:00,52.22,52.28,52.2,52.2598,431054,34620,0,
20180102 10:01:00,52.265,52.265,52.21,52.21,433267,1657,0,
20180102 10:02:00,52.18,52.18,52.09,52.09,437842,4127,0,
20180102 10:03:00,52.1,52.22,52.09,52.21,454832,16196,0,
20180102 10:04:00,52.205,52.205,52.13,52.13,459065,3369,0,
20180102 10:05:00,52.16,52.19,52.1455,52.19,463046,2950,0,
20180102 10:06:00,52.19,52.21,52.19,52.21,466648,3040,0,
20180102 10:07:00,52.22,52.23,52.2,52.23,476775,8943,0,
20180102 10:08:00,52.24,52.25,52.24,52.25,478475,1700,0,
20180102 10:09:00,52.24,52.245,52.23,52.23,489551,10350,0,
20180102 10:10:00,52.22,52.22,52.17,52.17,492479,2800,0,
20180102 10:11:00,52.17,52.19,52.17,52.17,496908,3561,0,
20180102 10:12:00,52.18,52.2,52.18,52.18,501264,3511,0,
20180102 10:13:00,52.18,52.19,52.1771,52.185,502636,1359,0,
20180102 10:14:00,52.18,52.18,52.16,52.17,506888,4087,0,
20180102 10:15:00,52.17,52.19,52.17,52.19,509523,1626,0,
20180102 10:16:00,52.2,52.24,52.2,52.24,517676,7593,0,
20180102 10:17:00,52.24,52.24,52.21,52.23,523450,4581,0,
20180102 10:18:00,52.23,52.23,52.21,52.215,525627,1300,0,
20180102 10:19:00,52.23,52.26,52.21,52.255,541563,15057,0,
20180102 10:20:00,52.26,52.27,52.23,52.23,549486,7542,0,
20180102 10:21:00,52.23,52.27,52.2275,52.2275,564577,14202,0,
20180102 10:22:00,52.22,52.24,52.17,52.17,571178,5545,0,
20180102 10:23:00,52.175,52.18,52.13,52.13,576477,4500,0,
20180102 10:24:00,52.14,52.14,52.119,52.119,579467,2600,0,
20180102 10:25:00,52.11,52.12,52.1,52.116,587375,7300,0,
20180102 10:26:00,52.11,52.14,52.1,52.101,603351,15097,0,
20180102 10:27:00,52.1,52.135,52.1,52.135,609819,4800,0,
20180102 10:28:00,52.14,52.15,52.129,52.15,612539,2000,0,
20180102 10:29:00,52.15,52.18,52.14,52.18,616928,3438,0,
20180102 10:30:00,52.19,52.2,52.17,52.19,619828,2500,0,
20180102 10:31:00,52.18,52.19,52.14,52.15,623353,3226,0,
20180102 10:32:00,52.145,52.19,52.14,52.18,629276,5295,0,
20180102 10:33:00,52.19,52.19,52.13,52.13,633607,2684,0,
20180102 10:34:00,52.13,52.1556,52.13,52.15,635510,1450,0,
20180102 10:35:00,52.15,52.165,52.14,52.15,640189,3546,0,
20180102 10:36:00,52.15,52.15,52.09,52.1,661513,20461,0,
20180102 10:37:00,52.09,52.11,52.07,52.07,681341,17944,0,
20180102 10:38:00,52.08,52.1,52,52.1,695246,12990,0,
20180102 10:39:00,52.0873,52.12,52.0873,52.115,704547,8601,0,
20180102 10:40:00,52.115,52.12,52.09,52.12,720995,14419,0,
20180102 10:41:00,52.14,52.19,52.14,52.19,723848,2401,0,
20180102 10:42:00,52.1999,52.25,52.18,52.205,730585,6215,0,
20180102 10:43:00,52.21,52.21,52.18,52.19,739102,7576,0,
20180102 10:44:00,52.2,52.22,52.19,52.2,743952,3566,0,
20180102 10:45:00,52.18,52.24,52.18,52.24,750062,5600,0,
20180102 10:46:00,52.24,52.2627,52.235,52.235,758259,7030,0,
