TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,39.81,40.05,39.61,40.05,8574,8574,0,
20180102 09:33:00,39.94,39.965,39.94,39.965,8874,300,0,
20180102 09:34:00,39.97,40,39.95,40,11730,2700,0,
20180102 09:35:00,40.05,40.09,39.97,40.09,12661,900,0,
20180102 09:36:00,40.09,40.09,40.01,40.01,12871,200,0,
20180102 09:37:00,40,40,40,40,13171,100,0,
20180102 09:39:00,39.99,39.99,39.98,39.99,13837,500,0,
20180102 09:40:00,40.08,40.09,40.05,40.07,14539,600,0,
20180102 09:41:00,40.07,40.08,40.03,40.03,15939,1300,0,
20180102 09:43:00,39.99,39.99,39.96,39.96,16239,200,0,
20180102 09:44:00,39.95,39.96,39.92,39.92,16639,400,0,
20180102 09:45:00,39.9,39.9,39.84,39.84,18596,1700,0,
20180102 09:46:00,39.85,39.85,39.8,39.8,19196,600,0,
20180102 09:47:00,39.85,39.86,39.83,39.85,21339,1943,0,
20180102 09:48:00,39.88,39.88,39.85,39.8501,22239,900,0,
20180102 09:49:00,39.85,39.85,39.85,39.85,22653,400,0,
20180102 09:50:00,39.83,39.83,39.83,39.83,23040,300,0,
20180102 09:51:00,39.75,39.75,39.7,39.72,23351,300,0,
20180102 09:52:00,39.72,39.72,39.69,39.69,24011,600,0,
20180102 09:53:00,39.67,39.7,39.67,39.7,24714,700,0,
20180102 09:54:00,39.69,39.69,39.67,39.67,25114,400,0,
20180102 09:55:00,39.67,39.67,39.6,39.6,25538,424,0,
20180102 09:56:00,39.62,39.65,39.615,39.62,26946,1406,0,
20180102 09:57:00,39.65,39.66,39.59,39.6,28581,1600,0,
20180102 09:58:00,39.58,39.59,39.56,39.56,29582,1000,0,
20180102 09:59:00,39.55,39.635,39.54,39.59,32713,2900,0,
20180102 10:00:00,39.59,39.67,39.59,39.645,34288,1426,0,
20180102 10:01:00,39.62,39.62,39.62,39.62,34488,200,0,
20180102 10:02:00,39.57,39.58,39.56,39.565,35510,881,0,
20180102 10:03:00,39.59,39.73,39.59,39.73,37461,1870,0,
20180102 10:04:00,39.71,39.71,39.69,39.71,40974,3229,0,
20180102 10:05:00,39.74,39.77,39.74,39.77,41674,700,0,
20180102 10:06:00,39.8,39.8,39.76,39.76,42795,803,0,
20180102 10:07:00,39.725,39.8,39.725,39.8,43824,929,0,
20180102 10:09:00,39.815,39.815,39.815,39.815,44205,200,0,
20180102 10:10:00,39.79,39.815,39.79,39.815,44705,500,0,
20180102 10:11:00,39.76,39.77,39.74,39.74,45613,605,0,
20180102 10:12:00,39.76,39.81,39.76,39.79,47144,1200,0,
20180102 10:13:00,39.77,39.78,39.77,39.78,48690,1286,0,
20180102 10:14:00,39.8,39.81,39.76,39.76,49736,900,0,
20180102 10:15:00,39.755,39.78,39.73,39.75,51534,1400,0,
20180102 10:16:00,39.735,39.74,39.72,39.74,52654,900,0,
20180102 10:17:00,39.71,39.71,39.67,39.67,54039,1200,0,
20180102 10:18:00,39.67,39.67,39.66,39.66,54839,800,0,
20180102 10:19:00,39.65,39.67,39.6,39.61,57388,2200,0,
20180102 10:20:00,39.62,39.66,39.61,39.66,59644,1917,0,
20180102 10:21:00,39.64,39.78,39.64,39.69,63988,4045,0,
20180102 10:23:00,39.69,39.69,39.61,39.68,67533,3000,0,
20180102 10:24:00,39.665,39.665,39.64,39.64,68944,1107,0,
20180102 10:25:00,39.62,39.625,39.61,39.62,70398,1105,0,
20180102 10:26:00,39.61,39.61,39.6,39.6,71079,500,0,
20180102 10:27:00,39.6,39.62,39.6,39.61,71834,500,0,
20180102 10:28:00,39.61,39.63,39.59,39.61,73045,1200,0,
20180102 10:29:00,39.6,39.61,39.6,39.61,74357,1300,0,
20180102 10:30:00,39.63,39.68,39.63,39.63,75718,1238,0,
20180102 10:31:00,39.63,39.655,39.6,39.655,77580,1600,0,
20180102 10:33:00,39.63,39.65,39.62,39.65,79196,1300,0,
20180102 10:34:00,39.66,39.73,39.66,39.73,80196,1000,0,
20180102 10:35:00,39.69,39.72,39.69,39.7,81213,900,0,
20180102 10:36:00,39.7036,39.7036,39.7,39.7,81843,450,0,
20180102 10:37:00,39.68,39.72,39.66,39.66,85193,2940,0,
20180102 10:38:00,39.66,39.66,39.58,39.6,87027,1700,0,
20180102 10:39:00,39.6,39.62,39.6,39.61,89041,2001,0,
20180102 10:40:00,39.58,39.59,39.55,39.56,91259,1900,0,
20180102 10:41:00,39.59,39.61,39.56,39.56,93459,2200,0,
20180102 10:42:00,39.53,39.53,39.53,39.53,94325,500,0,
20180102 10:43:00,39.53,39.59,39.52,39.54,97889,3500,0,
20180102 10:44:00,39.54,39.55,39.51,39.51,100846,2497,0,
