TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 08:29:00,37.7,37.7,37.7,37.7,1000,1000,0,
20180102 08:37:00,37.82,37.82,37.82,37.82,7160,6160,0,
20180102 09:10:00,37.91,37.91,37.9,37.9,7716,500,0,
20180102 09:28:00,37.9,37.9,37.9,37.9,8252,336,0,
20180102 09:30:00,37.8,37.968,37.75,37.75,26771,17192,0,
20180102 09:31:00,37.75,37.75,37.67,37.67,29044,1900,0,
20180102 09:32:00,37.6945,37.81,37.62,37.81,31187,1900,0,
20180102 09:33:00,37.8,37.8,37.68,37.68,35082,3550,0,
20180102 09:34:00,37.7262,37.81,37.67,37.745,43448,7800,0,
20180102 09:35:00,37.934,37.99,37.87,37.91,44710,1100,0,
20180102 09:36:00,38.028,38.1976,38.028,38.132,52978,7870,0,
20180102 09:37:00,38.14,38.145,38.1,38.11,57125,4097,0,
20180102 09:38:00,38.1,38.23,38.02,38.19,68271,10750,0,
20180102 09:39:00,38.28,38.28,38.12,38.13,76426,8056,0,
20180102 09:40:00,38.28,38.35,38.25,38.29,79021,2295,0,
20180102 09:41:00,38.25,38.35,38.25,38.35,80788,1650,0,
20180102 09:42:00,38.3137,38.35,38.26,38.26,86258,5275,0,
20180102 09:43:00,38.32,38.33,38.21,38.21,88317,1700,0,
20180102 09:44:00,38.22,38.22,38.18,38.18,89117,800,0,
20180102 09:45:00,38.26,38.32,38.26,38.3,89929,500,0,
20180102 09:46:00,38.345,38.345,38.3,38.3,92030,2100,0,
20180102 09:47:00,38.3123,38.4,38.3123,38.4,94930,2550,0,
20180102 09:48:00,38.4,38.55,38.4,38.4517,102172,6757,0,
20180102 09:49:00,38.42,38.42,38.365,38.405,104494,2282,0,
20180102 09:50:00,38.4,38.4285,38.39,38.39,106644,1980,0,
20180102 09:51:00,38.5,38.5,38.45,38.45,107209,500,0,
20180102 09:52:00,38.438,38.438,38.2,38.201,109998,2470,0,
20180102 09:53:00,38.3,38.3,38.3,38.3,110108,100,0,
20180102 09:54:00,38.34,38.4,38.34,38.4,112448,2160,0,
20180102 09:55:00,38.396,38.45,38.37,38.43,120335,7577,0,
20180102 09:56:00,38.44,38.51,38.44,38.51,123485,3000,0,
20180102 09:57:00,38.55,38.58,38.52,38.5451,128585,5000,0,
20180102 09:58:00,38.555,38.7,38.555,38.7,139030,9643,0,
20180102 09:59:00,38.75,38.77,38.65,38.7,142861,2886,0,
20180102 10:00:00,38.7,38.7,38.56,38.56,149614,5703,0,
20180102 10:01:00,38.59,38.59,38.37,38.4847,163462,13301,0,
20180102 10:02:00,38.44,38.44,38.43,38.43,163941,323,0,
20180102 10:03:00,38.4688,38.4688,38.325,38.325,165218,1027,0,
20180102 10:04:00,38.4393,38.4393,38.3301,38.3301,166380,1087,0,
20180102 10:05:00,38.33,38.33,38.33,38.33,166864,400,0,
20180102 10:06:00,38.399,38.399,38.3,38.3093,171758,4174,0,
20180102 10:07:00,38.2615,38.265,38.2031,38.2031,173708,1842,0,
20180102 10:08:00,38.25,38.3,38.23,38.3,177474,3200,0,
20180102 10:09:00,38.382,38.382,38.33,38.3445,180910,3400,0,
20180102 10:11:00,38.36,38.42,38.25,38.26,188857,6605,0,
20180102 10:13:00,38.24,38.24,38.092,38.092,191847,2341,0,
20180102 10:14:00,38.14,38.2,38.14,38.1435,193110,850,0,
20180102 10:15:00,38.15,38.15,38.13,38.15,193570,400,0,
20180102 10:16:00,38.14,38.17,38.12,38.12,195155,1500,0,
20180102 10:17:00,38.08,38.17,38.01,38.16,203186,6982,0,
20180102 10:18:00,38.19,38.28,38.19,38.27,213192,8470,0,
20180102 10:19:00,38.27,38.35,38.17,38.17,228923,14938,0,
20180102 10:20:00,38.2,38.2,38.1,38.14,250919,21163,0,
20180102 10:21:00,38.13,38.17,38.11,38.11,254992,3200,0,
20180102 10:22:00,38.12,38.15,38.11,38.11,257611,2300,0,
20180102 10:23:00,38.11,38.15,38.11,38.15,259536,1300,0,
20180102 10:24:00,38.13,38.16,38.13,38.16,263178,3113,0,
20180102 10:25:00,38.17,38.2,38.15,38.1865,266362,2900,0,
20180102 10:26:00,38.2,38.2,38.19,38.19,269091,2500,0,
20180102 10:27:00,38.2,38.22,38.1994,38.2,273080,3459,0,
20180102 10:28:00,38.2537,38.2537,38.2,38.21,274386,1100,0,
20180102 10:29:00,38.18,38.18,38.16,38.16,275106,550,0,
20180102 10:30:00,38.165,38.198,38.15,38.15,275882,650,0,
20180102 10:31:00,38.11,38.12,38.0905,38.0905,276606,500,0,
20180102 10:32:00,38.07,38.2887,38.07,38.26,279196,2050,0,
20180102 10:34:00,38.3,38.35,38.3,38.35,280259,900,0,
20180102 10:35:00,38.3746,38.44,38.3,38.31,283526,3000,0,
20180102 10:36:00,38.3,38.3,38.3,38.3,283736,100,0,
20180102 10:37:00,38.23,38.23,38.18,38.2276,284688,700,0,
20180102 10:38:00,38.15,38.16,38.11,38.11,285397,300,0,
20180102 10:39:00,38.16,38.21,38.15,38.15,289681,3341,0,
20180102 10:40:00,38.1481,38.1481,38.12,38.13,291010,1200,0,
20180102 10:41:00,38.14,38.14,38.14,38.14,291110,100,0,
20180102 10:42:00,38.1604,38.2,38.14,38.17,294185,2300,0,
20180102 10:44:00,38.1313,38.1501,38.1313,38.1501,294634,300,0,
20180102 10:45:00,38.19,38.2,38.18,38.195,298792,3622,0,
20180102 10:46:00,38.2,38.2,38.14,38.14,300413,1400,0,
20180102 10:47:00,38.1428,38.1428,38.02,38.04,302616,1898,0,
