TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,36.95,36.95,36.95,36.95,533,533,0,
20180102 09:35:00,36.85,36.85,36.85,36.85,638,100,0,
20180102 09:36:00,36.8,36.85,36.7,36.85,1548,800,0,
20180102 09:37:00,36.75,36.75,36.75,36.75,1648,100,0,
20180102 09:51:00,36.85,36.85,36.65,36.7,6852,4800,0,
20180102 09:53:00,36.75,36.75,36.75,36.75,6958,100,0,
20180102 09:57:00,36.75,36.75,36.75,36.75,7158,200,0,
20180102 09:59:00,36.75,36.8065,36.75,36.75,8860,1600,0,
20180102 10:03:00,36.75,36.85,36.75,36.85,9215,300,0,
20180102 10:05:00,36.9,36.9,36.9,36.9,9700,400,0,
20180102 10:10:00,36.85,36.85,36.85,36.85,9961,100,0,
20180102 10:13:00,36.8,36.8,36.8,36.8,10362,100,0,
20180102 10:28:00,36.75,36.8,36.7,36.75,14222,3296,0,
20180102 10:29:00,36.75,36.9,36.75,36.9,16127,1700,0,
20180102 10:30:00,36.85,36.85,36.85,36.85,16309,100,0,
20180102 10:32:00,36.85,36.85,36.85,36.85,16409,100,0,
20180102 10:33:00,36.85,36.9,36.85,36.9,16700,200,0,
20180102 10:35:00,36.85,36.9,36.85,36.9,17065,300,0,
20180102 10:37:00,36.85,36.9,36.85,36.9,17485,400,0,
20180102 10:38:00,36.8,36.8,36.75,36.75,17972,300,0,
20180102 10:40:00,36.8,36.8,36.8,36.8,18111,100,0,
20180102 10:42:00,36.85,36.85,36.85,36.85,18216,100,0,
20180102 10:45:00,36.75,36.75,36.75,36.75,18424,100,0,
20180102 10:46:00,36.8299,36.9,36.8,36.9,24736,5924,0,
20180102 10:47:00,36.9,36.9,36.9,36.9,24838,100,0,
20180102 10:52:00,36.95,36.95,36.95,36.95,25181,200,0,
20180102 10:53:00,36.95,36.95,36.95,36.95,25286,100,0,
20180102 10:56:00,36.9,36.9,36.85,36.9,26465,975,0,
20180102 10:57:00,36.85,36.85,36.85,36.85,26570,100,0,
20180102 10:58:00,36.85,36.95,36.85,36.95,26770,200,0,
20180102 11:00:00,36.9,36.9,36.9,36.9,26870,100,0,
20180102 11:03:00,36.95,36.95,36.95,36.95,27480,600,0,
20180102 11:07:00,36.95,36.95,36.95,36.95,27780,300,0,
20180102 11:08:00,37,37,36.95,36.95,28080,300,0,
20180102 11:10:00,36.95,36.95,36.95,36.95,28185,100,0,
20180102 11:11:00,37,37,37,37,28390,200,0,
20180102 11:14:00,36.95,36.95,36.9,36.9,28597,200,0,
20180102 11:15:00,37,37,37,37,28697,100,0,
20180102 11:16:00,36.95,36.95,36.95,36.95,28797,100,0,
20180102 11:18:00,36.9999,36.9999,36.9999,36.9999,29102,299,0,
20180102 11:30:00,36.9,36.9,36.9,36.9,29273,100,0,
20180102 11:32:00,36.9,36.9,36.8,36.85,32067,2450,0,
20180102 11:33:00,36.8,36.8,36.75,36.75,32569,500,0,
20180102 11:34:00,36.75,36.75,36.75,36.75,33474,700,0,
20180102 11:36:00,36.75,36.8,36.75,36.75,34747,1000,0,
20180102 11:37:00,36.75,36.75,36.75,36.75,34847,100,0,
20180102 11:38:00,36.75,36.75,36.75,36.75,35647,600,0,
20180102 11:41:00,36.75,36.75,36.75,36.75,35752,100,0,
20180102 11:42:00,36.75,36.75,36.75,36.75,35852,100,0,
20180102 11:44:00,36.75,36.8,36.75,36.8,37600,1500,0,
20180102 11:45:00,36.8,36.8,36.8,36.8,38037,400,0,
20180102 11:46:00,36.85,36.85,36.85,36.85,38137,100,0,
20180102 11:47:00,36.75,36.75,36.75,36.75,38291,100,0,
20180102 11:50:00,36.75,36.75,36.75,36.75,38391,100,0,
20180102 11:53:00,36.85,36.9,36.85,36.85,39995,1300,0,
20180102 11:54:00,36.85,36.85,36.85,36.85,40295,300,0,
20180102 11:55:00,36.8,36.8,36.8,36.8,40395,100,0,
20180102 11:56:00,36.8,36.8,36.8,36.8,40495,100,0,
20180102 11:57:00,36.8,36.8,36.8,36.8,40813,100,0,
20180102 12:00:00,36.75,36.75,36.75,36.75,40913,100,0,
20180102 12:02:00,36.85,36.85,36.85,36.85,41113,200,0,
20180102 12:04:00,36.85,36.85,36.85,36.85,41270,100,0,
20180102 12:06:00,36.8,36.8,36.8,36.8,41484,200,0,
20180102 12:08:00,36.8,36.9,36.8,36.9,41684,200,0,
20180102 12:10:00,36.85,36.85,36.8,36.8,42309,400,0,
20180102 12:12:00,36.9,36.9,36.9,36.9,42409,100,0,
