TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,100.76,101.49,99.71,101.15,12435,11556,0,
20180102 09:31:00,101.165,101.8,101.165,101.73,15841,2930,0,
20180102 09:32:00,101.5364,102.21,101.5364,102.095,20047,3766,0,
20180102 09:33:00,101.99,102.61,101.97,102.3525,35399,14141,0,
20180102 09:34:00,102.425,103.25,102.301,103.15,44895,8301,0,
20180102 09:35:00,103.08,103.13,102.428,102.428,55732,9014,0,
20180102 09:36:00,102.32,102.57,102.3,102.505,61305,4241,0,
20180102 09:37:00,102.505,102.72,102.485,102.7083,69392,6058,0,
20180102 09:38:00,102.7,102.77,102.655,102.655,73493,3200,0,
20180102 09:39:00,102.7,102.84,102.59,102.785,76789,2500,0,
20180102 09:40:00,102.73,102.86,102.55,102.86,84341,6098,0,
20180102 09:41:00,102.75,102.8303,102.68,102.8003,88118,2577,0,
20180102 09:42:00,102.71,102.87,102.71,102.72,90365,1981,0,
20180102 09:43:00,102.72,103.01,102.72,102.7355,102495,10554,0,
20180102 09:44:00,102.795,102.96,102.795,102.94,103728,1000,0,
20180102 09:45:00,102.94,102.995,102.8,102.895,107494,3100,0,
20180102 09:46:00,102.9,103.12,102.8875,103.055,115088,6450,0,
20180102 09:47:00,103.16,103.36,103.1,103.285,119588,3050,0,
20180102 09:48:00,103.33,103.4,103.2925,103.4,124778,4721,0,
20180102 09:49:00,103.47,103.59,103.4,103.59,143206,16515,0,
20180102 09:50:00,103.555,103.59,103.2,103.22,153616,8195,0,
20180102 09:51:00,103.23,103.59,103.22,103.515,163666,7650,0,
20180102 09:52:00,103.515,103.54,103.25,103.25,169433,5200,0,
20180102 09:53:00,103.24,103.55,103.24,103.55,189564,18120,0,
20180102 09:54:00,103.485,103.87,103.47,103.87,197107,6646,0,
20180102 09:55:00,103.98,104.1,103.795,103.96,205835,6574,0,
20180102 09:56:00,103.96,104.32,103.96,104.32,210773,3900,0,
20180102 09:57:00,104.26,104.439,104.26,104.4,216119,3600,0,
20180102 09:58:00,104.385,104.55,104.385,104.53,233369,14815,0,
20180102 09:59:00,104.47,104.78,104.46,104.745,245055,10000,0,
20180102 10:00:00,104.73,104.75,104.66,104.66,254695,8300,0,
