TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 04:00:00,169.1,169.1,169.1,169.1,955,900,0,
20180102 04:05:00,169.11,169.11,169.11,169.11,1973,937,0,
20180102 04:42:00,169.2,169.2,169.2,169.2,3138,1000,0,
20180102 04:52:00,169.16,169.16,169.16,169.16,3306,168,0,
20180102 04:55:00,169.14,169.14,169.1,169.1,6368,2993,0,
20180102 04:56:00,169.1,169.1,169.1,169.1,6768,312,0,
20180102 04:57:00,169.1,169.1,169.1,169.1,7968,1200,0,
20180102 04:58:00,169.1,169.1,169.1,169.1,8468,500,0,
20180102 04:59:00,169.18,169.18,169.18,169.18,8635,100,0,
20180102 05:00:00,169.25,169.25,169.25,169.25,8735,100,0,
20180102 05:02:00,169.25,169.25,169.25,169.25,8835,100,0,
20180102 05:05:00,169.15,169.15,169.1,169.1,9875,1000,0,
20180102 05:07:00,169.11,169.11,169.11,169.11,10083,150,0,
20180102 05:08:00,169.12,169.29,169.1,169.1,11561,1406,0,
20180102 05:09:00,169.01,169.01,169,169,12387,674,0,
20180102 05:15:00,169.03,169.03,169.03,169.03,12962,499,0,
20180102 05:16:00,169.03,169.03,169.03,169.03,13062,100,0,
20180102 05:19:00,169.19,169.19,169.19,169.19,13213,100,0,
20180102 05:23:00,169.18,169.18,169.18,169.18,13513,300,0,
20180102 05:25:00,169.18,169.19,169.18,169.19,13861,348,0,
20180102 05:45:00,169.35,169.35,169.35,169.35,13981,100,0,
20180102 06:06:00,169.34,169.34,169.34,169.34,14362,200,0,
20180102 06:07:00,169.34,169.34,169.34,169.34,15576,1164,0,
20180102 06:08:00,169.34,169.34,169.34,169.34,19076,3500,0,
20180102 06:44:00,169.48,169.49,169.48,169.49,20024,616,0,
20180102 06:49:00,169.49,169.49,169.49,169.49,20410,300,0,
20180102 06:50:00,169.49,169.49,169.49,169.49,20710,300,0,
20180102 06:53:00,169.49,169.49,169.49,169.49,21056,346,0,
20180102 06:54:00,169.54,169.54,169.54,169.54,21206,100,0,
20180102 06:57:00,169.58,169.67,169.58,169.67,26319,4864,0,
20180102 07:00:00,169.52,169.6,169.51,169.55,30788,4017,0,
20180102 07:02:00,169.6,169.6,169.6,169.6,30888,100,0,
20180102 07:04:00,169.63,169.63,169.63,169.63,31148,100,0,
20180102 07:05:00,169.65,169.65,169.65,169.65,31798,600,0,
20180102 07:06:00,169.68,169.68,169.68,169.68,32001,200,0,
20180102 07:07:00,169.68,169.68,169.68,169.68,33601,1600,0,
20180102 07:10:00,169.7,169.7,169.7,169.7,34079,100,0,
20180102 07:11:00,169.79,169.79,169.76,169.76,35279,1200,0,
20180102 07:12:00,169.81,169.81,169.81,169.81,36419,1140,0,
20180102 07:17:00,169.82,169.82,169.82,169.82,36909,100,0,
20180102 07:18:00,169.81,169.81,169.81,169.81,37265,254,0,
20180102 07:19:00,169.85,169.85,169.85,169.85,38059,500,0,
20180102 07:20:00,169.85,169.85,169.85,169.85,38385,310,0,
20180102 07:22:00,169.82,169.82,169.82,169.82,38634,100,0,
20180102 07:23:00,169.85,169.85,169.85,169.85,38784,150,0,
20180102 07:25:00,169.81,169.81,169.81,169.81,39686,742,0,
20180102 07:28:00,169.85,169.85,169.85,169.85,41523,1767,0,
20180102 07:30:00,169.95,169.95,169.95,169.95,42354,679,0,
20180102 07:31:00,169.98,170.01,169.98,170.01,44058,1607,0,
20180102 07:32:00,170.01,170.04,170,170.04,44981,800,0,
20180102 07:34:00,170.07,170.07,170,170.03,46842,1735,0,
20180102 07:36:00,170.02,170.05,170.01,170.05,52350,5252,0,
20180102 07:37:00,170.05,170.09,170.05,170.09,53050,700,0,
20180102 07:38:00,170.09,170.2,170.09,170.2,54850,1580,0,
20180102 07:39:00,170.09,170.09,170.09,170.09,56592,1600,0,
20180102 07:40:00,170.06,170.07,170.06,170.06,57117,500,0,
20180102 07:41:00,170.07,170.13,170.07,170.13,57867,700,0,
20180102 07:43:00,170.1,170.12,170.1,170.12,58567,625,0,
20180102 07:44:00,170.1,170.1,170.1,170.1,59023,240,0,
20180102 07:45:00,170.05,170.05,170.05,170.05,59193,100,0,
20180102 07:47:00,170.05,170.05,169.96,169.96,63251,3690,0,
20180102 07:52:00,170.04,170.04,170.04,170.04,63460,115,0,
20180102 07:55:00,170.02,170.03,170.02,170.03,63721,230,0,
20180102 07:57:00,170.03,170.05,170.03,170.05,64596,775,0,
20180102 08:00:00,170.01,170.12,169.53,170.01,70856,5825,0,
20180102 08:01:00,170,170.03,170,170,71536,650,0,
20180102 08:02:00,169.9,169.9,169.9,169.9,72226,500,0,
20180102 08:03:00,169.95,169.95,169.9,169.9,73978,1700,0,
20180102 08:05:00,169.9,170,169.81,170,74711,730,0,
20180102 08:06:00,170,170,170,170,75411,612,0,
20180102 08:10:00,169.85,170,169.85,170,78152,2592,0,
20180102 08:11:00,169.95,169.95,169.95,169.95,79799,1647,0,
20180102 08:13:00,169.88,169.88,169.86,169.86,80208,409,0,
20180102 08:14:00,169.95,169.95,169.95,169.95,80401,100,0,
20180102 08:15:00,169.85,169.85,169.85,169.85,80907,450,0,
20180102 08:17:00,169.85,169.85,169.85,169.85,81588,500,0,
20180102 08:18:00,169.86,169.86,169.85,169.85,84113,2500,0,
20180102 08:19:00,169.95,169.95,169.95,169.95,84509,200,0,
20180102 08:20:00,169.98,169.98,169.98,169.98,86713,2000,0,
20180102 08:21:00,169.98,170,169.98,170,89193,2322,0,
20180102 08:22:00,170,170.05,170,170.05,95010,5525,0,
20180102 08:23:00,170.01,170.09,170.01,170.09,99310,4200,0,
20180102 08:24:00,170.09,170.09,170.09,170.09,99635,300,0,
20180102 08:25:00,170.09,170.12,170.07,170.07,106900,7185,0,
20180102 08:26:00,170.07,170.1,170.02,170.1,108500,1567,0,
20180102 08:27:00,170.05,170.05,170.05,170.05,110849,2182,0,
20180102 08:28:00,170.05,170.05,170.01,170.01,112406,1350,0,
20180102 08:29:00,170,170.05,170,170.05,122966,10500,0,
20180102 08:30:00,170.09,170.1,170,170.02,127014,3694,0,
20180102 08:31:00,170,170.12,170,170.12,132478,5456,0,
20180102 08:32:00,170.15,170.15,170.1,170.1,139028,6500,0,
20180102 08:33:00,170.1,170.1,170.1,170.1,139128,100,0,
20180102 08:34:00,170.17,170.17,170.15,170.15,140530,1201,0,
20180102 08:36:00,170.11,170.12,170.08,170.12,140845,300,0,
20180102 08:37:00,170.1,170.1,170.1,170.1,141952,1000,0,
20180102 08:43:00,170.09,170.13,170.09,170.13,144085,2000,0,
20180102 08:45:00,170.14,170.14,170.14,170.14,144525,259,0,
20180102 08:48:00,170.11,170.11,170.11,170.11,145396,300,0,
20180102 08:49:00,170.1,170.12,170.05,170.12,149034,3350,0,
20180102 08:50:00,170.12,170.17,170.12,170.17,162029,12757,0,
20180102 08:51:00,170.19,170.19,170.19,170.19,162871,442,0,
20180102 08:52:00,170.19,170.19,170.19,170.19,163269,225,0,
20180102 08:53:00,170.19,170.19,170.17,170.17,163619,300,0,
20180102 08:54:00,170.15,170.19,170.15,170.15,166757,2951,0,
20180102 08:55:00,170.12,170.15,170.12,170.14,168907,1972,0,
20180102 08:56:00,170.12,170.14,170.12,170.14,169741,834,0,
20180102 08:57:00,170.14,170.14,170.14,170.14,169929,138,0,
20180102 08:58:00,170.14,170.16,170.14,170.15,176246,5732,0,
20180102 08:59:00,170.13,170.13,170.12,170.12,178560,1800,0,
20180102 09:00:00,170.15,170.15,170.15,170.15,178770,160,0,
20180102 09:01:00,170.12,170.18,170.12,170.18,182420,2592,0,
20180102 09:02:00,170.16,170.19,170.14,170.19,184481,1800,0,
20180102 09:03:00,170.19,170.19,170.15,170.15,185450,862,0,
20180102 09:04:00,170.15,170.15,170.15,170.15,185975,500,0,
20180102 09:05:00,170.15,170.15,170.15,170.15,189305,2932,0,
20180102 09:06:00,170.16,170.2,170.16,170.18,191785,2249,0,
20180102 09:07:00,170.16,170.16,170.16,170.16,192381,469,0,
20180102 09:08:00,170.16,170.18,170.15,170.18,193006,600,0,
20180102 09:09:00,170.18,170.22,170.18,170.22,194874,1676,0,
20180102 09:10:00,170.24,170.24,170.24,170.24,195119,100,0,
20180102 09:11:00,170.24,170.27,170.24,170.27,197006,1402,0,
20180102 09:12:00,170.28,170.28,170.2,170.22,202629,5471,0,
20180102 09:13:00,170.19,170.25,170.19,170.25,203700,920,0,
20180102 09:17:00,170.24,170.24,170.18,170.18,205088,1100,0,
20180102 09:19:00,170.2,170.22,170.2,170.22,205978,500,0,
20180102 09:21:00,170.2,170.2,170.19,170.19,207181,1100,0,
20180102 09:22:00,170.19,170.19,170.19,170.19,208899,1600,0,
20180102 09:23:00,170.19,170.19,170.19,170.19,209216,150,0,
20180102 09:24:00,170.19,170.19,170.14,170.14,213461,3699,0,
20180102 09:25:00,170.14,170.14,170.14,170.14,214217,600,0,
20180102 09:26:00,170.06,170.1,170.05,170.1,215567,1222,0,
20180102 09:27:00,170.1,170.1,170.1,170.1,217268,1700,0,
20180102 09:28:00,170.1,170.16,170.1,170.1,223403,5882,0,
20180102 09:29:00,170.15,170.33,170.12,170.22,247650,23739,0,
20180102 09:30:00,170.16,170.22,169.87,169.94,980879,685669,0,
20180102 09:31:00,169.9403,169.95,169.66,169.68,1170223,175024,0,
20180102 09:32:00,169.67,169.89,169.55,169.56,1375644,195410,0,
20180102 09:33:00,169.56,169.56,169.26,169.4,1597769,207614,0,
20180102 09:34:00,169.44,169.65,169.425,169.6499,1798507,189418,0,
20180102 09:35:00,169.64,169.79,169.5,169.6,2040289,232674,0,
20180102 09:36:00,169.605,169.75,169.6,169.721,2168573,118156,0,
20180102 09:37:00,169.7496,170,169.7,169.89,2331728,150887,0,
20180102 09:38:00,169.8899,170.12,169.88,170.12,2467330,127378,0,
20180102 09:39:00,170.1032,170.2,169.96,170.05,2650750,172495,0,
20180102 09:40:00,170.05,170.16,169.96,169.985,2800915,138724,0,
20180102 09:41:00,169.985,170,169.95,169.99,2917750,103176,0,
20180102 09:42:00,169.99,170.31,169.98,170.177,3195256,263412,0,
20180102 09:43:00,170.17,170.29,170.1,170.28,3329793,126208,0,
20180102 09:44:00,170.28,170.35,170.17,170.3499,3523471,185026,0,
20180102 09:45:00,170.335,170.54,170.335,170.47,3876928,336140,0,
20180102 09:46:00,170.475,170.53,170.41,170.5001,4012870,127915,0,
20180102 09:47:00,170.51,170.58,170.44,170.5634,4192676,169029,0,
20180102 09:48:00,170.562,170.73,170.48,170.66,4363291,152153,0,
20180102 09:49:00,170.665,170.92,170.66,170.72,4589626,212822,0,
20180102 09:50:00,170.72,170.88,170.7045,170.84,4704338,105250,0,
20180102 09:51:00,170.831,171.025,170.83,170.92,4940005,218468,0,
20180102 09:52:00,170.91,170.95,170.7401,170.86,5056557,106894,0,
20180102 09:53:00,170.86,170.99,170.8346,170.99,5159934,94471,0,
20180102 09:54:00,170.99,171.04,170.9197,170.98,5252979,85869,0,
20180102 09:55:00,170.98,171.01,170.716,170.7399,5361814,98928,0,
20180102 09:56:00,170.74,170.869,170.71,170.8233,5454184,84155,0,
20180102 09:57:00,170.83,170.91,170.7,170.7043,5530886,69745,0,
20180102 09:58:00,170.6987,170.9102,170.6987,170.87,5592972,54119,0,
20180102 09:59:00,170.87,171.07,170.8668,170.98,5733204,128914,0,
20180102 10:00:00,170.97,171.045,170.86,170.91,5959021,213744,0,
20180102 10:01:00,170.91,171.06,170.87,171.036,6039580,73157,0,
20180102 10:02:00,171.03,171.19,171.02,171.08,6152650,103569,0,
