TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,38.3,38.3,38.3,38.3,840,840,0,
20180102 09:34:00,38.24,38.24,38.23,38.23,1522,590,0,
20180102 09:37:00,38.24,38.24,38.24,38.24,1658,100,0,
20180102 09:38:00,38.25,38.25,38.25,38.25,2236,500,0,
20180102 09:39:00,38.25,38.25,38.24,38.24,2897,600,0,
20180102 09:40:00,38.23,38.27,38.23,38.27,3445,200,0,
20180102 09:41:00,38.23,38.23,38.23,38.23,3547,100,0,
20180102 09:43:00,38.27,38.27,38.22,38.22,3757,200,0,
20180102 09:45:00,38.14,38.14,38.14,38.14,4001,100,0,
20180102 09:47:00,38.2,38.2,38.16,38.16,4601,600,0,
20180102 09:48:00,38.15,38.16,38.14,38.16,5633,932,0,
20180102 09:50:00,38.15,38.16,38.08,38.08,7336,1200,0,
20180102 09:53:00,38.13,38.13,38.06,38.06,7970,300,0,
20180102 09:55:00,38.09,38.09,38.09,38.09,8102,100,0,
20180102 09:56:00,38.13,38.23,38.13,38.21,10696,1994,0,
20180102 09:57:00,38.25,38.25,38.25,38.25,10796,100,0,
20180102 10:00:00,38.23,38.23,38.225,38.225,11296,400,0,
20180102 10:03:00,38.27,38.27,38.27,38.27,11798,350,0,
20180102 10:05:00,38.36,38.36,38.32,38.32,12947,1053,0,
20180102 10:07:00,38.31,38.34,38.28,38.28,16347,3400,0,
20180102 10:08:00,38.26,38.26,38.26,38.26,16777,300,0,
20180102 10:09:00,38.26,38.26,38.24,38.24,17378,600,0,
20180102 10:10:00,38.25,38.25,38.25,38.25,17578,100,0,
20180102 10:11:00,38.27,38.27,38.19,38.19,18587,900,0,
20180102 10:12:00,38.19,38.19,38.19,38.19,18902,100,0,
20180102 10:13:00,38.19,38.22,38.19,38.19,19304,400,0,
20180102 10:15:00,38.25,38.27,38.23,38.23,20105,400,0,
20180102 10:16:00,38.265,38.265,38.265,38.265,20234,100,0,
20180102 10:17:00,38.28,38.28,38.23,38.23,20839,503,0,
20180102 10:18:00,38.24,38.275,38.24,38.275,21138,200,0,
20180102 10:19:00,38.275,38.29,38.24,38.29,22084,900,0,
20180102 10:22:00,38.28,38.28,38.23,38.23,22594,500,0,
