TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,1.03,1.03,1.03,1.03,2602,2602,0,
20180102 09:37:00,1.04,1.04,1.04,1.04,3202,600,0,
20180102 09:38:00,1.03,1.03,1.03,1.03,3602,325,0,
20180102 09:40:00,1.04,1.05,1.04,1.04,4612,990,0,
20180102 09:43:00,1.0376,1.0376,1.03,1.03,5612,1000,0,
20180102 09:45:00,1.03,1.03,1.03,1.03,5712,100,0,
20180102 09:46:00,1.038,1.038,1.038,1.038,5813,100,0,
20180102 09:57:00,1.038,1.038,1.03,1.03,8744,2900,0,
20180102 09:58:00,1.03,1.03,1.03,1.03,8844,100,0,
20180102 10:00:00,1.0369,1.0369,1.03,1.03,10248,1400,0,
20180102 10:01:00,1.03,1.0369,1.03,1.03,12148,1900,0,
20180102 10:02:00,1.0348,1.0348,1.03,1.03,13558,1410,0,
20180102 10:03:00,1.03,1.03,1.03,1.03,13658,100,0,
20180102 10:04:00,1.0341,1.0341,1.03,1.03,15258,1600,0,
20180102 10:08:00,1.04,1.05,1.0394,1.04,18258,3000,0,
20180102 10:21:00,1.0499,1.0499,1.04,1.04,18665,396,0,
20180102 10:25:00,1.05,1.05,1.04,1.05,35433,16700,0,
20180102 10:27:00,1.04,1.04,1.04,1.04,35533,100,0,
20180102 10:32:00,1.0401,1.0401,1.0401,1.0401,35733,200,0,
20180102 10:41:00,1.04,1.04,1.04,1.04,36543,800,0,
20180102 10:44:00,1.0431,1.0431,1.0431,1.0431,36808,200,0,
20180102 10:48:00,1.0457,1.0457,1.0457,1.0457,37115,300,0,
20180102 10:56:00,1.05,1.05,1.04,1.04,38215,1100,0,
20180102 10:57:00,1.05,1.05,1.05,1.05,39715,1500,0,
20180102 11:03:00,1.0438,1.0438,1.0438,1.0438,41215,1500,0,
20180102 11:10:00,1.0407,1.0407,1.0407,1.0407,41815,600,0,
20180102 11:17:00,1.041,1.041,1.0401,1.0401,49820,8000,0,
20180102 11:21:00,1.0494,1.0494,1.0494,1.0494,50320,500,0,
20180102 11:22:00,1.04,1.04,1.04,1.04,50420,100,0,
20180102 11:30:00,1.04,1.04,1.04,1.04,50620,200,0,
20180102 11:34:00,1.0499,1.0499,1.0499,1.0499,53023,2403,0,
20180102 11:41:00,1.041,1.041,1.04,1.04,55130,2100,0,
20180102 11:50:00,1.0479,1.05,1.045,1.05,56145,1015,0,
20180102 11:51:00,1.05,1.05,1.05,1.05,56845,700,0,
20180102 11:52:00,1.05,1.05,1.05,1.05,56945,100,0,
