TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,58.6,58.6,58.6,58.6,5403,5403,0,
20180102 09:31:00,58.775,58.775,58.775,58.775,5507,100,0,
20180102 09:33:00,58.65,58.65,58.65,58.65,5657,100,0,
20180102 09:36:00,58.85,58.95,58.85,58.95,7057,600,0,
20180102 09:43:00,59.05,59.05,59,59,7774,300,0,
20180102 09:46:00,59.1658,59.1658,59.1658,59.1658,8194,220,0,
20180102 09:47:00,59.15,59.15,59.15,59.15,8294,100,0,
20180102 09:48:00,59.15,59.15,59.1,59.1,8841,400,0,
20180102 09:49:00,59.1,59.1,59,59,9240,300,0,
20180102 09:51:00,59.05,59.05,58.95,58.95,10091,700,0,
20180102 09:53:00,58.85,58.85,58.85,58.85,10594,500,0,
20180102 09:56:00,58.95,59,58.95,59,10927,300,0,
20180102 09:58:00,59.05,59.15,59.05,59.15,11191,200,0,
20180102 09:59:00,59.175,59.175,59.05,59.05,12040,835,0,
20180102 10:01:00,59.15,59.15,59.05,59.05,12241,200,0,
20180102 10:04:00,59.2,59.2,59.15,59.15,13003,600,0,
20180102 10:05:00,59.25,59.4,59.25,59.4,14118,1100,0,
20180102 10:06:00,59.4,59.4,59.4,59.4,15698,1400,0,
20180102 10:07:00,59.55,59.675,59.55,59.675,15998,300,0,
20180102 10:12:00,59.65,59.65,59.5,59.5,17352,1000,0,
20180102 10:14:00,59.45,59.45,59.45,59.45,17831,300,0,
20180102 10:15:00,59.5,59.65,59.5,59.6,18831,900,0,
20180102 10:18:00,59.55,59.55,59.55,59.55,19177,300,0,
20180102 10:19:00,59.5,59.5,59.5,59.5,19477,200,0,
20180102 10:23:00,59.4,59.4,59.4,59.4,19903,200,0,
20180102 10:26:00,59.35,59.35,59.35,59.35,21876,1700,0,
20180102 10:27:00,59.25,59.25,59.25,59.25,22576,700,0,
20180102 10:30:00,59.05,59.05,59.05,59.05,22728,100,0,
20180102 10:31:00,59.15,59.2,59,59,26363,3400,0,
20180102 10:32:00,59,59.1,59,59,26783,400,0,
20180102 10:33:00,59,59,59,59,27026,100,0,
20180102 10:34:00,59,59,59,59,27434,100,0,
20180102 10:35:00,59.15,59.15,59.1,59.1,27934,400,0,
20180102 10:36:00,59.05,59.05,59.05,59.05,28179,155,0,
20180102 10:37:00,59.05,59.05,58.75,58.75,30007,1800,0,
20180102 10:38:00,58.7,58.7,58.7,58.7,30160,100,0,
20180102 10:39:00,58.75,58.75,58.65,58.65,30868,400,0,
20180102 10:43:00,58.75,58.75,58.75,58.75,31093,100,0,
20180102 10:44:00,58.85,58.85,58.75,58.85,31839,486,0,
20180102 10:49:00,58.85,58.85,58.839,58.839,32576,500,0,
20180102 10:50:00,58.8,58.8,58.8,58.8,32976,300,0,
20180102 10:52:00,58.7,58.75,58.6,58.7,35077,1990,0,
20180102 10:54:00,58.8,58.8,58.7,58.7,35309,200,0,
20180102 10:55:00,58.7,58.7,58.65,58.65,35825,408,0,
20180102 10:56:00,58.7,58.7,58.55,58.55,37996,2086,0,
20180102 10:58:00,58.6,58.6,58.6,58.6,38506,300,0,
20180102 10:59:00,58.7,58.7,58.7,58.7,39106,400,0,
20180102 11:00:00,58.75,58.75,58.7,58.7,39706,600,0,
20180102 11:07:00,58.7,58.7,58.7,58.7,39894,100,0,
20180102 11:08:00,58.7,58.7,58.7,58.7,40346,300,0,
20180102 11:09:00,58.675,58.675,58.675,58.675,40446,100,0,
20180102 11:10:00,58.7,58.75,58.7,58.75,42496,1786,0,
20180102 11:11:00,58.65,58.65,58.65,58.65,43375,800,0,
20180102 11:12:00,58.8,58.8,58.7,58.75,45276,1900,0,
20180102 11:14:00,58.7,58.7,58.7,58.7,45427,100,0,
20180102 11:18:00,58.75,58.75,58.65,58.7,48561,2893,0,
20180102 11:19:00,58.7,58.7,58.6,58.6,49944,1300,0,
20180102 11:20:00,58.65,58.65,58.65,58.65,50045,100,0,
20180102 11:21:00,58.65,58.65,58.65,58.65,50145,100,0,
20180102 11:23:00,58.605,58.605,58.605,58.605,50245,100,0,
20180102 11:24:00,58.6,58.7,58.6,58.7,50445,200,0,
20180102 11:26:00,58.75,58.75,58.7,58.7,51819,1100,0,
20180102 11:27:00,58.65,58.65,58.65,58.65,51919,100,0,
20180102 11:29:00,58.6,58.625,58.6,58.625,53719,1700,0,
20180102 11:32:00,58.6,58.6,58.55,58.55,54677,956,0,
20180102 11:33:00,58.5,58.5,58.5,58.5,54777,100,0,
20180102 11:37:00,58.5,58.5,58.5,58.5,55040,200,0,
20180102 11:38:00,58.5,58.5,58.4,58.4,56622,1245,0,
20180102 11:39:00,58.4,58.4,58.4,58.4,56722,100,0,
20180102 11:41:00,58.45,58.5,58.45,58.45,59090,2307,0,
20180102 11:42:00,58.5,58.5,58.5,58.5,59490,400,0,
20180102 11:43:00,58.5,58.5,58.45,58.45,60077,500,0,
20180102 11:44:00,58.5,58.5,58.5,58.5,60489,400,0,
20180102 11:45:00,58.5,58.55,58.45,58.5,64741,4000,0,
20180102 11:47:00,58.5,58.5,58.5,58.5,64941,200,0,
20180102 11:48:00,58.5,58.55,58.5,58.5,66197,1100,0,
