TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,77.39,77.45,77.39,77.41,8299,8298,0,
20180102 09:31:00,77.45,77.45,77.45,77.45,8833,534,0,
20180102 09:32:00,77.48,77.48,77.48,77.48,9133,300,0,
20180102 09:33:00,77.46,77.46,77.39,77.4012,10301,1168,0,
20180102 09:34:00,77.39,77.4,77.37,77.37,11201,758,0,
20180102 09:35:00,77.38,77.4,77.36,77.4,12755,1246,0,
20180102 09:36:00,77.41,77.41,77.39,77.39,13955,1146,0,
20180102 09:37:00,77.4,77.43,77.4,77.43,14357,354,0,
20180102 09:38:00,77.43,77.43,77.43,77.43,14557,200,0,
20180102 09:39:00,77.46,77.46,77.46,77.46,14688,100,0,
20180102 09:40:00,77.48,77.48,77.47,77.47,14988,300,0,
20180102 09:41:00,77.46,77.46,77.46,77.46,15338,200,0,
20180102 09:43:00,77.48,77.48,77.47,77.48,16135,632,0,
20180102 09:44:00,77.48,77.4962,77.47,77.48,18432,2039,0,
20180102 09:45:00,77.4861,77.5,77.48,77.5,21403,2929,0,
20180102 09:46:00,77.495,77.495,77.49,77.49,21903,500,0,
20180102 09:48:00,77.52,77.52,77.52,77.52,22008,100,0,
20180102 09:49:00,77.52,77.52,77.52,77.52,22308,200,0,
20180102 09:50:00,77.51,77.515,77.505,77.51,24144,1700,0,
20180102 09:51:00,77.5134,77.52,77.5134,77.52,24519,350,0,
20180102 09:52:00,77.52,77.52,77.52,77.52,24619,100,0,
20180102 09:53:00,77.53,77.53,77.52,77.52,25606,900,0,
20180102 09:54:00,77.52,77.52,77.5058,77.5058,26958,1152,0,
20180102 09:55:00,77.5,77.5,77.46,77.46,34702,7734,0,
20180102 09:56:00,77.46,77.48,77.46,77.48,35203,500,0,
20180102 09:57:00,77.479,77.48,77.479,77.48,35915,625,0,
20180102 09:59:00,77.49,77.49,77.49,77.49,36123,200,0,
20180102 10:00:00,77.5,77.51,77.49,77.5,36931,800,0,
20180102 10:01:00,77.51,77.52,77.5048,77.5048,37283,300,0,
20180102 10:02:00,77.51,77.51,77.51,77.51,37436,153,0,
20180102 10:06:00,77.5,77.5,77.5,77.5,37739,200,0,
20180102 10:09:00,77.4927,77.5,77.4927,77.5,38879,1035,0,
20180102 10:11:00,77.49,77.49,77.49,77.49,39089,200,0,
20180102 10:12:00,77.5,77.5,77.5,77.5,40089,1000,0,
20180102 10:13:00,77.509,77.51,77.4999,77.51,45524,5345,0,
20180102 10:14:00,77.49,77.49,77.49,77.49,46431,900,0,
20180102 10:15:00,77.49,77.495,77.489,77.495,46752,300,0,
20180102 10:16:00,77.495,77.495,77.495,77.495,47152,400,0,
20180102 10:17:00,77.495,77.5,77.495,77.5,47752,600,0,
20180102 10:18:00,77.51,77.51,77.5056,77.51,48332,580,0,
20180102 10:19:00,77.52,77.52,77.51,77.51,48711,372,0,
20180102 10:20:00,77.52,77.52,77.52,77.52,48812,100,0,
20180102 10:21:00,77.5,77.5,77.5,77.5,48966,100,0,
20180102 10:22:00,77.51,77.52,77.51,77.52,49389,400,0,
20180102 10:23:00,77.53,77.53,77.53,77.53,49690,300,0,
20180102 10:24:00,77.5255,77.5255,77.525,77.525,50190,500,0,
20180102 10:25:00,77.53,77.53,77.53,77.53,52940,2700,0,
20180102 10:27:00,77.52,77.52,77.52,77.52,53040,100,0,
20180102 10:28:00,77.52,77.54,77.52,77.525,57493,4431,0,
20180102 10:29:00,77.52,77.52,77.52,77.52,57593,100,0,
20180102 10:30:00,77.51,77.51,77.489,77.49,60393,2800,0,
20180102 10:31:00,77.48,77.5,77.48,77.4964,61337,892,0,
20180102 10:33:00,77.505,77.505,77.505,77.505,61446,109,0,
20180102 10:34:00,77.51,77.51,77.51,77.51,61546,100,0,
20180102 10:35:00,77.515,77.515,77.515,77.515,61660,100,0,
20180102 10:36:00,77.54,77.54,77.54,77.54,61777,100,0,
20180102 10:37:00,77.53,77.53,77.49,77.49,64687,2600,0,
