TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,26.52,26.52,26.52,26.52,18217,3788,0,
20180102 09:31:00,26.51,26.51,26.5,26.5,20867,732,0,
20180102 09:33:00,26.48,26.49,26.36,26.3704,26681,5266,0,
20180102 09:34:00,26.43,26.43,26.39,26.39,27256,400,0,
20180102 09:35:00,26.356,26.41,26.32,26.41,28735,1292,0,
20180102 09:36:00,26.385,26.44,26.385,26.44,29835,1100,0,
20180102 09:37:00,26.441,26.45,26.441,26.446,32426,2400,0,
20180102 09:41:00,26.42,26.43,26.42,26.43,32733,200,0,
20180102 09:42:00,26.43,26.48,26.43,26.48,35128,2100,0,
20180102 09:43:00,26.475,26.475,26.46,26.46,36253,925,0,
20180102 09:44:00,26.49,26.49,26.4679,26.4679,36896,600,0,
20180102 09:45:00,26.45,26.52,26.45,26.495,43242,6300,0,
20180102 09:46:00,26.52,26.52,26.49,26.4989,44721,1400,0,
20180102 09:47:00,26.495,26.495,26.43,26.43,51244,6199,0,
20180102 09:48:00,26.41,26.41,26.41,26.41,51445,100,0,
20180102 09:49:00,26.4,26.4,26.4,26.4,51923,478,0,
20180102 09:50:00,26.33,26.33,26.32,26.32,52446,300,0,
20180102 09:51:00,26.3475,26.3475,26.3475,26.3475,52546,100,0,
20180102 09:52:00,26.31,26.31,26.31,26.31,52948,200,0,
20180102 09:53:00,26.31,26.31,26.31,26.31,53258,310,0,
20180102 09:54:00,26.28,26.31,26.27,26.31,56476,3100,0,
20180102 09:55:00,26.3,26.365,26.3,26.365,59286,2400,0,
20180102 09:56:00,26.35,26.365,26.3384,26.3384,60490,1200,0,
20180102 10:00:00,26.41,26.44,26.41,26.44,60992,200,0,
20180102 10:01:00,26.4613,26.4613,26.4613,26.4613,61270,200,0,
20180102 10:02:00,26.47,26.47,26.47,26.47,61545,275,0,
20180102 10:04:00,26.5,26.5,26.49,26.49,62661,800,0,
20180102 10:05:00,26.5,26.5,26.5,26.5,62861,100,0,
20180102 10:06:00,26.51,26.51,26.49,26.49,63981,700,0,
20180102 10:07:00,26.48,26.49,26.48,26.48,65562,1450,0,
20180102 10:08:00,26.45,26.4811,26.45,26.4811,66895,1268,0,
20180102 10:09:00,26.48,26.5,26.47,26.47,68370,1475,0,
20180102 10:10:00,26.4927,26.4927,26.4831,26.4831,68795,400,0,
20180102 10:12:00,26.4829,26.4829,26.4829,26.4829,69045,250,0,
20180102 10:13:00,26.47,26.47,26.47,26.47,69474,300,0,
20180102 10:15:00,26.46,26.46,26.46,26.46,69787,200,0,
20180102 10:16:00,26.45,26.4634,26.45,26.4634,70887,1070,0,
20180102 10:17:00,26.47,26.5,26.47,26.5,73309,1800,0,
20180102 10:22:00,26.51,26.51,26.51,26.51,73514,100,0,
20180102 10:23:00,26.52,26.52,26.51,26.51,73914,400,0,
20180102 10:25:00,26.51,26.53,26.48,26.48,74639,500,0,
20180102 10:26:00,26.49,26.49,26.48,26.48,75020,300,0,
20180102 10:28:00,26.47,26.48,26.47,26.48,75322,200,0,
20180102 10:29:00,26.48,26.48,26.48,26.48,75722,400,0,
20180102 10:33:00,26.49,26.5,26.49,26.5,77343,1084,0,
20180102 10:34:00,26.5,26.5,26.5,26.5,77542,100,0,
20180102 10:35:00,26.5,26.51,26.5,26.51,78347,400,0,
20180102 10:36:00,26.5,26.5,26.49,26.49,79310,700,0,
20180102 10:37:00,26.49,26.49,26.45,26.45,80835,1090,0,
20180102 10:38:00,26.41,26.41,26.41,26.41,81158,100,0,
20180102 10:40:00,26.44,26.44,26.41,26.41,82328,1100,0,
20180102 10:41:00,26.45,26.45,26.45,26.45,82430,100,0,
20180102 10:45:00,26.44,26.44,26.44,26.44,83483,731,0,
20180102 10:47:00,26.45,26.45,26.45,26.45,83933,200,0,
20180102 10:48:00,26.45,26.46,26.45,26.46,84633,700,0,
20180102 10:49:00,26.45,26.45,26.45,26.45,85251,600,0,
20180102 10:52:00,26.44,26.48,26.44,26.48,86951,1390,0,
20180102 10:55:00,26.48,26.48,26.45,26.45,88284,1000,0,
20180102 10:56:00,26.4484,26.4484,26.42,26.42,88984,500,0,
20180102 10:58:00,26.4232,26.43,26.4232,26.43,90446,1300,0,
20180102 11:01:00,26.44,26.44,26.44,26.44,90761,300,0,
20180102 11:02:00,26.43,26.45,26.43,26.45,91121,200,0,
20180102 11:04:00,26.4,26.4,26.4,26.4,91611,200,0,
20180102 11:06:00,26.4,26.42,26.4,26.42,92241,400,0,
20180102 11:07:00,26.42,26.44,26.42,26.43,93592,900,0,
20180102 11:08:00,26.45,26.45,26.45,26.45,93713,100,0,
20180102 11:09:00,26.44,26.44,26.42,26.42,94463,501,0,
20180102 11:10:00,26.42,26.42,26.41,26.42,95063,500,0,
20180102 11:13:00,26.43,26.43,26.43,26.43,95173,100,0,
20180102 11:14:00,26.42,26.42,26.42,26.42,96143,345,0,
20180102 11:15:00,26.42,26.43,26.42,26.43,97243,1100,0,
20180102 11:16:00,26.43,26.43,26.43,26.43,97343,100,0,
20180102 11:17:00,26.45,26.48,26.45,26.48,98193,800,0,
20180102 11:18:00,26.5,26.52,26.49,26.49,100118,1200,0,
20180102 11:19:00,26.48,26.48,26.48,26.48,100858,425,0,
20180102 11:20:00,26.4593,26.4593,26.435,26.435,101395,500,0,
20180102 11:21:00,26.4392,26.45,26.4392,26.45,102545,1150,0,
20180102 11:22:00,26.44,26.44,26.44,26.44,102828,181,0,
20180102 11:23:00,26.44,26.45,26.43,26.43,104382,1500,0,
20180102 11:25:00,26.45,26.45,26.45,26.45,104621,100,0,
20180102 11:26:00,26.45,26.47,26.45,26.47,105521,500,0,
20180102 11:27:00,26.49,26.5,26.48,26.48,107664,1600,0,
20180102 11:28:00,26.46,26.46,26.46,26.46,107764,100,0,
20180102 11:29:00,26.46,26.46,26.46,26.46,107864,100,0,
20180102 11:31:00,26.46,26.4692,26.46,26.46,110324,2460,0,
20180102 11:32:00,26.46,26.46,26.46,26.46,110934,300,0,
20180102 11:33:00,26.43,26.43,26.43,26.43,111153,100,0,
20180102 11:34:00,26.41,26.43,26.41,26.43,111713,460,0,
20180102 11:35:00,26.41,26.41,26.41,26.41,111813,100,0,
20180102 11:36:00,26.42,26.42,26.42,26.42,111914,100,0,
20180102 11:37:00,26.44,26.44,26.44,26.44,112916,500,0,
20180102 11:38:00,26.42,26.42,26.42,26.42,113118,100,0,
20180102 11:39:00,26.4,26.41,26.4,26.41,113733,400,0,
20180102 11:41:00,26.42,26.42,26.42,26.42,114355,600,0,
20180102 11:43:00,26.4,26.41,26.4,26.4,115404,825,0,
20180102 11:44:00,26.41,26.42,26.41,26.42,116229,600,0,
20180102 11:45:00,26.42,26.42,26.41,26.41,117577,1200,0,
20180102 11:46:00,26.42,26.42,26.41,26.41,118139,361,0,
20180102 11:47:00,26.41,26.41,26.41,26.41,118239,100,0,
20180102 11:49:00,26.41,26.42,26.41,26.42,119060,700,0,
20180102 11:50:00,26.43,26.43,26.43,26.43,119263,200,0,
20180102 11:51:00,26.4276,26.4276,26.4276,26.4276,119429,100,0,
20180102 11:53:00,26.44,26.44,26.43,26.43,120047,400,0,
20180102 11:54:00,26.4352,26.4352,26.4352,26.4352,120942,895,0,
20180102 11:56:00,26.43,26.44,26.4,26.4,122860,1803,0,
20180102 11:59:00,26.4,26.4,26.4,26.4,123394,300,0,
20180102 12:01:00,26.39,26.39,26.39,26.39,123651,100,0,
20180102 12:02:00,26.4,26.4,26.4,26.4,123793,100,0,
20180102 12:03:00,26.41,26.41,26.41,26.41,123993,100,0,
20180102 12:04:00,26.39,26.39,26.37,26.37,125279,700,0,
20180102 12:06:00,26.37,26.4,26.37,26.4,128908,3416,0,
20180102 12:07:00,26.4,26.42,26.4,26.42,130634,1000,0,
20180102 12:09:00,26.4176,26.4176,26.4176,26.4176,130834,100,0,
20180102 12:10:00,26.4254,26.4254,26.4,26.42,131993,963,0,
