TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,25.05,25.05,25.05,25.05,3494,3494,0,
20180102 09:33:00,25.07,25.07,25.07,25.07,3594,100,0,
20180102 09:34:00,25.075,25.075,24.955,25.05,5086,1400,0,
20180102 09:35:00,25.1,25.1,25,25,5386,300,0,
20180102 09:36:00,25,25,25,25,7086,1600,0,
20180102 09:43:00,25.05,25.05,25.05,25.05,7187,100,0,
20180102 09:45:00,25.05,25.05,25.05,25.05,7481,250,0,
20180102 09:46:00,25,25.05,25,25.05,7781,300,0,
20180102 09:47:00,25,25,25,25,8781,1000,0,
20180102 09:49:00,25.025,25.025,25.025,25.025,8959,100,0,
20180102 09:50:00,25,25.025,25,25.025,9659,700,0,
20180102 10:00:00,25,25,25,25,10309,600,0,
20180102 10:01:00,25.0205,25.0205,25.0205,25.0205,10621,312,0,
20180102 10:03:00,25.04,25.04,25.04,25.04,12181,1500,0,
20180102 10:04:00,25.05,25.05,25.05,25.05,14609,2300,0,
20180102 10:05:00,25.1,25.15,25.05,25.1,17997,3345,0,
20180102 10:11:00,25.1308,25.15,25.1308,25.15,18222,225,0,
20180102 10:13:00,25.15,25.2,25.1,25.2,28473,9817,0,
20180102 10:15:00,25.1306,25.2,25.105,25.2,41543,12910,0,
20180102 10:16:00,25.1475,25.16,25.1475,25.16,42362,719,0,
20180102 10:17:00,25.15,25.15,25.1,25.125,44287,1925,0,
20180102 10:19:00,25.125,25.125,25.125,25.125,44587,200,0,
20180102 10:21:00,25.125,25.125,25.1241,25.1241,45187,555,0,
20180102 10:22:00,25.15,25.15,25.125,25.125,45387,200,0,
20180102 10:23:00,25.15,25.15,25.15,25.15,45687,200,0,
20180102 10:24:00,25.15,25.15,25.15,25.15,45787,100,0,
20180102 10:25:00,25.15,25.15,25.15,25.15,46087,300,0,
20180102 10:26:00,25.15,25.15,25.15,25.15,48815,2687,0,
20180102 10:27:00,25.2,25.2,25.2,25.2,48915,100,0,
20180102 10:28:00,25.2,25.2,25.2,25.2,49415,500,0,
20180102 10:31:00,25.2,25.2,25.2,25.2,49682,100,0,
20180102 10:32:00,25.1525,25.1525,25.1525,25.1525,50082,400,0,
20180102 10:33:00,25.2,25.2,25.2,25.2,50182,100,0,
20180102 10:34:00,25.2,25.2,25.2,25.2,50282,100,0,
20180102 10:35:00,25.1617,25.2,25.1617,25.2,50581,298,0,
20180102 10:39:00,25.15,25.15,25.15,25.15,50899,200,0,
20180102 10:40:00,25.1255,25.1255,25.1255,25.1255,51199,300,0,
20180102 10:41:00,25.13,25.13,25.13,25.13,51339,140,0,
20180102 10:42:00,25.125,25.15,25.125,25.15,51765,426,0,
20180102 10:43:00,25.117,25.117,25.117,25.117,52135,370,0,
20180102 10:44:00,25.15,25.15,25.15,25.15,52237,100,0,
20180102 10:45:00,25.1295,25.1295,25.1248,25.1248,52737,500,0,
20180102 10:46:00,25.1,25.1,25.1,25.1,53737,1000,0,
20180102 10:47:00,25.131,25.131,25.131,25.131,54237,500,0,
20180102 10:50:00,25.125,25.1273,25.1,25.1,60402,5905,0,
20180102 10:53:00,25.075,25.075,25.075,25.075,60591,100,0,
20180102 10:56:00,25.075,25.075,25.075,25.075,61391,800,0,
20180102 10:57:00,25.0597,25.075,25.05,25.05,63981,2360,0,
20180102 11:05:00,25.0838,25.1,25.0821,25.0821,67193,3032,0,
20180102 11:06:00,25.075,25.075,25.075,25.075,67293,100,0,
20180102 11:10:00,25.075,25.075,25.075,25.075,67492,100,0,
20180102 11:13:00,25.075,25.075,25.075,25.075,67678,100,0,
20180102 11:18:00,25.075,25.1,25.075,25.1,68598,686,0,
20180102 11:19:00,25.0825,25.0825,25.0825,25.0825,69498,800,0,
20180102 11:20:00,25.05,25.075,25.05,25.075,69874,372,0,
20180102 11:21:00,25.1,25.1,25.1,25.1,70174,300,0,
20180102 11:24:00,25.075,25.1,25.075,25.1,71136,918,0,
20180102 11:27:00,25.0718,25.0718,25.0718,25.0718,71948,725,0,
20180102 11:30:00,25.095,25.095,25.095,25.095,73948,2000,0,
20180102 11:31:00,25.075,25.075,25.075,25.075,74050,100,0,
20180102 11:33:00,25.08,25.08,25.05,25.05,76846,2525,0,
20180102 11:34:00,25.05,25.05,25.05,25.05,77046,200,0,
20180102 11:36:00,25.1,25.1,25.1,25.1,77786,700,0,
20180102 11:39:00,25.0772,25.0772,25.075,25.075,78838,900,0,
20180102 11:41:00,25.0668,25.0668,25.0668,25.0668,79318,480,0,
20180102 11:42:00,25.0773,25.0773,25.0773,25.0773,80147,800,0,
20180102 11:43:00,25.0773,25.0773,25.0773,25.0773,80947,800,0,
20180102 11:44:00,25.0703,25.0703,25.0703,25.0703,81949,1000,0,
20180102 11:45:00,25.075,25.075,25.075,25.075,82249,200,0,
20180102 11:46:00,25.075,25.075,25.05,25.05,82724,400,0,
20180102 11:47:00,25.05,25.0782,25.05,25.0773,84564,1800,0,
20180102 11:48:00,25.095,25.095,25.095,25.095,86564,2000,0,
20180102 11:49:00,25.05,25.075,25.05,25.075,86866,300,0,
20180102 11:51:00,25.0798,25.0798,25.0798,25.0798,87516,600,0,
20180102 11:55:00,25.1,25.1,25.0583,25.0583,88491,900,0,
20180102 11:58:00,25.06,25.1,25.05,25.0774,92094,3597,0,
20180102 12:00:00,25.1,25.1,25.1,25.1,93060,800,0,
20180102 12:02:00,25.065,25.065,25.065,25.065,94062,1000,0,
20180102 12:04:00,25.1,25.15,25.1,25.15,97152,2875,0,
20180102 12:07:00,25.15,25.15,25.15,25.15,97252,100,0,
20180102 12:08:00,25.15,25.15,25.125,25.125,97762,310,0,
20180102 12:09:00,25.15,25.15,25.15,25.15,97862,100,0,
20180102 12:12:00,25.1203,25.15,25.1203,25.15,98675,810,0,
20180102 12:14:00,25.1269,25.1269,25.1269,25.1269,98779,100,0,
