TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,3.01,3.01,3.01,3.01,318,318,0,
20180102 09:49:00,3.03,3.03,3.03,3.03,424,100,0,
20180102 10:41:00,2.91,2.91,2.91,2.91,600,100,0,
20180102 10:59:00,2.866,2.866,2.866,2.866,1400,800,0,
20180102 11:01:00,2.83,2.83,2.8,2.8,3097,1697,0,
20180102 11:07:00,2.9175,2.9175,2.9175,2.9175,3855,750,0,
20180102 11:56:00,2.85,2.85,2.85,2.85,3960,100,0,
20180102 14:03:00,2.8,2.8,2.8,2.8,6493,2500,0,
20180102 14:18:00,2.82,2.82,2.82,2.82,6695,100,0,
20180102 14:30:00,2.83,2.83,2.83,2.83,6806,100,0,
20180102 15:05:00,2.8,2.8,2.8,2.8,6911,100,0,
20180102 15:06:00,2.75,2.77,2.74,2.7401,7911,800,0,
20180102 15:07:00,2.74,2.74,2.74,2.74,8911,1000,0,
20180102 15:10:00,2.7627,2.78,2.7627,2.78,9871,900,0,
20180102 15:11:00,2.7775,2.81,2.7745,2.78,11671,1800,0,
20180102 15:18:00,2.8,2.8,2.8,2.8,11771,100,0,
20180102 15:35:00,2.91,2.91,2.91,2.91,11872,100,0,
20180102 15:44:00,2.8299,2.83,2.8299,2.83,12772,900,0,
20180102 15:58:00,2.87,2.87,2.85,2.85,13072,300,0,
20180102 16:00:00,2.79,2.79,2.79,2.79,13172,100,0,
