TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 08:05:00,26.9,26.9,26.9,26.9,70000,70000,0,
20180102 08:48:00,26.97,26.99,26.97,26.99,71000,1000,0,
20180102 08:49:00,26.98,26.98,26.97,26.97,74000,3000,0,
20180102 09:17:00,27.01,27.01,27.01,27.01,74200,200,0,
20180102 09:26:00,26.97,26.97,26.97,26.97,74570,300,0,
20180102 09:27:00,26.97,26.97,26.97,26.97,76270,1700,0,
20180102 09:29:00,26.97,26.97,26.97,26.97,78270,2000,0,
20180102 09:30:00,26.95,26.98,26.94,26.94,89886,11255,0,
20180102 09:31:00,26.94,26.95,26.94,26.95,91689,303,0,
20180102 09:32:00,26.96,26.96,26.95,26.95,92305,500,0,
20180102 09:33:00,26.95,26.95,26.94,26.94,95306,2855,0,
20180102 09:34:00,26.93,26.936,26.93,26.93,96709,1403,0,
20180102 09:35:00,26.93,26.93,26.9,26.9,101691,4391,0,
20180102 09:36:00,26.9,26.9,26.895,26.895,102240,500,0,
20180102 09:37:00,26.89,26.89,26.89,26.89,102443,100,0,
20180102 09:38:00,26.9,26.9,26.89,26.895,103608,1046,0,
20180102 09:39:00,26.9,26.9,26.89,26.89,105245,1600,0,
20180102 09:40:00,26.89,26.8999,26.89,26.895,108401,3100,0,
20180102 09:41:00,26.8999,26.8999,26.89,26.89,109541,1136,0,
20180102 09:42:00,26.89,26.89,26.88,26.89,110505,900,0,
20180102 09:44:00,26.89,26.89,26.88,26.885,113609,2877,0,
20180102 09:45:00,26.88,26.88,26.855,26.855,120357,6478,0,
20180102 09:46:00,26.85,26.855,26.85,26.85,120757,400,0,
20180102 09:47:00,26.85,26.86,26.85,26.86,125442,4500,0,
20180102 09:48:00,26.86,26.86,26.86,26.86,125542,100,0,
20180102 09:49:00,26.86,26.86,26.86,26.86,129235,3500,0,
20180102 09:50:00,26.85,26.86,26.85,26.86,130870,1400,0,
20180102 09:51:00,26.87,26.87,26.87,26.87,131460,500,0,
20180102 09:52:00,26.875,26.885,26.875,26.88,141084,9599,0,
20180102 09:53:00,26.89,26.89,26.875,26.88,143846,2638,0,
20180102 09:54:00,26.88,26.88,26.875,26.875,144546,650,0,
20180102 09:55:00,26.88,26.88,26.88,26.88,145767,1100,0,
20180102 09:56:00,26.88,26.88,26.86,26.86,149655,3857,0,
20180102 09:57:00,26.86,26.87,26.86,26.87,150505,700,0,
20180102 09:58:00,26.89,26.89,26.89,26.89,150896,300,0,
20180102 09:59:00,26.89,26.89,26.89,26.89,151216,300,0,
20180102 10:00:00,26.89,26.9,26.89,26.9,151851,600,0,
20180102 10:02:00,26.91,26.92,26.91,26.92,153091,1089,0,
20180102 10:03:00,26.925,26.925,26.91,26.92,154513,1400,0,
20180102 10:04:00,26.91,26.92,26.91,26.92,154841,300,0,
20180102 10:05:00,26.92,26.92,26.92,26.92,155341,500,0,
20180102 10:06:00,26.92,26.92,26.92,26.92,156069,600,0,
20180102 10:07:00,26.92,26.92,26.92,26.92,156311,200,0,
20180102 10:08:00,26.92,26.92,26.915,26.915,157159,800,0,
20180102 10:09:00,26.915,26.9236,26.91,26.9236,164196,6986,0,
20180102 10:10:00,26.925,26.93,26.925,26.925,164586,300,0,
20180102 10:11:00,26.92,26.92,26.91,26.91,166667,2038,0,
20180102 10:12:00,26.91,26.91,26.91,26.91,167223,500,0,
20180102 10:13:00,26.91,26.92,26.91,26.915,170008,2700,0,
20180102 10:14:00,26.915,26.9188,26.915,26.9188,173168,3050,0,
20180102 10:15:00,26.92,26.92,26.915,26.915,174820,1600,0,
20180102 10:16:00,26.91,26.92,26.91,26.92,175484,564,0,
20180102 10:17:00,26.915,26.92,26.915,26.92,176704,1170,0,
20180102 10:18:00,26.93,26.93,26.93,26.93,177104,400,0,
20180102 10:19:00,26.94,26.945,26.935,26.935,179495,2171,0,
20180102 10:21:00,26.94,26.94,26.935,26.94,179995,400,0,
20180102 10:22:00,26.936,26.936,26.936,26.936,180495,500,0,
20180102 10:26:00,26.935,26.94,26.935,26.94,181006,200,0,
20180102 10:27:00,26.935,26.94,26.935,26.94,183031,1980,0,
20180102 10:28:00,26.935,26.935,26.935,26.935,183577,500,0,
20180102 10:29:00,26.935,26.935,26.935,26.935,184077,500,0,
20180102 10:30:00,26.94,26.9499,26.935,26.94,191784,7278,0,
20180102 10:31:00,26.94,26.945,26.935,26.945,197764,5713,0,
20180102 10:32:00,26.945,26.945,26.9401,26.945,198326,414,0,
20180102 10:33:00,26.945,26.9462,26.945,26.9462,198758,413,0,
20180102 10:34:00,26.945,26.9475,26.945,26.9462,200491,1730,0,
20180102 10:35:00,26.945,26.95,26.94,26.945,202520,1614,0,
20180102 10:36:00,26.945,26.96,26.945,26.96,205348,2679,0,
20180102 10:37:00,26.96,26.97,26.955,26.96,229108,23095,0,
20180102 10:38:00,26.965,26.965,26.955,26.955,256433,27271,0,
20180102 10:39:00,26.955,26.955,26.955,26.955,257216,750,0,
20180102 10:40:00,26.955,26.955,26.945,26.95,288250,30532,0,
20180102 10:41:00,26.95,26.95,26.935,26.94,309802,20945,0,
20180102 10:42:00,26.945,26.945,26.94,26.94,313502,3400,0,
20180102 10:43:00,26.945,26.945,26.94,26.945,332373,18442,0,
20180102 10:44:00,26.945,26.9483,26.94,26.94,339210,6761,0,
20180102 10:45:00,26.945,26.95,26.94,26.94,344600,5271,0,
20180102 10:46:00,26.94,26.945,26.94,26.94,347549,2748,0,
20180102 10:47:00,26.94,26.95,26.94,26.945,360160,12600,0,
20180102 10:48:00,26.945,26.945,26.945,26.945,360660,500,0,
20180102 10:49:00,26.945,26.945,26.945,26.945,362061,1300,0,
20180102 10:50:00,26.945,26.945,26.94,26.94,362910,800,0,
20180102 10:51:00,26.945,26.947,26.94,26.945,386987,23337,0,
20180102 10:52:00,26.945,26.945,26.94,26.945,391160,4072,0,
20180102 10:53:00,26.945,26.945,26.94,26.945,392664,1400,0,
20180102 10:54:00,26.945,26.945,26.945,26.945,393164,500,0,
20180102 10:55:00,26.945,26.9499,26.94,26.9418,401206,7932,0,
20180102 10:56:00,26.945,26.945,26.945,26.945,401732,500,0,
20180102 10:57:00,26.945,26.95,26.945,26.95,406905,4615,0,
20180102 10:58:00,26.96,26.96,26.95,26.96,418049,10473,0,
20180102 10:59:00,26.955,26.96,26.95,26.955,435588,17400,0,
20180102 11:00:00,26.9575,26.96,26.955,26.955,436654,1060,0,
20180102 11:01:00,26.955,26.98,26.955,26.975,441614,4900,0,
20180102 11:02:00,26.975,26.98,26.9701,26.98,444507,2680,0,
20180102 11:03:00,26.97,26.975,26.97,26.97,446717,2067,0,
20180102 11:04:00,26.975,26.975,26.97,26.975,449275,2400,0,
20180102 11:05:00,26.975,26.975,26.975,26.975,452360,3000,0,
