TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 07:54:00,96.85,96.85,96.85,96.85,1550,1490,0,
20180102 08:00:00,96.85,96.85,96.85,96.85,2050,500,0,
20180102 08:24:00,97.25,97.25,97.25,97.25,3050,1000,0,
20180102 08:54:00,97.01,97.01,97.01,97.01,3350,300,0,
20180102 09:21:00,97.24,97.24,97.24,97.24,3700,300,0,
20180102 09:26:00,97.15,97.15,97.12,97.12,4472,772,0,
20180102 09:30:00,97.14,97.34,97.136,97.22,91130,66046,0,
20180102 09:31:00,97.23,97.35,97.1805,97.24,102222,9910,0,
20180102 09:32:00,97.33,97.58,97.27,97.47,124127,20631,0,
20180102 09:33:00,97.4832,97.77,97.46,97.54,154091,27695,0,
20180102 09:34:00,97.5,97.89,97.5,97.645,184424,27860,0,
20180102 09:35:00,97.66,97.7,97.53,97.6499,215408,26797,0,
20180102 09:36:00,97.61,97.65,97.33,97.49,247812,30019,0,
20180102 09:37:00,97.48,97.64,97.4601,97.58,262437,13075,0,
20180102 09:38:00,97.65,97.65,97.251,97.46,279080,13116,0,
20180102 09:39:00,97.49,97.64,97.49,97.55,288682,7748,0,
20180102 09:40:00,97.57,97.71,97.525,97.63,306211,14745,0,
20180102 09:41:00,97.635,97.66,97.585,97.61,313990,4900,0,
20180102 09:42:00,97.57,97.71,97.5569,97.71,335546,18127,0,
20180102 09:43:00,97.68,97.8,97.589,97.785,354811,18193,0,
20180102 09:44:00,97.77,97.78,97.55,97.65,365546,9800,0,
20180102 09:45:00,97.6501,97.68,97.564,97.58,372638,4542,0,
20180102 09:46:00,97.6,97.6,97.33,97.33,385410,9980,0,
20180102 09:47:00,97.36,97.4792,97.33,97.4792,396927,9872,0,
20180102 09:48:00,97.49,97.49,97.32,97.33,412446,14262,0,
20180102 09:49:00,97.35,97.35,97.24,97.335,429581,15937,0,
20180102 09:50:00,97.36,97.44,97.35,97.3897,439214,7685,0,
20180102 09:51:00,97.36,97.36,96.75,97.195,516844,72640,0,
20180102 09:52:00,97.22,97.34,97.2,97.34,528259,9556,0,
