TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 08:49:00,91.82,91.82,91.82,91.82,1949,1949,0,
20180102 09:30:00,92.15,92.98,92.12,92.96,33575,31161,0,
20180102 09:32:00,93.15,93.29,93.005,93.005,36958,2346,0,
20180102 09:33:00,92.99,93.19,92.99,93.19,37290,300,0,
20180102 09:34:00,93.04,93.1,92.79,92.9,45996,7950,0,
20180102 09:35:00,92.89,93.06,92.89,93.06,47341,1300,0,
20180102 09:36:00,92.965,92.965,92.93,92.93,47772,300,0,
20180102 09:37:00,92.91,92.91,92.91,92.91,47972,100,0,
20180102 09:38:00,92.93,92.99,92.91,92.93,50402,2076,0,
20180102 09:39:00,93.06,93.23,93.01,93.23,51916,800,0,
20180102 09:40:00,93.18,93.18,93,93.13,54548,2500,0,
20180102 09:41:00,93.185,93.445,93.1589,93.33,56011,1081,0,
20180102 09:42:00,93.44,93.5,93.395,93.445,58603,2241,0,
20180102 09:43:00,93.445,93.6,93.4,93.59,61236,2088,0,
20180102 09:44:00,93.48,93.48,93.24,93.36,63838,2000,0,
20180102 09:45:00,93.33,93.4,93.33,93.4,64387,500,0,
20180102 09:46:00,93.4,93.61,93.4,93.61,68344,2743,0,
20180102 09:47:00,93.58,93.65,93.52,93.575,90074,21710,0,
20180102 09:49:00,93.62,93.68,93.42,93.45,94580,3772,0,
20180102 09:50:00,93.45,93.47,93.35,93.43,96789,1950,0,
20180102 09:51:00,93.42,93.515,93.41,93.515,98336,1200,0,
20180102 09:52:00,93.495,93.6,93.48,93.5,119462,20467,0,
20180102 09:53:00,93.53,93.53,93.47,93.48,121928,2150,0,
20180102 09:54:00,93.5172,93.63,93.505,93.585,124151,1900,0,
20180102 09:55:00,93.585,93.8,93.57,93.57,134810,9103,0,
20180102 09:56:00,93.595,93.76,93.57,93.76,138582,3500,0,
20180102 09:57:00,93.7,93.76,93.66,93.75,140908,2300,0,
20180102 09:58:00,93.7,93.705,93.695,93.6975,141666,400,0,
20180102 09:59:00,93.707,93.92,93.695,93.92,152402,9544,0,
20180102 10:00:00,93.87,93.89,93.69,93.715,161761,8319,0,
20180102 10:01:00,93.74,93.865,93.74,93.835,164260,2050,0,
20180102 10:02:00,93.82,93.885,93.82,93.83,168507,3950,0,
20180102 10:03:00,93.86,93.895,93.82,93.884,173744,4894,0,
20180102 10:04:00,93.895,93.895,93.82,93.82,174616,820,0,
20180102 10:05:00,93.83,93.83,93.77,93.8032,176548,1763,0,
20180102 10:06:00,93.81,93.88,93.81,93.88,178404,1700,0,
20180102 10:07:00,93.8908,93.895,93.8908,93.895,179068,397,0,
20180102 10:08:00,93.93,93.93,93.87,93.88,181584,1800,0,
20180102 10:09:00,93.84,93.85,93.7,93.76,189582,7046,0,
20180102 10:10:00,93.76,93.8,93.72,93.72,195442,5561,0,
20180102 10:11:00,93.75,93.755,93.72,93.755,196567,1000,0,
20180102 10:12:00,93.755,93.835,93.755,93.835,197668,700,0,
20180102 10:13:00,93.85,93.885,93.8,93.885,201622,2757,0,
20180102 10:14:00,93.86,93.86,93.75,93.79,204275,2300,0,
20180102 10:15:00,93.775,93.83,93.75,93.75,206446,1885,0,
20180102 10:16:00,93.85,93.85,93.6804,93.6804,208563,1732,0,
20180102 10:17:00,93.66,93.67,93.63,93.6361,209587,952,0,
20180102 10:18:00,93.61,93.67,93.6,93.65,210992,824,0,
20180102 10:19:00,93.6797,93.73,93.64,93.705,213307,2067,0,
20180102 10:20:00,93.64,93.65,93.64,93.65,214128,600,0,
20180102 10:21:00,93.66,93.67,93.66,93.67,214328,200,0,
20180102 10:22:00,93.645,93.665,93.645,93.665,214756,228,0,
20180102 10:23:00,93.63,93.66,93.56,93.605,216676,1100,0,
20180102 10:24:00,93.57,93.585,93.46,93.46,218748,1618,0,
20180102 10:25:00,93.49,93.575,93.49,93.555,221964,3000,0,
20180102 10:26:00,93.56,93.56,93.36,93.45,227225,4535,0,
20180102 10:27:00,93.45,93.49,93.42,93.49,228633,1208,0,
20180102 10:28:00,93.45,93.525,93.4,93.52,231052,1884,0,
20180102 10:29:00,93.54,93.59,93.47,93.51,235570,3958,0,
20180102 10:30:00,93.53,93.5355,93.53,93.5355,236163,400,0,
20180102 10:31:00,93.52,93.71,93.34,93.53,266904,28151,0,
20180102 10:32:00,93.665,93.665,93.605,93.65,267681,400,0,
20180102 10:33:00,93.725,93.73,93.64,93.665,269934,1800,0,
20180102 10:34:00,93.72,93.76,93.65,93.71,272287,1800,0,
20180102 10:35:00,93.765,93.765,93.67,93.685,274442,1500,0,
20180102 10:36:00,93.685,93.78,93.62,93.675,281041,5514,0,
20180102 10:37:00,93.62,93.65,93.57,93.645,283313,1900,0,
20180102 10:38:00,93.54,93.55,93.4,93.445,285930,1800,0,
20180102 10:39:00,93.42,93.58,93.42,93.58,288268,1342,0,
20180102 10:40:00,93.5899,93.5899,93.39,93.5,295139,5799,0,
20180102 10:41:00,93.53,93.58,93.53,93.58,295761,400,0,
20180102 10:43:00,93.4938,93.528,93.4938,93.528,297068,1083,0,
20180102 10:44:00,93.595,93.65,93.55,93.65,298891,1150,0,
20180102 10:45:00,93.63,93.65,93.59,93.59,300005,1022,0,
20180102 10:46:00,93.615,93.615,93.615,93.615,300357,200,0,
20180102 10:47:00,93.6,93.74,93.6,93.74,301753,1147,0,
20180102 10:48:00,93.74,93.8,93.74,93.8,302454,500,0,
20180102 10:49:00,93.79,93.81,93.71,93.73,304662,1600,0,
20180102 10:50:00,93.735,93.735,93.735,93.735,304874,151,0,
