TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,48.5,48.5,48.1631,48.1631,1053,1053,0,
20180102 09:31:00,48.35,48.35,48.35,48.35,1322,200,0,
20180102 09:33:00,48.3,48.3,48.15,48.15,2157,810,0,
20180102 09:35:00,48,48.2,48,48.2,2710,500,0,
20180102 09:36:00,48.2,48.25,48.2,48.25,2968,201,0,
20180102 09:37:00,48.2,48.2,48.2,48.2,3153,100,0,
20180102 09:39:00,48.3625,48.3625,48.3625,48.3625,4262,600,0,
20180102 09:40:00,48.4,48.45,48.35,48.3875,5935,1473,0,
20180102 09:42:00,48.375,48.375,48.3,48.3,7346,1283,0,
20180102 09:43:00,48.3,48.3,48.3,48.3,8146,800,0,
20180102 09:46:00,48.2,48.2,48.05,48.05,10050,910,0,
20180102 09:47:00,48,48.1,47.9485,48,11495,896,0,
20180102 09:48:00,48,48.05,47.9,47.9,11795,300,0,
20180102 09:49:00,47.95,48.05,47.95,48.025,14152,1920,0,
20180102 09:50:00,48.1,48.1,48.1,48.1,14905,200,0,
20180102 09:51:00,48.125,48.125,48,48,16205,1300,0,
20180102 09:52:00,47.95,47.95,47.95,47.95,16610,300,0,
20180102 09:53:00,48,48.05,47.925,48,19489,2500,0,
20180102 09:55:00,48.1,48.15,48.1,48.15,20631,1047,0,
20180102 09:56:00,48.15,48.2,48.15,48.2,21519,610,0,
20180102 09:58:00,48.2,48.2,48.15,48.15,22219,600,0,
20180102 10:00:00,48.25,48.25,48.25,48.25,22330,100,0,
20180102 10:03:00,48.25,48.3,48.25,48.3,24631,2300,0,
20180102 10:04:00,48.3,48.35,48.3,48.35,24991,300,0,
20180102 10:05:00,48.35,48.35,48.35,48.35,25486,400,0,
20180102 10:06:00,48.4,48.4,48.4,48.4,25586,100,0,
20180102 10:07:00,48.4,48.4,48.4,48.4,25686,100,0,
20180102 10:08:00,48.5,48.5,48.5,48.5,26290,600,0,
20180102 10:09:00,48.55,48.55,48.4,48.5,31962,5300,0,
20180102 10:10:00,48.45,48.45,48.45,48.45,32179,200,0,
20180102 10:13:00,48.4253,48.4253,48.4253,48.4253,32369,145,0,
20180102 10:16:00,48.45,48.5,48.45,48.5,33011,600,0,
20180102 10:18:00,48.45,48.45,48.45,48.45,33854,500,0,
20180102 10:21:00,48.5,48.5,48.5,48.5,34004,100,0,
20180102 10:23:00,48.45,48.45,48.4,48.425,35501,1200,0,
20180102 10:28:00,48.35,48.35,48.35,48.35,36230,400,0,
20180102 10:30:00,48.4,48.45,48.4,48.45,36730,400,0,
20180102 10:35:00,48.475,48.475,48.475,48.475,36890,100,0,
20180102 10:37:00,48.45,48.5,48.45,48.5,38092,900,0,
20180102 10:38:00,48.35,48.35,48.3,48.35,39007,800,0,
20180102 10:39:00,48.4,48.45,48.4,48.45,39596,500,0,
20180102 10:40:00,48.475,48.475,48.4,48.4,40627,900,0,
20180102 10:42:00,48.401,48.401,48.401,48.401,40855,224,0,
20180102 10:45:00,48.4,48.5,48.4,48.5,41300,300,0,
20180102 10:50:00,48.5,48.5,48.45,48.5,41899,500,0,
20180102 10:51:00,48.5,48.6,48.5,48.6,43206,1000,0,
20180102 10:54:00,48.7,48.7,48.7,48.7,43438,100,0,
20180102 10:56:00,48.6,48.65,48.6,48.6,44931,1300,0,
20180102 10:58:00,48.5,48.65,48.5,48.65,45368,400,0,
20180102 10:59:00,48.65,48.65,48.65,48.65,45892,480,0,
20180102 11:02:00,48.7,48.7,48.7,48.7,46250,200,0,
20180102 11:03:00,48.75,48.75,48.65,48.65,47057,691,0,
20180102 11:07:00,48.675,48.7,48.675,48.7,47293,200,0,
20180102 11:08:00,48.7,48.7,48.7,48.7,47398,100,0,
20180102 11:09:00,48.7,48.7,48.7,48.7,47498,100,0,
20180102 11:10:00,48.7,48.7,48.7,48.7,47844,200,0,
20180102 11:15:00,48.65,48.7,48.65,48.65,48754,659,0,
20180102 11:16:00,48.675,48.7,48.675,48.7,48954,200,0,
20180102 11:27:00,48.65,48.7,48.65,48.7,49990,600,0,
20180102 11:30:00,48.7,48.7,48.7,48.7,50090,100,0,
20180102 11:31:00,48.7,48.7,48.65,48.7,51276,700,0,
20180102 11:32:00,48.65,48.65,48.65,48.65,51376,100,0,
20180102 11:33:00,48.6,48.65,48.6,48.6,52889,1400,0,
20180102 11:36:00,48.65,48.65,48.65,48.65,52989,100,0,
20180102 11:37:00,48.6,48.6,48.55,48.55,53689,700,0,
20180102 11:38:00,48.55,48.6,48.5,48.5,55419,1600,0,
20180102 11:40:00,48.45,48.55,48.45,48.45,56631,1200,0,
20180102 11:44:00,48.5,48.6,48.5,48.6,57631,1000,0,
20180102 11:45:00,48.6,48.6,48.6,48.6,57736,100,0,
20180102 11:46:00,48.55,48.575,48.55,48.575,58136,200,0,
20180102 11:47:00,48.575,48.575,48.575,48.575,58236,100,0,
20180102 11:49:00,48.575,48.6,48.575,48.575,60177,1457,0,
20180102 11:50:00,48.5823,48.6,48.55,48.6,60497,320,0,
20180102 11:51:00,48.6,48.6,48.6,48.6,60657,100,0,
20180102 11:52:00,48.65,48.65,48.65,48.65,61635,500,0,
20180102 11:55:00,48.7,48.7,48.7,48.7,61830,195,0,
20180102 11:58:00,48.6,48.6,48.6,48.6,61939,100,0,
20180102 11:59:00,48.6,48.65,48.6,48.65,62639,700,0,
20180102 12:00:00,48.7,48.7,48.7,48.7,62739,100,0,
20180102 12:03:00,48.7,48.7,48.7,48.7,63239,500,0,
20180102 12:10:00,48.65,48.7,48.65,48.7,65297,1700,0,
20180102 12:11:00,48.7125,48.7125,48.7125,48.7125,65397,100,0,
20180102 12:19:00,48.65,48.65,48.65,48.65,65574,100,0,
20180102 12:20:00,48.65,48.7,48.65,48.7,66115,400,0,
20180102 12:22:00,48.75,48.75,48.75,48.75,67448,810,0,
20180102 12:23:00,48.75,48.75,48.75,48.75,67648,100,0,
20180102 12:24:00,48.75,48.75,48.7,48.7,68048,400,0,
20180102 12:28:00,48.7,48.7,48.7,48.7,68184,100,0,
20180102 12:29:00,48.7,48.7,48.7,48.7,68389,100,0,
20180102 12:35:00,48.8,48.8,48.8,48.8,68489,100,0,
20180102 12:36:00,48.8,48.8,48.775,48.8,68789,300,0,
20180102 12:37:00,48.775,48.775,48.775,48.775,68889,100,0,
20180102 12:41:00,48.8,48.85,48.8,48.825,70561,1100,0,
20180102 12:42:00,48.825,48.825,48.8,48.8,71488,600,0,
20180102 12:44:00,48.75,48.75,48.75,48.75,71788,200,0,
20180102 12:45:00,48.7,48.75,48.7,48.75,72413,500,0,
20180102 12:47:00,48.7,48.7,48.7,48.7,72513,100,0,
20180102 12:48:00,48.7,48.7,48.7,48.7,72810,260,0,
20180102 12:49:00,48.7,48.7,48.7,48.7,73018,200,0,
20180102 12:52:00,48.7,48.7,48.7,48.7,73118,100,0,
20180102 12:53:00,48.6575,48.7,48.651,48.7,76234,3016,0,
20180102 12:54:00,48.7,48.7,48.7,48.7,76344,100,0,
20180102 12:55:00,48.7,48.75,48.7,48.75,76771,300,0,
20180102 12:59:00,48.7,48.725,48.7,48.7,77371,300,0,
20180102 13:04:00,48.65,48.65,48.65,48.65,77541,100,0,
20180102 13:06:00,48.65,48.65,48.65,48.65,78243,500,0,
