TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:28:00,5.64,5.64,5.63,5.63,500,500,0,
20180102 09:29:00,5.63,5.63,5.63,5.63,800,300,0,
20180102 09:30:00,5.6,5.6,5.6,5.6,6055,5195,0,
20180102 09:35:00,5.62,5.62,5.62,5.62,7247,100,0,
20180102 09:39:00,5.675,5.675,5.675,5.675,7577,300,0,
20180102 09:41:00,5.69,5.69,5.69,5.69,7677,100,0,
20180102 09:43:00,5.68,5.68,5.68,5.68,7800,100,0,
20180102 09:48:00,5.69,5.69,5.69,5.69,7900,100,0,
20180102 09:50:00,5.69,5.69,5.69,5.69,8120,200,0,
20180102 09:51:00,5.68,5.68,5.62,5.62,8720,600,0,
20180102 09:53:00,5.63,5.63,5.6,5.6,17638,8872,0,
20180102 09:56:00,5.6,5.6,5.6,5.6,17938,300,0,
20180102 10:00:00,5.6,5.6,5.6,5.6,18138,200,0,
20180102 10:04:00,5.6,5.6,5.6,5.6,18269,100,0,
20180102 10:08:00,5.65,5.65,5.63,5.63,18885,300,0,
20180102 10:11:00,5.63,5.63,5.63,5.63,19005,100,0,
20180102 10:14:00,5.63,5.63,5.63,5.63,19235,200,0,
20180102 10:17:00,5.6367,5.6399,5.62,5.6399,22035,2767,0,
20180102 10:20:00,5.63,5.63,5.63,5.63,22155,100,0,
20180102 10:22:00,5.63,5.63,5.62,5.62,22762,600,0,
20180102 10:23:00,5.62,5.62,5.6,5.6,24502,1740,0,
20180102 10:24:00,5.57,5.58,5.57,5.58,25806,1150,0,
20180102 10:25:00,5.6183,5.64,5.6,5.64,26406,600,0,
20180102 10:27:00,5.6,5.65,5.6,5.61,30766,4300,0,
20180102 10:28:00,5.65,5.65,5.65,5.65,30866,100,0,
20180102 10:29:00,5.65,5.65,5.64,5.65,32286,1400,0,
20180102 10:31:00,5.6539,5.6539,5.6539,5.6539,32686,400,0,
20180102 10:33:00,5.65,5.65,5.65,5.65,32866,180,0,
20180102 10:39:00,5.65,5.65,5.65,5.65,33107,200,0,
20180102 10:42:00,5.655,5.655,5.655,5.655,33307,200,0,
20180102 10:44:00,5.65,5.65,5.65,5.65,33510,200,0,
20180102 10:49:00,5.65,5.65,5.65,5.65,33610,100,0,
20180102 10:53:00,5.65,5.65,5.65,5.65,33810,200,0,
20180102 10:54:00,5.655,5.6599,5.655,5.6575,34110,300,0,
20180102 10:55:00,5.656,5.656,5.656,5.656,34370,220,0,
20180102 10:56:00,5.65,5.65,5.65,5.65,34470,100,0,
20180102 10:59:00,5.66,5.67,5.6599,5.67,35934,1300,0,
20180102 11:10:00,5.665,5.665,5.665,5.665,36134,100,0,
20180102 11:11:00,5.67,5.67,5.67,5.67,36434,300,0,
20180102 11:18:00,5.6601,5.6601,5.66,5.66,37776,1342,0,
20180102 11:24:00,5.66,5.66,5.66,5.66,38495,600,0,
20180102 11:26:00,5.67,5.67,5.67,5.67,38630,100,0,
20180102 11:27:00,5.6638,5.6638,5.6638,5.6638,38890,160,0,
20180102 11:38:00,5.66,5.66,5.66,5.66,39231,241,0,
20180102 11:43:00,5.66,5.66,5.66,5.66,39436,100,0,
20180102 11:44:00,5.65,5.65,5.65,5.65,41440,2000,0,
20180102 11:45:00,5.65,5.65,5.65,5.65,41540,100,0,
20180102 11:49:00,5.6542,5.6542,5.65,5.65,43547,1907,0,
20180102 11:50:00,5.655,5.67,5.655,5.67,45687,2000,0,
20180102 12:03:00,5.67,5.69,5.67,5.69,49967,4000,0,
20180102 12:04:00,5.68,5.69,5.68,5.69,50367,400,0,
20180102 12:10:00,5.725,5.725,5.725,5.725,50569,100,0,
20180102 12:18:00,5.73,5.73,5.73,5.73,50672,100,0,
20180102 12:23:00,5.7,5.7,5.7,5.7,50772,100,0,
20180102 12:34:00,5.68,5.68,5.68,5.68,51075,200,0,
20180102 12:36:00,5.68,5.68,5.68,5.68,51377,100,0,
20180102 12:42:00,5.6775,5.6775,5.6775,5.6775,53377,2000,0,
20180102 12:46:00,5.67,5.67,5.67,5.67,54998,1380,0,
20180102 12:47:00,5.67,5.67,5.67,5.67,55098,100,0,
20180102 12:50:00,5.67,5.67,5.67,5.67,55198,100,0,
20180102 12:51:00,5.67,5.67,5.67,5.67,55398,100,0,
20180102 12:52:00,5.67,5.67,5.67,5.67,55898,500,0,
20180102 12:53:00,5.67,5.67,5.67,5.67,55998,100,0,
20180102 12:58:00,5.67,5.67,5.67,5.67,56398,200,0,
20180102 13:02:00,5.68,5.68,5.68,5.68,56799,100,0,
20180102 13:03:00,5.67,5.67,5.67,5.67,56909,100,0,
20180102 13:04:00,5.67,5.67,5.67,5.67,57411,400,0,
20180102 13:10:00,5.675,5.675,5.675,5.675,58725,1100,0,
20180102 13:11:00,5.67,5.67,5.67,5.67,59222,300,0,
20180102 13:13:00,5.67,5.67,5.67,5.67,59326,100,0,
