TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,8.36,8.36,8.36,8.36,859,858,0,
20180102 09:43:00,8.42,8.42,8.42,8.42,976,100,0,
20180102 09:47:00,8.36,8.36,8.36,8.36,2230,1128,0,
20180102 09:50:00,8.366,8.41,8.35,8.35,4997,2442,0,
20180102 09:51:00,8.35,8.35,8.35,8.35,5285,148,0,
20180102 09:54:00,8.33,8.3301,8.33,8.3301,8083,2794,0,
20180102 09:59:00,8.34,8.34,8.34,8.34,8183,100,0,
20180102 10:01:00,8.35,8.35,8.35,8.35,8471,247,0,
20180102 10:02:00,8.35,8.35,8.35,8.35,8581,100,0,
20180102 10:06:00,8.35,8.38,8.35,8.38,8833,200,0,
20180102 10:07:00,8.3646,8.3646,8.3646,8.3646,11104,2248,0,
20180102 10:10:00,8.35,8.4099,8.35,8.4099,11581,447,0,
20180102 10:13:00,8.38,8.38,8.38,8.38,11711,100,0,
20180102 10:17:00,8.4,8.4,8.4,8.4,11811,100,0,
20180102 10:21:00,8.3988,8.3988,8.38,8.38,13961,2100,0,
20180102 10:24:00,8.39,8.395,8.39,8.39,14491,505,0,
20180102 10:30:00,8.38,8.385,8.38,8.385,14836,200,0,
20180102 10:31:00,8.38,8.38,8.38,8.38,14989,100,0,
20180102 10:33:00,8.35,8.35,8.35,8.35,15089,100,0,
20180102 10:41:00,8.36,8.5,8.36,8.42,25401,10237,0,
20180102 10:45:00,8.41,8.41,8.41,8.41,25501,100,0,
20180102 10:49:00,8.4,8.4,8.4,8.4,25601,100,0,
20180102 10:50:00,8.41,8.418,8.4,8.418,26996,1393,0,
20180102 10:52:00,8.4,8.4,8.4,8.4,27197,100,0,
20180102 10:55:00,8.4,8.4,8.4,8.4,27308,100,0,
20180102 11:10:00,8.39,8.39,8.39,8.39,27444,100,0,
20180102 11:15:00,8.3664,8.3664,8.3664,8.3664,27944,500,0,
20180102 11:38:00,8.4,8.4,8.4,8.4,28050,100,0,
20180102 11:40:00,8.44,8.45,8.4,8.4,28550,300,0,
20180102 11:41:00,8.46,8.46,8.46,8.46,28650,100,0,
