TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,15.9,15.9,15.9,15.9,4341,4341,0,
20180102 09:31:00,15.8,15.8,15.79,15.79,5869,1397,0,
20180102 09:32:00,15.8,15.8,15.8,15.8,6269,400,0,
20180102 09:33:00,15.75,15.75,15.6,15.68,11239,4712,0,
20180102 09:34:00,15.6,15.6,15.6,15.6,11339,100,0,
20180102 09:35:00,15.65,15.65,15.59,15.59,13200,1800,0,
20180102 09:36:00,15.65,15.65,15.65,15.65,13500,300,0,
20180102 09:37:00,15.75,15.85,15.75,15.85,13991,400,0,
20180102 09:38:00,15.7,15.7,15.65,15.7,14487,400,0,
20180102 09:40:00,15.7,15.8,15.7,15.8,15891,1300,0,
20180102 09:42:00,15.838,15.85,15.7,15.7,18846,2800,0,
20180102 09:43:00,15.75,15.75,15.75,15.75,19020,100,0,
20180102 09:44:00,15.8,15.85,15.8,15.85,21020,2000,0,
20180102 09:45:00,15.85,15.85,15.85,15.85,21225,200,0,
20180102 09:46:00,15.8,15.8,15.8,15.8,21420,100,0,
20180102 09:47:00,15.9,15.9,15.86,15.9,22070,635,0,
20180102 09:49:00,15.89,15.9,15.89,15.9,23056,976,0,
20180102 09:50:00,15.85,15.85,15.85,15.85,23656,600,0,
20180102 09:51:00,15.8,15.8,15.8,15.8,23756,100,0,
20180102 09:53:00,15.8,15.8,15.8,15.8,24015,200,0,
20180102 09:54:00,15.8,15.8316,15.8,15.8264,24515,500,0,
20180102 09:55:00,15.8,15.8,15.75,15.75,25215,700,0,
20180102 10:00:00,15.85,15.9,15.85,15.9,27969,2225,0,
20180102 10:01:00,15.9,15.95,15.9,15.95,29192,1188,0,
20180102 10:02:00,15.9,15.9,15.9,15.9,29292,100,0,
20180102 10:03:00,15.9,15.9,15.9,15.9,29899,600,0,
20180102 10:04:00,15.9,15.9,15.9,15.9,30361,400,0,
20180102 10:05:00,15.905,15.925,15.85,15.9,31336,800,0,
20180102 10:06:00,15.85,15.9,15.85,15.9,36889,5146,0,
20180102 10:07:00,15.9,16,15.9,16,39589,2500,0,
20180102 10:08:00,16,16.05,15.95,15.95,51172,9764,0,
20180102 10:09:00,16.05,16.05,16.05,16.05,51472,300,0,
20180102 10:10:00,16.05,16.05,16,16.05,52172,700,0,
20180102 10:12:00,16,16,16,16,53268,500,0,
20180102 10:14:00,15.95,16,15.95,15.95,56468,2860,0,
20180102 10:15:00,15.9,15.95,15.9,15.95,56868,400,0,
20180102 10:16:00,15.95,15.95,15.9,15.9,58868,2000,0,
20180102 10:17:00,15.94,15.94,15.94,15.94,60868,2000,0,
20180102 10:18:00,15.9,15.9318,15.9,15.9318,61147,200,0,
20180102 10:19:00,15.939,15.939,15.939,15.939,61555,200,0,
20180102 10:25:00,15.95,16,15.95,15.975,62225,450,0,
20180102 10:26:00,15.95,15.95,15.95,15.95,62325,100,0,
20180102 10:27:00,15.95,15.95,15.95,15.95,62425,100,0,
20180102 10:28:00,15.95,15.95,15.95,15.95,64707,2000,0,
20180102 10:32:00,16,16,16,16,65743,900,0,
20180102 10:36:00,16,16.07,16,16.07,66843,1100,0,
20180102 10:37:00,16,16,16,16,68643,1600,0,
20180102 10:38:00,16.02,16.045,16.02,16.045,69543,900,0,
20180102 10:39:00,16.017,16.017,16.017,16.017,69843,300,0,
20180102 10:40:00,15.9687,16.05,15.9687,16.05,70503,600,0,
20180102 10:41:00,16,16.125,16,16.1,76280,5698,0,
20180102 10:42:00,16.15,16.2,16.15,16.2,77225,800,0,
20180102 10:43:00,16.175,16.2,16.175,16.2,78325,1100,0,
20180102 10:44:00,16.2067,16.2067,16.2067,16.2067,78585,200,0,
20180102 10:45:00,16.15,16.15,16.125,16.15,87641,8300,0,
20180102 10:46:00,16.15,16.15,16.15,16.15,88841,1200,0,
20180102 10:47:00,16.15,16.15,16.15,16.15,89041,200,0,
