TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 07:04:00,6.43,6.43,6.43,6.43,100,100,0,
20180102 07:11:00,6.44,6.44,6.44,6.44,750,600,0,
20180102 08:22:00,6.52,6.52,6.52,6.52,1300,500,0,
20180102 08:30:00,6.52,6.52,6.51,6.52,2500,1050,0,
20180102 08:45:00,6.53,6.53,6.53,6.53,2600,100,0,
20180102 09:01:00,6.55,6.55,6.55,6.55,3292,692,0,
20180102 09:02:00,6.54,6.54,6.54,6.54,3600,308,0,
20180102 09:20:00,6.53,6.53,6.53,6.53,4200,600,0,
20180102 09:25:00,6.54,6.54,6.54,6.54,4500,300,0,
20180102 09:26:00,6.54,6.54,6.54,6.54,6200,1700,0,
20180102 09:27:00,6.54,6.54,6.54,6.54,7000,800,0,
20180102 09:30:00,6.54,6.55,6.535,6.54,223374,214062,0,
20180102 09:31:00,6.53,6.53,6.525,6.53,245193,21587,0,
20180102 09:32:00,6.53,6.539,6.53,6.53,250097,4886,0,
20180102 09:33:00,6.53,6.54,6.53,6.53,316911,66480,0,
20180102 09:34:00,6.53,6.535,6.53,6.53,357527,40616,0,
20180102 09:35:00,6.535,6.545,6.53,6.54,498148,140334,0,
20180102 09:36:00,6.54,6.54,6.54,6.54,524037,25728,0,
20180102 09:38:00,6.535,6.54,6.535,6.54,570919,46882,0,
20180102 09:39:00,6.545,6.55,6.545,6.55,600974,30006,0,
20180102 09:40:00,6.56,6.57,6.555,6.555,857536,255993,0,
20180102 09:41:00,6.555,6.555,6.55,6.55,858136,600,0,
20180102 09:42:00,6.55,6.56,6.55,6.56,862136,4000,0,
20180102 09:43:00,6.555,6.57,6.555,6.56,1223709,361387,0,
20180102 09:44:00,6.56,6.58,6.56,6.58,1661664,437631,0,
20180102 09:45:00,6.58,6.58,6.57,6.57,3307596,1645718,0,
20180102 09:46:00,6.57,6.575,6.565,6.57,3327246,19600,0,
20180102 09:47:00,6.56,6.565,6.56,6.56,3467360,140002,0,
20180102 09:48:00,6.56,6.575,6.56,6.575,3724603,256788,0,
20180102 09:49:00,6.575,6.575,6.57,6.57,3755318,30665,0,
20180102 09:50:00,6.575,6.58,6.57,6.575,3763018,7700,0,
20180102 09:51:00,6.575,6.575,6.56,6.565,3967134,204025,0,
20180102 09:52:00,6.565,6.58,6.56,6.575,4030926,63572,0,
20180102 09:53:00,6.575,6.59,6.575,6.59,4095087,63751,0,
20180102 09:54:00,6.59,6.59,6.58,6.58,4105769,10682,0,
20180102 09:55:00,6.59,6.59,6.5815,6.5879,4120469,14700,0,
20180102 09:56:00,6.585,6.59,6.5738,6.58,4310243,189677,0,
20180102 09:57:00,6.575,6.5893,6.5707,6.5825,4460247,150004,0,
20180102 09:58:00,6.5854,6.59,6.5825,6.59,4476200,15900,0,
20180102 09:59:00,6.59,6.59,6.5808,6.59,4480543,4343,0,
20180102 10:00:00,6.59,6.595,6.585,6.595,4510734,30191,0,
20180102 10:01:00,6.595,6.6,6.5934,6.6,4516471,5737,0,
20180102 10:02:00,6.6,6.6,6.58,6.59,4870733,353880,0,
20180102 10:03:00,6.58,6.58,6.57,6.57,5035257,164498,0,
20180102 10:04:00,6.57,6.575,6.565,6.57,5271267,235948,0,
20180102 10:05:00,6.575,6.575,6.57,6.57,5275183,3016,0,
20180102 10:07:00,6.575,6.575,6.575,6.575,5276083,700,0,
20180102 10:08:00,6.575,6.575,6.5736,6.5736,5276689,606,0,
20180102 10:09:00,6.57,6.575,6.57,6.575,5286756,9994,0,
20180102 10:10:00,6.58,6.58,6.565,6.57,5427071,140065,0,
20180102 10:11:00,6.57,6.575,6.57,6.575,5537319,108672,0,
20180102 10:12:00,6.575,6.575,6.575,6.575,5539919,2600,0,
20180102 10:13:00,6.575,6.575,6.575,6.575,5543902,3983,0,
20180102 10:14:00,6.575,6.575,6.57,6.575,5547343,3400,0,
20180102 10:15:00,6.575,6.58,6.575,6.575,5558043,10000,0,
20180102 10:16:00,6.5776,6.5776,6.57,6.57,5563963,5398,0,
20180102 10:17:00,6.575,6.575,6.575,6.575,5565063,700,0,
20180102 10:18:00,6.58,6.58,6.575,6.575,5565563,200,0,
20180102 10:19:00,6.575,6.5767,6.57,6.5767,5567621,1794,0,
20180102 10:20:00,6.575,6.58,6.565,6.57,5654653,86572,0,
20180102 10:21:00,6.56,6.565,6.56,6.56,5667265,12600,0,
20180102 10:22:00,6.56,6.565,6.56,6.565,5669450,2185,0,
20180102 10:23:00,6.56,6.565,6.56,6.565,5669850,300,0,
20180102 10:24:00,6.5607,6.5607,6.56,6.56,5670272,322,0,
20180102 10:25:00,6.56,6.5664,6.56,6.5664,5671769,1386,0,
20180102 10:26:00,6.56,6.565,6.56,6.565,5672069,200,0,
20180102 10:27:00,6.565,6.565,6.56,6.565,5672868,500,0,
20180102 10:28:00,6.565,6.565,6.565,6.565,5673851,983,0,
20180102 10:29:00,6.565,6.5699,6.565,6.565,5674885,931,0,
20180102 10:30:00,6.57,6.57,6.555,6.565,5819400,144210,0,
20180102 10:31:00,6.565,6.565,6.565,6.565,5819910,400,0,
20180102 10:32:00,6.565,6.565,6.565,6.565,5820210,300,0,
20180102 10:33:00,6.5693,6.5693,6.565,6.565,5820910,600,0,
20180102 10:34:00,6.57,6.57,6.57,6.57,5829218,8185,0,
20180102 10:35:00,6.57,6.57,6.56,6.56,5847710,18302,0,
20180102 10:36:00,6.57,6.57,6.56,6.565,5926432,78532,0,
20180102 10:37:00,6.5664,6.57,6.56,6.56,6005718,79065,0,
20180102 10:38:00,6.56,6.56,6.56,6.56,6243039,236745,0,
20180102 10:39:00,6.5662,6.5662,6.56,6.56,6262947,19886,0,
20180102 10:40:00,6.56,6.565,6.56,6.565,6272648,9700,0,
20180102 10:41:00,6.565,6.566,6.56,6.565,6283298,9850,0,
20180102 10:42:00,6.57,6.57,6.56,6.56,6295734,12318,0,
20180102 10:43:00,6.565,6.57,6.56,6.57,6301197,5448,0,
20180102 10:44:00,6.56,6.565,6.56,6.5638,6303086,1714,0,
20180102 10:45:00,6.565,6.565,6.56,6.56,6304086,900,0,
20180102 10:46:00,6.565,6.565,6.56,6.56,6307307,3100,0,
20180102 10:47:00,6.56,6.56,6.555,6.5575,6354407,46686,0,
20180102 10:48:00,6.555,6.555,6.555,6.555,6355107,600,0,
20180102 10:49:00,6.555,6.555,6.555,6.555,6355207,100,0,
20180102 10:50:00,6.555,6.555,6.555,6.555,6355615,300,0,
20180102 10:51:00,6.555,6.555,6.555,6.555,6357915,600,0,
20180102 10:52:00,6.555,6.555,6.545,6.55,6450183,92113,0,
20180102 10:53:00,6.55,6.56,6.55,6.555,6564031,113350,0,
20180102 10:54:00,6.555,6.555,6.555,6.555,6567232,3100,0,
20180102 10:55:00,6.555,6.56,6.555,6.555,6568132,900,0,
20180102 10:56:00,6.555,6.555,6.555,6.555,6568632,400,0,
20180102 10:57:00,6.555,6.57,6.555,6.57,6632531,63729,0,
20180102 10:58:00,6.565,6.565,6.56,6.565,6638531,5900,0,
20180102 10:59:00,6.56,6.57,6.56,6.565,6740281,101750,0,
20180102 11:00:00,6.565,6.565,6.565,6.565,6742581,2200,0,
20180102 11:01:00,6.565,6.565,6.565,6.565,6743281,700,0,
20180102 11:02:00,6.565,6.575,6.565,6.575,6834967,90486,0,
20180102 11:03:00,6.575,6.585,6.575,6.585,6906274,70836,0,
20180102 11:04:00,6.585,6.59,6.585,6.59,6910574,4300,0,
20180102 11:05:00,6.585,6.59,6.585,6.585,7097473,186697,0,
20180102 11:06:00,6.59,6.59,6.585,6.59,7103973,6400,0,
20180102 11:07:00,6.59,6.595,6.59,6.595,7181553,77026,0,
20180102 11:08:00,6.595,6.595,6.595,6.595,7183923,2370,0,
20180102 11:09:00,6.5943,6.6,6.5943,6.6,7184457,534,0,
20180102 11:10:00,6.595,6.595,6.595,6.595,7184640,100,0,
20180102 11:11:00,6.595,6.6,6.595,6.6,7185041,400,0,
20180102 11:12:00,6.595,6.595,6.595,6.595,7186741,1300,0,
20180102 11:13:00,6.595,6.595,6.595,6.595,7187441,700,0,
20180102 11:14:00,6.595,6.595,6.5939,6.595,7193287,5646,0,
20180102 11:15:00,6.595,6.595,6.595,6.595,7193506,200,0,
20180102 11:16:00,6.595,6.6,6.595,6.595,7195831,2300,0,
20180102 11:17:00,6.595,6.6,6.595,6.6,7196339,500,0,
20180102 11:18:00,6.595,6.61,6.595,6.6068,7411286,213698,0,
20180102 11:19:00,6.6,6.61,6.5907,6.6,7668860,257377,0,
20180102 11:20:00,6.6,6.605,6.58,6.595,8189425,520187,0,
20180102 11:21:00,6.59,6.595,6.59,6.59,8239561,49600,0,
20180102 11:23:00,6.58,6.58,6.58,6.58,8259970,20256,0,
20180102 11:24:00,6.58,6.58,6.58,6.58,8331742,71724,0,
20180102 11:26:00,6.585,6.585,6.5843,6.585,8338292,6350,0,
20180102 11:27:00,6.585,6.585,6.585,6.585,8339992,1200,0,
20180102 11:28:00,6.585,6.585,6.575,6.58,8381871,41777,0,
20180102 11:29:00,6.58,6.58,6.575,6.575,8383171,1300,0,
20180102 11:30:00,6.575,6.575,6.575,6.575,8383771,600,0,
20180102 11:31:00,6.575,6.575,6.575,6.575,8385300,1478,0,
20180102 11:32:00,6.575,6.575,6.57,6.575,8386291,891,0,
20180102 11:33:00,6.575,6.5785,6.57,6.575,8391777,5300,0,
20180102 11:34:00,6.575,6.575,6.575,6.575,8392879,1002,0,
20180102 11:35:00,6.57,6.575,6.57,6.575,8396378,1300,0,
20180102 11:36:00,6.57,6.575,6.57,6.57,8399306,2900,0,
20180102 11:37:00,6.57,6.57,6.565,6.565,8480251,80324,0,
20180102 11:38:00,6.565,6.565,6.565,6.565,8480851,600,0,
20180102 11:39:00,6.565,6.565,6.565,6.565,8481270,300,0,
