TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,64.3,64.3,64.3,64.3,424,424,0,
20180102 09:33:00,64.5,64.5,64.5,64.5,874,100,0,
20180102 09:34:00,64.325,64.35,63.9,64.1,10568,9400,0,
20180102 09:35:00,64.1,64.1,63.85,63.85,10908,300,0,
20180102 09:36:00,63.9,63.9,63.9,63.9,11069,100,0,
20180102 09:37:00,63.95,64.05,63.95,64.05,12087,1000,0,
20180102 09:38:00,64,64.05,63.705,63.705,13015,800,0,
20180102 09:39:00,63.95,63.95,63.95,63.95,13215,200,0,
20180102 09:40:00,64,64,63.95,63.95,13415,200,0,
20180102 09:42:00,64,64,64,64,13515,100,0,
20180102 09:45:00,63.7,63.75,63.55,63.55,15051,1410,0,
20180102 09:46:00,63.5,63.5,63.5,63.5,15152,100,0,
20180102 09:47:00,63.65,63.7,63.625,63.7,16097,700,0,
20180102 09:50:00,63.65,63.65,63.65,63.65,16398,300,0,
20180102 09:51:00,63.5,63.5,63.5,63.5,16598,200,0,
20180102 09:52:00,63.425,63.425,63.425,63.425,16831,100,0,
20180102 09:54:00,63.35,63.55,63.35,63.55,17385,300,0,
20180102 09:57:00,63.55,63.6,63.55,63.6,17785,400,0,
20180102 09:59:00,63.7397,63.75,63.7,63.7,18523,518,0,
20180102 10:01:00,63.8,63.8,63.75,63.75,18848,300,0,
20180102 10:02:00,63.7,63.7,63.65,63.65,19148,300,0,
20180102 10:03:00,63.65,63.75,63.65,63.7,20008,740,0,
20180102 10:06:00,63.75,63.775,63.7,63.75,21908,1800,0,
20180102 10:07:00,63.75,63.75,63.6,63.6,36108,14164,0,
20180102 10:09:00,63.7,63.75,63.7,63.7,37726,1500,0,
20180102 10:11:00,63.7,63.75,63.7,63.7,38426,700,0,
20180102 10:12:00,63.7,63.775,63.7,63.75,41339,2700,0,
20180102 10:13:00,63.75,63.85,63.75,63.85,44039,2700,0,
20180102 10:14:00,63.8,63.8,63.8,63.8,44249,205,0,
20180102 10:15:00,63.9,63.9,63.85,63.9,44944,600,0,
20180102 10:17:00,63.9,63.9,63.9,63.9,45044,100,0,
20180102 10:18:00,63.9,63.95,63.9,63.95,45544,500,0,
20180102 10:21:00,63.9,63.9,63.9,63.9,46079,300,0,
20180102 10:22:00,64,64,63.95,64,47907,1500,0,
20180102 10:24:00,64.05,64.05,64,64,48278,300,0,
20180102 10:25:00,64,64,63.95,64,49236,923,0,
