TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 08:25:00,0.4662,0.4662,0.4662,0.4662,1700,1700,0,
20180102 09:00:00,0.4669,0.4669,0.4669,0.4669,2700,1000,0,
20180102 09:26:00,0.4676,0.4676,0.4676,0.4676,5184,2484,0,
20180102 09:30:00,0.4521,0.4677,0.4521,0.46,9585,4365,0,
20180102 09:31:00,0.4626,0.4626,0.4626,0.4626,10423,300,0,
20180102 09:33:00,0.4609,0.4609,0.4609,0.4609,10525,100,0,
20180102 09:34:00,0.472,0.472,0.472,0.472,10685,150,0,
20180102 09:35:00,0.4731,0.4733,0.4731,0.4733,11180,400,0,
20180102 09:37:00,0.4855,0.4855,0.4855,0.4855,11330,100,0,
20180102 09:38:00,0.4855,0.4855,0.4855,0.4855,11850,500,0,
20180102 09:40:00,0.4856,0.4856,0.4856,0.4856,12068,188,0,
20180102 09:41:00,0.478,0.4839,0.4727,0.4839,14868,2750,0,
20180102 09:43:00,0.4737,0.4737,0.4737,0.4737,17868,3000,0,
20180102 09:44:00,0.474,0.474,0.474,0.474,17988,120,0,
20180102 09:45:00,0.4738,0.4738,0.466,0.466,22638,4550,0,
20180102 09:52:00,0.4671,0.4671,0.4671,0.4671,22842,115,0,
20180102 09:56:00,0.478,0.478,0.478,0.478,22942,100,0,
20180102 09:59:00,0.4675,0.4675,0.4675,0.4675,23382,440,0,
20180102 10:00:00,0.4683,0.48,0.4681,0.48,30382,7000,0,
20180102 10:01:00,0.4651,0.4651,0.4651,0.4651,30882,500,0,
20180102 10:02:00,0.48,0.48,0.4649,0.4713,32712,1830,0,
20180102 10:12:00,0.4649,0.4649,0.4648,0.4648,35315,2600,0,
20180102 10:20:00,0.4633,0.4633,0.46,0.46,35821,488,0,
20180102 10:22:00,0.4598,0.4598,0.4598,0.4598,36201,380,0,
20180102 10:24:00,0.4402,0.4599,0.4401,0.4599,40805,4570,0,
20180102 10:46:00,0.4501,0.4501,0.45,0.45,41195,300,0,
20180102 10:49:00,0.4619,0.4619,0.4619,0.4619,41795,600,0,
20180102 10:54:00,0.47,0.47,0.47,0.47,47798,6000,0,
20180102 11:08:00,0.46,0.46,0.46,0.46,47898,100,0,
20180102 11:11:00,0.46,0.46,0.46,0.46,48000,100,0,
20180102 11:23:00,0.4697,0.4697,0.4697,0.4697,51604,3500,0,
20180102 11:31:00,0.469,0.469,0.469,0.469,51972,310,0,
20180102 11:33:00,0.452,0.4697,0.452,0.4697,52302,329,0,
20180102 11:54:00,0.4661,0.4661,0.4661,0.4661,52506,200,0,
20180102 11:55:00,0.4661,0.4661,0.4661,0.4661,52606,100,0,
20180102 12:00:00,0.4697,0.4697,0.4697,0.4697,52968,250,0,
20180102 12:15:00,0.4696,0.4696,0.4696,0.4696,53255,200,0,
20180102 12:42:00,0.4699,0.4699,0.4699,0.4699,53546,100,0,
20180102 12:44:00,0.451,0.451,0.451,0.451,53646,100,0,
20180102 13:11:00,0.4563,0.4563,0.4563,0.4563,61500,7800,0,
20180102 13:20:00,0.452,0.452,0.452,0.452,61995,491,0,
20180102 14:03:00,0.452,0.452,0.452,0.452,62287,159,0,
20180102 14:11:00,0.4512,0.4512,0.4512,0.4512,62404,117,0,
20180102 14:15:00,0.4606,0.4606,0.4606,0.4606,62980,500,0,
20180102 14:17:00,0.4606,0.4606,0.4606,0.4606,63380,400,0,
20180102 14:36:00,0.453,0.453,0.453,0.453,63539,100,0,
20180102 14:46:00,0.4512,0.4512,0.4512,0.4512,64271,100,0,
20180102 14:49:00,0.452,0.452,0.452,0.452,64371,100,0,
20180102 14:56:00,0.452,0.4559,0.452,0.4559,64571,200,0,
20180102 15:01:00,0.469,0.469,0.469,0.469,64821,249,0,
20180102 15:03:00,0.4512,0.4512,0.4512,0.4512,65071,187,0,
20180102 15:14:00,0.4606,0.4606,0.4606,0.4606,65581,500,0,
20180102 15:27:00,0.469,0.469,0.469,0.469,65791,209,0,
20180102 15:45:00,0.4603,0.4642,0.4603,0.4642,66342,500,0,
20180102 15:46:00,0.4605,0.4605,0.4605,0.4605,68342,2000,0,
20180102 15:51:00,0.4675,0.4675,0.4675,0.4675,68972,600,0,
20180102 15:56:00,0.4605,0.4606,0.4605,0.4606,73531,4559,0,
20180102 15:59:00,0.466,0.466,0.466,0.466,73701,170,0,
