TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,1.4,1.4,1.4,1.4,270,270,0,
20180102 10:05:00,1.3665,1.3665,1.3665,1.3665,2017,1700,0,
20180102 10:06:00,1.35,1.35,1.35,1.35,4117,2100,0,
20180102 10:24:00,1.3874,1.3874,1.3874,1.3874,4392,275,0,
20180102 10:41:00,1.3753,1.3753,1.3753,1.3753,4567,175,0,
20180102 11:47:00,1.3755,1.3755,1.3755,1.3755,4785,100,0,
20180102 12:16:00,1.3668,1.3668,1.3668,1.3668,4885,100,0,
20180102 12:17:00,1.375,1.4,1.375,1.4,8285,3400,0,
20180102 12:20:00,1.375,1.4,1.375,1.4,10585,2200,0,
20180102 12:31:00,1.3641,1.3641,1.3641,1.3641,10804,219,0,
20180102 12:59:00,1.3655,1.4,1.3655,1.4,12432,1628,0,
20180102 13:03:00,1.4,1.4,1.4,1.4,18532,6100,0,
20180102 13:24:00,1.4,1.4,1.4,1.4,18795,200,0,
20180102 13:28:00,1.3845,1.3845,1.3845,1.3845,19295,500,0,
20180102 14:07:00,1.39,1.4,1.39,1.4,24397,5100,0,
20180102 14:18:00,1.4,1.4,1.4,1.4,24520,100,0,
20180102 14:48:00,1.35,1.35,1.35,1.35,25968,1448,0,
20180102 14:55:00,1.4,1.4,1.4,1.4,26320,300,0,
20180102 15:08:00,1.4,1.4,1.4,1.4,26436,110,0,
20180102 15:15:00,1.39,1.39,1.39,1.39,29436,3000,0,
20180102 15:20:00,1.4,1.4,1.4,1.4,30136,700,0,
20180102 15:29:00,1.4,1.4,1.4,1.4,30268,100,0,
20180102 15:40:00,1.4,1.4,1.4,1.4,30468,200,0,
20180102 15:53:00,1.35,1.4,1.35,1.4,30893,421,0,
20180102 15:58:00,1.36,1.36,1.36,1.36,31493,600,0,
20180102 15:59:00,1.4,1.4,1.4,1.4,31593,100,0,
20180102 16:00:00,1.35,1.35,1.35,1.35,32194,601,0,
