TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,37.86,37.86,37.86,37.86,1783,1783,0,
20180102 09:33:00,37.802,37.802,37.802,37.802,2283,500,0,
20180102 09:39:00,37.76,37.76,37.76,37.76,2576,200,0,
20180102 09:40:00,37.7,37.7,37.7,37.7,2741,136,0,
20180102 09:41:00,37.752,37.752,37.752,37.752,2853,100,0,
20180102 09:42:00,37.7,37.71,37.67,37.67,3303,400,0,
20180102 09:44:00,37.71,37.71,37.71,37.71,3582,230,0,
20180102 09:45:00,37.64,37.6957,37.64,37.6957,3782,200,0,
20180102 09:47:00,37.67,37.67,37.65,37.67,5094,1200,0,
20180102 09:48:00,37.665,37.665,37.665,37.665,5280,100,0,
20180102 09:49:00,37.68,37.725,37.68,37.68,8221,2700,0,
20180102 09:50:00,37.68,37.695,37.63,37.69,9513,1200,0,
20180102 09:53:00,37.69,37.69,37.69,37.69,9858,100,0,
20180102 09:56:00,37.71,37.71,37.71,37.71,10113,100,0,
20180102 09:58:00,37.73,37.73,37.73,37.73,10243,100,0,
20180102 09:59:00,37.7449,37.7449,37.7449,37.7449,10403,106,0,
20180102 10:00:00,37.77,37.77,37.77,37.77,10805,100,0,
20180102 10:02:00,37.8,37.83,37.8,37.8,11835,1000,0,
20180102 10:04:00,37.83,37.83,37.81,37.81,13022,1000,0,
20180102 10:05:00,37.81,37.85,37.8,37.85,14503,1300,0,
20180102 10:07:00,37.855,37.91,37.855,37.91,15807,1300,0,
20180102 10:09:00,37.915,37.915,37.915,37.915,16182,300,0,
20180102 10:10:00,37.89,37.92,37.89,37.92,17359,900,0,
20180102 10:11:00,37.92,37.95,37.9,37.94,19659,2000,0,
20180102 10:16:00,37.96,37.96,37.96,37.96,20159,300,0,
20180102 10:19:00,37.97,38.035,37.97,38.005,22474,2000,0,
20180102 10:20:00,38.025,38.03,38,38,23726,1100,0,
20180102 10:21:00,38.01,38.01,37.99,37.99,24643,900,0,
20180102 10:22:00,37.97,37.97,37.96,37.97,26258,1500,0,
20180102 10:23:00,37.99,38,37.98,38,26843,585,0,
20180102 10:24:00,38.02,38.05,38.02,38.05,27243,400,0,
20180102 10:25:00,38.08,38.08,38.02,38.02,28253,900,0,
20180102 10:26:00,38.01,38.04,38,38.04,28763,500,0,
20180102 10:28:00,38.07,38.08,38.07,38.08,29170,200,0,
20180102 10:29:00,38.05,38.05,38.05,38.05,29470,300,0,
20180102 10:30:00,38.0692,38.15,38.0692,38.14,31253,1403,0,
20180102 10:31:00,38.11,38.11,38.09,38.09,32165,600,0,
20180102 10:32:00,38.11,38.11,38.09,38.1,32566,300,0,
20180102 10:33:00,38.105,38.13,38.105,38.11,32966,400,0,
20180102 10:34:00,38.16,38.19,38.16,38.19,33166,200,0,
20180102 10:35:00,38.12,38.155,38.12,38.13,35066,1900,0,
20180102 10:36:00,38.155,38.155,38.1,38.149,36481,1400,0,
20180102 10:37:00,38.09,38.09,38.04,38.04,37391,800,0,
20180102 10:38:00,38.03,38.03,38,38.03,38811,1100,0,
20180102 10:39:00,37.99,37.99,37.99,37.99,39211,400,0,
20180102 10:40:00,38.03,38.07,38.03,38.07,40132,600,0,
20180102 10:41:00,38.055,38.055,38.055,38.055,40252,100,0,
20180102 10:42:00,38.02,38.03,38.02,38.02,40552,300,0,
20180102 10:43:00,38.07,38.07,38.065,38.065,40769,200,0,
20180102 10:44:00,38.05,38.05,38.02,38.03,41985,1200,0,
20180102 10:45:00,38.02,38.035,38.02,38.035,42304,300,0,
20180102 10:48:00,38.07,38.09,38.03,38.05,49993,7385,0,
20180102 10:49:00,38.06,38.06,38.03,38.04,54596,4076,0,
20180102 10:50:00,38.0301,38.05,38.03,38.03,56096,1400,0,
20180102 10:51:00,38.04,38.04,38.04,38.04,56600,500,0,
20180102 10:52:00,38.055,38.09,38.055,38.06,57557,900,0,
20180102 10:53:00,38.14,38.14,38.14,38.14,57757,200,0,
20180102 10:54:00,38.09,38.105,38.08,38.08,58443,500,0,
20180102 10:55:00,38.12,38.12,38.12,38.12,58692,100,0,
20180102 10:56:00,38.08,38.08,38.08,38.08,58892,200,0,
20180102 10:57:00,38.08,38.08,38.08,38.08,59192,300,0,
20180102 10:58:00,38.13,38.14,38.13,38.14,59707,500,0,
20180102 10:59:00,38.09,38.15,38.09,38.15,60608,500,0,
20180102 11:00:00,38.1,38.1,38.1,38.1,60718,100,0,
20180102 11:01:00,38.09,38.09,38.09,38.09,60820,100,0,
20180102 11:02:00,38.13,38.145,38.11,38.11,62620,1700,0,
20180102 11:03:00,38.12,38.12,38.12,38.12,62823,200,0,
20180102 11:05:00,38.115,38.15,38.115,38.14,64070,1100,0,
20180102 11:06:00,38.17,38.17,38.14,38.14,64470,400,0,
20180102 11:07:00,38.15,38.17,38.15,38.17,64786,300,0,
20180102 11:08:00,38.15,38.15,38.15,38.15,64986,200,0,
20180102 11:10:00,38.17,38.18,38.16,38.17,66112,823,0,
20180102 11:11:00,38.18,38.19,38.18,38.19,66313,200,0,
20180102 11:12:00,38.15,38.15,38.15,38.15,66443,100,0,
20180102 11:14:00,38.18,38.18,38.14,38.15,67968,1400,0,
20180102 11:15:00,38.17,38.17,38.17,38.17,68068,100,0,
20180102 11:18:00,38.18,38.19,38.14,38.14,69792,1300,0,
20180102 11:19:00,38.1436,38.1436,38.13,38.13,70309,517,0,
20180102 11:20:00,38.13,38.14,38.1,38.1,74242,3840,0,
20180102 11:21:00,38.09,38.09,38.07,38.07,75073,800,0,
20180102 11:22:00,38.05,38.06,38.03,38.06,76187,900,0,
20180102 11:23:00,38.04,38.05,38.04,38.04,77087,900,0,
20180102 11:24:00,38.01,38.01,38.01,38.01,77591,400,0,
20180102 11:25:00,38.02,38.04,38.02,38.04,77891,200,0,
20180102 11:27:00,38.08,38.08,38.08,38.08,78291,100,0,
20180102 11:28:00,38.08,38.08,38.05,38.065,78890,400,0,
20180102 11:29:00,38.07,38.07,38.04,38.04,79813,900,0,
20180102 11:30:00,38.05,38.05,38.02,38.03,80447,600,0,
20180102 11:31:00,38.02,38.02,38.02,38.02,80747,300,0,
20180102 11:32:00,38.01,38.01,37.97,37.97,84397,3200,0,
20180102 11:33:00,37.92,37.93,37.91,37.93,85114,500,0,
20180102 11:34:00,37.91,37.91,37.91,37.91,85314,200,0,
20180102 11:35:00,37.91,37.91,37.85,37.85,86549,1105,0,
