TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,188.13,188.45,188.13,188.45,2742,2281,0,
20180102 09:31:00,188.5293,188.5293,188.5293,188.5293,2972,212,0,
20180102 09:32:00,188.51,188.51,188.46,188.46,3735,500,0,
20180102 09:33:00,188.979,188.979,188.05,188.05,4695,935,0,
20180102 09:34:00,188.8,188.8,188.8,188.8,4795,100,0,
20180102 09:35:00,188.81,188.81,188.81,188.81,4957,100,0,
20180102 09:36:00,188.1114,188.8,188.1114,188.8,5217,200,0,
20180102 09:38:00,188.85,188.93,188.85,188.9,7343,1404,0,
20180102 09:39:00,189.09,189.49,189.09,189.49,7803,400,0,
20180102 09:40:00,189.84,189.93,189.84,189.93,8008,200,0,
20180102 09:41:00,189.83,189.94,189.83,189.94,8879,700,0,
20180102 09:42:00,189.99,190,189.99,190,9493,600,0,
20180102 09:43:00,190.1,190.1,190.1,190.1,9697,200,0,
20180102 09:44:00,190.08,190.08,190.08,190.08,9907,100,0,
20180102 09:45:00,189.925,190.27,189.925,190.27,10326,400,0,
20180102 09:46:00,190.45,190.45,190.11,190.13,12065,1200,0,
20180102 09:47:00,190.8,190.82,190.25,190.41,14789,2100,0,
20180102 09:48:00,191.03,191.28,190.79,191.28,15457,340,0,
20180102 09:49:00,190.9,190.9,190.8,190.8,16008,500,0,
20180102 09:50:00,190.565,190.565,190.565,190.565,16108,100,0,
20180102 09:55:00,190.79,190.79,190.79,190.79,16309,100,0,
20180102 09:57:00,190.79,190.82,190.79,190.79,16650,300,0,
20180102 09:59:00,190.99,190.99,190.67,190.67,18200,1200,0,
20180102 10:01:00,190.99,191.045,190.99,191.045,19160,800,0,
20180102 10:02:00,191.098,191.098,191.098,191.098,19760,600,0,
20180102 10:03:00,191.21,191.21,191.045,191.045,20978,900,0,
20180102 10:04:00,191.21,191.21,191.21,191.21,22105,1000,0,
20180102 10:05:00,191.21,191.21,191.02,191.12,23849,1400,0,
20180102 10:06:00,191.0685,191.0685,191.0685,191.0685,23955,100,0,
20180102 10:07:00,191.21,191.33,191.06,191.33,25493,1100,0,
20180102 10:09:00,191.29,191.615,191.28,191.615,26217,619,0,
20180102 10:12:00,191.55,191.55,191.55,191.55,26455,100,0,
20180102 10:14:00,191.47,191.47,191.47,191.47,26647,100,0,
20180102 10:15:00,191.6,191.6,191.6,191.6,26932,100,0,
20180102 10:16:00,191.41,191.6,191.38,191.6,28400,1300,0,
20180102 10:17:00,191.4,191.47,191.4,191.47,28600,200,0,
20180102 10:18:00,191.33,191.38,191.33,191.38,29311,300,0,
20180102 10:19:00,191.27,191.27,191.27,191.27,29450,100,0,
20180102 10:20:00,191.323,191.323,191.323,191.323,29684,200,0,
20180102 10:22:00,191.44,191.6,191.44,191.6,30104,300,0,
20180102 10:24:00,191.5047,191.5047,191.5047,191.5047,30266,105,0,
20180102 10:25:00,191.42,191.42,191.36,191.37,30919,425,0,
20180102 10:26:00,191.35,191.6,191.35,191.48,34690,3034,0,
20180102 10:27:00,191.51,191.51,191.5,191.5,35026,200,0,
20180102 10:28:00,191.49,191.5,191.49,191.5,35513,310,0,
20180102 10:30:00,191.49,191.49,191.49,191.49,35989,300,0,
20180102 10:31:00,191.62,191.62,191.44,191.44,36425,300,0,
20180102 10:32:00,191.1101,191.21,191.1101,191.2,36784,300,0,
20180102 10:37:00,191.29,191.29,191.26,191.26,37282,200,0,
20180102 10:38:00,191.285,191.285,191.285,191.285,37451,100,0,
20180102 10:43:00,191.37,191.49,191.3409,191.3409,43190,4762,0,
20180102 10:44:00,191.41,191.41,191.41,191.41,43290,100,0,
20180102 10:46:00,191.4,191.4,191.4,191.4,43906,100,0,
20180102 10:47:00,191.29,191.29,191.24,191.24,45442,1100,0,
20180102 10:48:00,191.01,191.01,190.97,191,46144,300,0,
20180102 10:49:00,191.0745,191.0745,191.0745,191.0745,46273,115,0,
20180102 10:51:00,191.0384,191.0384,191.0384,191.0384,46437,150,0,
20180102 10:52:00,190.97,191.28,190.91,191.28,48090,1200,0,
20180102 10:53:00,191.44,191.44,191.44,191.44,48488,385,0,
20180102 10:56:00,191.94,191.94,191.94,191.94,48618,100,0,
20180102 10:59:00,191.94,191.94,191.94,191.94,49147,400,0,
20180102 11:00:00,191.93,191.93,191.92,191.92,49353,200,0,
20180102 11:01:00,191.97,191.99,191.92,191.99,50934,1200,0,
20180102 11:02:00,191.99,191.99,191.99,191.99,52167,1100,0,
20180102 11:03:00,191.99,191.99,191.99,191.99,52809,500,0,
20180102 11:06:00,191.99,191.99,191.99,191.99,53060,200,0,
20180102 11:07:00,191.99,191.99,191.99,191.99,53360,100,0,
20180102 11:09:00,191.99,191.99,191.87,191.96,53933,300,0,
20180102 11:11:00,191.93,191.93,191.92,191.92,54872,900,0,
