TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:55:00,25.33,25.51,25.33,25.51,4110,4110,0,
20180102 10:29:00,25.4902,25.4902,25.4902,25.4902,4310,200,0,
20180102 11:22:00,25.4606,25.4606,25.4606,25.4606,4410,100,0,
20180102 12:16:00,25.46,25.46,25.46,25.46,4510,100,0,
20180102 13:16:00,25.4584,25.4584,25.37,25.37,5810,1300,0,
20180102 13:19:00,25.3444,25.3444,25.3444,25.3444,7810,2000,0,
20180102 13:20:00,25.36,25.36,25.3396,25.34,11810,4000,0,
20180102 13:29:00,25.3397,25.3397,25.3397,25.3397,13810,2000,0,
20180102 13:40:00,25.26,25.26,25.26,25.26,14510,700,0,
20180102 14:01:00,25.27,25.27,25.26,25.27,17310,2800,0,
20180102 14:49:00,25.28,25.28,25.25,25.25,20310,3000,0,
20180102 14:51:00,25.25,25.25,25.23,25.25,29855,9545,0,
