TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:20:00,8.75,8.75,8.75,8.75,150,150,0,
20180102 09:30:00,8.64,8.65,8.64,8.64,12131,11680,0,
20180102 09:31:00,8.64,8.64,8.64,8.64,12475,200,0,
20180102 09:32:00,8.64,8.64,8.63,8.6361,13447,865,0,
20180102 09:33:00,8.64,8.65,8.64,8.64,16433,2825,0,
20180102 09:35:00,8.63,8.63,8.61,8.61,20327,3410,0,
20180102 09:36:00,8.615,8.6152,8.61,8.6152,22094,1710,0,
20180102 09:37:00,8.614,8.614,8.614,8.614,23294,1200,0,
20180102 09:40:00,8.61,8.62,8.61,8.62,23544,250,0,
20180102 09:41:00,8.629,8.629,8.629,8.629,23725,181,0,
20180102 09:42:00,8.629,8.63,8.629,8.63,26004,2250,0,
20180102 09:44:00,8.6285,8.6285,8.6285,8.6285,27504,1500,0,
20180102 09:45:00,8.62,8.62,8.62,8.62,27717,200,0,
20180102 09:46:00,8.61,8.61,8.61,8.61,28015,200,0,
20180102 09:47:00,8.61,8.61,8.6,8.6,30136,2000,0,
20180102 09:49:00,8.605,8.61,8.605,8.61,30456,300,0,
20180102 09:50:00,8.605,8.61,8.605,8.61,30785,300,0,
20180102 09:51:00,8.605,8.605,8.6001,8.6001,31635,700,0,
20180102 09:52:00,8.61,8.61,8.61,8.61,31735,100,0,
20180102 09:53:00,8.61,8.61,8.61,8.61,31835,100,0,
20180102 09:55:00,8.6089,8.6089,8.6089,8.6089,31955,100,0,
20180102 09:56:00,8.61,8.63,8.6072,8.63,34198,1893,0,
20180102 09:58:00,8.63,8.63,8.625,8.625,35035,737,0,
20180102 09:59:00,8.63,8.63,8.63,8.63,35135,100,0,
20180102 10:01:00,8.63,8.63,8.63,8.63,35746,600,0,
20180102 10:03:00,8.64,8.64,8.64,8.64,35946,200,0,
20180102 10:05:00,8.64,8.67,8.64,8.6658,40259,3899,0,
20180102 10:06:00,8.67,8.67,8.66,8.6693,42798,2489,0,
20180102 10:08:00,8.66,8.66,8.66,8.66,43013,100,0,
20180102 10:09:00,8.66,8.66,8.66,8.66,44470,1283,0,
20180102 10:10:00,8.65,8.6543,8.65,8.6543,44915,445,0,
20180102 10:12:00,8.656,8.656,8.6523,8.6525,46217,1300,0,
20180102 10:13:00,8.6559,8.6571,8.6559,8.6571,48372,2154,0,
20180102 10:14:00,8.65,8.6557,8.65,8.6557,49574,1100,0,
20180102 10:15:00,8.6501,8.6533,8.65,8.65,51074,1400,0,
20180102 10:16:00,8.65,8.655,8.65,8.65,51482,400,0,
20180102 10:17:00,8.655,8.6599,8.655,8.6599,51782,300,0,
20180102 10:18:00,8.654,8.6591,8.654,8.6591,58127,6245,0,
20180102 10:19:00,8.655,8.6575,8.65,8.655,61236,3109,0,
20180102 10:23:00,8.6545,8.6545,8.6545,8.6545,61439,200,0,
20180102 10:24:00,8.655,8.655,8.655,8.655,61739,100,0,
20180102 10:25:00,8.65,8.6501,8.65,8.65,67750,5800,0,
20180102 10:26:00,8.645,8.645,8.64,8.64,69168,1100,0,
20180102 10:27:00,8.63,8.63,8.63,8.63,69318,150,0,
20180102 10:31:00,8.6301,8.636,8.6301,8.636,70438,1100,0,
20180102 10:33:00,8.63,8.63,8.63,8.63,70738,300,0,
20180102 10:35:00,8.635,8.635,8.635,8.635,70838,100,0,
20180102 10:37:00,8.63,8.63,8.63,8.63,70938,100,0,
20180102 10:38:00,8.63,8.63,8.63,8.63,71438,500,0,
20180102 10:39:00,8.635,8.64,8.631,8.631,72955,1517,0,
20180102 10:43:00,8.6361,8.6361,8.6361,8.6361,73230,175,0,
20180102 10:46:00,8.6347,8.64,8.6347,8.64,73430,200,0,
20180102 10:47:00,8.635,8.64,8.635,8.64,74630,1200,0,
20180102 10:51:00,8.64,8.64,8.635,8.635,74836,200,0,
20180102 10:53:00,8.64,8.64,8.64,8.64,74936,100,0,
20180102 10:56:00,8.64,8.64,8.64,8.64,75038,100,0,
20180102 10:57:00,8.64,8.64,8.635,8.635,75290,250,0,
20180102 10:59:00,8.64,8.64,8.64,8.64,75390,100,0,
20180102 11:00:00,8.6347,8.64,8.6347,8.64,75890,500,0,
20180102 11:01:00,8.6301,8.64,8.63,8.64,76400,410,0,
20180102 11:02:00,8.64,8.64,8.64,8.64,76610,210,0,
