TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 04:00:00,58,58,58,58,2548,2436,0,
20180102 04:01:00,58,58.55,58,58.55,3712,1000,0,
20180102 04:22:00,58.7,58.7,58.7,58.7,3839,100,0,
20180102 06:27:00,58.69,58.69,58.69,58.69,4339,500,0,
20180102 06:59:00,58.75,58.82,58.75,58.82,6214,1800,0,
20180102 07:00:00,58.48,58.5,58.48,58.5,6439,200,0,
20180102 07:01:00,58.73,58.73,58.73,58.73,6539,100,0,
20180102 07:40:00,58.5,58.5,58.5,58.5,6639,100,0,
20180102 08:05:00,58.55,58.55,58.5,58.5,7032,300,0,
20180102 08:06:00,58.5,58.5,58.5,58.5,7132,100,0,
20180102 08:07:00,58.9,59,58.65,58.74,8660,1417,0,
20180102 08:27:00,58.5,58.5,58.5,58.5,9060,200,0,
20180102 08:28:00,58.5,58.5,58.5,58.5,9960,900,0,
20180102 08:30:00,58.5,58.5,58.5,58.5,10508,500,0,
20180102 08:31:00,58.5,58.52,58.5,58.52,11708,1200,0,
20180102 08:33:00,58.51,58.51,58.51,58.51,11923,200,0,
20180102 08:34:00,58.51,58.51,58.51,58.51,12098,100,0,
20180102 08:37:00,58.51,58.52,58.5,58.5,13348,1150,0,
20180102 08:38:00,58.5,58.7,58.5,58.7,14368,950,0,
20180102 08:45:00,58.52,58.52,58.5,58.52,20748,6300,0,
20180102 08:47:00,58.52,58.52,58.52,58.52,20948,200,0,
20180102 08:49:00,58.52,58.52,58.52,58.52,21048,100,0,
20180102 08:53:00,58.63,58.63,58.5,58.52,22067,900,0,
20180102 08:54:00,58.53,58.55,58.5,58.55,23867,1800,0,
20180102 08:55:00,58.55,58.55,58.55,58.55,23967,100,0,
20180102 08:56:00,58.51,58.52,58.5,58.52,26867,2900,0,
20180102 08:57:00,58.5,58.52,58.5,58.51,27367,500,0,
20180102 08:58:00,58.5,58.52,58.5,58.52,29367,2000,0,
20180102 08:59:00,58.5,58.5,58.5,58.5,30267,800,0,
20180102 09:00:00,58.5,58.51,58.5,58.5,32878,1600,0,
20180102 09:03:00,58.5,58.5,58.5,58.5,33053,100,0,
20180102 09:05:00,58.5,58.5,58.5,58.5,33253,100,0,
20180102 09:06:00,58.5,58.5,58.5,58.5,41297,7134,0,
20180102 09:09:00,58.3,58.35,58.3,58.35,42082,700,0,
