TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,37.8,37.8,37.8,37.8,127,127,0,
20180102 09:38:00,38.1,38.1,38.05,38.05,582,400,0,
20180102 09:41:00,37.7,37.7,37.7,37.7,743,100,0,
20180102 09:43:00,37.7,37.7,37.7,37.7,913,100,0,
20180102 09:44:00,37.7,38.15,37.7,38.15,1903,874,0,
20180102 10:01:00,38.05,38.25,38.05,38.25,3125,826,0,
20180102 10:06:00,38.35,38.35,38.35,38.35,3325,200,0,
20180102 10:09:00,38.85,38.85,38.85,38.85,3450,100,0,
20180102 10:17:00,38.75,38.75,38.6,38.6,5504,1600,0,
20180102 10:27:00,38.45,38.45,38.45,38.45,5824,300,0,
20180102 10:28:00,38.45,38.45,38.15,38.35,7112,1120,0,
20180102 10:29:00,38.35,38.35,38.35,38.35,7212,100,0,
20180102 11:33:00,38.05,38.05,38.05,38.05,7772,400,0,
20180102 11:44:00,37.975,37.975,37.975,37.975,7967,100,0,
20180102 12:13:00,38.05,38.05,38.05,38.05,8072,100,0,
20180102 12:59:00,38.05,38.05,38.05,38.05,8309,178,0,
20180102 13:02:00,38.05,38.05,38.05,38.05,8409,100,0,
20180102 13:24:00,37.9,37.9,37.9,37.9,8915,300,0,
20180102 13:51:00,37.9,37.9,37.9,37.9,9134,100,0,
20180102 14:00:00,37.8,37.8,37.75,37.8,9539,300,0,
20180102 14:21:00,37.55,37.6,37.55,37.55,10362,600,0,
20180102 15:11:00,37.7,37.7,37.7,37.7,10567,168,0,
20180102 15:19:00,37.7,37.7,37.7,37.7,10813,100,0,
20180102 15:45:00,37.65,37.65,37.65,37.65,11123,100,0,
20180102 15:48:00,37.65,37.65,37.65,37.65,11542,200,0,
20180102 15:50:00,37.7,37.7,37.7,37.7,11944,200,0,
20180102 15:51:00,37.7,37.7,37.7,37.7,12044,100,0,
20180102 15:52:00,37.7,37.7,37.7,37.7,12570,400,0,
20180102 15:58:00,37.65,37.65,37.65,37.65,12808,148,0,
20180102 15:59:00,37.7,37.75,37.65,37.75,14235,578,0,
20180102 16:00:00,37.65,37.65,37.65,37.65,16072,1837,0,
