TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,5,5,5,5,4755,4755,0,
20180102 09:32:00,5,5.1,5,5.1,6209,1300,0,
20180102 09:38:00,5,5.05,5,5,7031,600,0,
20180102 09:39:00,5,5.05,5,5.05,7499,400,0,
20180102 09:40:00,5.05,5.1,5.05,5.1,7841,300,0,
20180102 09:43:00,5.05,5.05,5.05,5.05,8159,100,0,
20180102 09:46:00,5.01,5.01,5.01,5.01,8769,500,0,
20180102 09:49:00,5.05,5.1,5.05,5.05,9911,800,0,
20180102 09:50:00,5.05,5.1,5.05,5.05,11359,1134,0,
20180102 09:54:00,5.1,5.1,5.1,5.1,11569,200,0,
20180102 09:58:00,5.1,5.1,5.1,5.1,11769,100,0,
20180102 09:59:00,5.05,5.05,5.05,5.05,12369,500,0,
20180102 10:03:00,5.0767,5.0767,5.0767,5.0767,12689,300,0,
20180102 10:04:00,5.1,5.2,5.1,5.175,17378,4500,0,
20180102 10:06:00,5.15,5.15,5.15,5.15,20278,2800,0,
20180102 10:07:00,5.15,5.15,5.125,5.125,21378,874,0,
20180102 10:08:00,5.2,5.2,5.2,5.2,21488,100,0,
20180102 10:09:00,5.15,5.15,5.15,5.15,21798,300,0,
20180102 10:10:00,5.125,5.125,5.125,5.125,21898,100,0,
20180102 10:14:00,5.15,5.15,5.15,5.15,22231,100,0,
20180102 10:18:00,5.15,5.2,5.15,5.2,22979,600,0,
20180102 10:21:00,5.15,5.15,5.15,5.15,23328,200,0,
20180102 10:28:00,5.12,5.15,5.12,5.15,24283,565,0,
20180102 10:29:00,5.125,5.15,5.125,5.15,24753,400,0,
20180102 10:30:00,5.15,5.15,5.15,5.15,24973,200,0,
20180102 10:31:00,5.15,5.15,5.15,5.15,25854,800,0,
20180102 10:34:00,5.175,5.175,5.1684,5.1684,26446,500,0,
20180102 10:35:00,5.2,5.2,5.2,5.2,26646,200,0,
20180102 10:36:00,5.175,5.175,5.175,5.175,26756,100,0,
20180102 10:37:00,5.15,5.2,5.15,5.2,29236,2100,0,
20180102 10:45:00,5.175,5.175,5.175,5.175,29617,100,0,
20180102 10:51:00,5.175,5.175,5.175,5.175,29727,100,0,
20180102 11:09:00,5.19,5.19,5.19,5.19,30781,960,0,
20180102 11:10:00,5.175,5.175,5.175,5.175,30991,100,0,
20180102 11:12:00,5.19,5.2,5.175,5.2,33231,2200,0,
20180102 11:15:00,5.169,5.169,5.169,5.169,33741,400,0,
20180102 11:20:00,5.2,5.2,5.2,5.2,34316,400,0,
20180102 11:21:00,5.175,5.2,5.175,5.175,35393,900,0,
20180102 11:22:00,5.2,5.2,5.2,5.2,35693,200,0,
20180102 11:29:00,5.175,5.175,5.175,5.175,36104,300,0,
20180102 11:31:00,5.2,5.2,5.2,5.2,36264,100,0,
20180102 11:32:00,5.19,5.2,5.175,5.2,38674,2400,0,
20180102 11:36:00,5.2,5.2,5.2,5.2,38974,100,0,
20180102 11:38:00,5.2,5.3,5.2,5.3,48153,9013,0,
20180102 11:43:00,5.3,5.3,5.3,5.3,48253,100,0,
20180102 11:44:00,5.3,5.3,5.3,5.3,48553,200,0,
20180102 11:45:00,5.3,5.3,5.3,5.3,48798,100,0,
20180102 11:50:00,5.3,5.3,5.3,5.3,49188,100,0,
20180102 11:51:00,5.275,5.3,5.2,5.3,54548,5134,0,
20180102 11:55:00,5.275,5.275,5.275,5.275,54848,300,0,
20180102 11:56:00,5.25,5.25,5.25,5.25,56373,1500,0,
20180102 11:59:00,5.3,5.3,5.25,5.25,56775,300,0,
20180102 12:01:00,5.3,5.3,5.3,5.3,57074,200,0,
20180102 12:06:00,5.3,5.3,5.3,5.3,57174,100,0,
20180102 12:08:00,5.3,5.3,5.275,5.275,58074,900,0,
20180102 12:11:00,5.3,5.3,5.3,5.3,58184,100,0,
20180102 12:14:00,5.275,5.275,5.275,5.275,58324,100,0,
20180102 12:20:00,5.275,5.3,5.275,5.3,58734,400,0,
20180102 12:22:00,5.3,5.3,5.3,5.3,58874,100,0,
20180102 12:23:00,5.25,5.275,5.25,5.275,60572,1300,0,
20180102 12:24:00,5.25,5.275,5.25,5.25,62282,1400,0,
20180102 12:28:00,5.225,5.225,5.225,5.225,62739,200,0,
20180102 12:29:00,5.2,5.2,5.2,5.2,62839,100,0,
20180102 12:31:00,5.2347,5.25,5.225,5.225,64239,1300,0,
20180102 12:36:00,5.225,5.225,5.225,5.225,64379,100,0,
20180102 12:41:00,5.225,5.225,5.225,5.225,64489,100,0,
20180102 12:50:00,5.225,5.225,5.225,5.225,64829,100,0,
