TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 04:28:00,14.6,14.6,14.6,14.6,300,300,0,
20180102 04:38:00,14.61,14.61,14.61,14.61,600,300,0,
20180102 04:40:00,14.63,14.63,14.63,14.63,900,300,0,
20180102 06:05:00,14.71,14.71,14.71,14.71,1150,100,0,
20180102 06:50:00,14.7,14.7,14.7,14.7,3450,2300,0,
20180102 06:58:00,14.69,14.69,14.69,14.69,3815,300,0,
20180102 07:00:00,14.69,14.69,14.69,14.69,4015,136,0,
20180102 07:02:00,14.68,14.68,14.68,14.68,7079,3000,0,
20180102 07:09:00,14.69,14.69,14.69,14.69,7379,300,0,
20180102 07:11:00,14.69,14.69,14.69,14.69,8379,1000,0,
20180102 07:14:00,14.68,14.68,14.67,14.67,9379,1000,0,
20180102 07:19:00,14.67,14.67,14.67,14.67,10629,1250,0,
20180102 07:20:00,14.66,14.66,14.66,14.66,11165,500,0,
20180102 07:21:00,14.66,14.66,14.66,14.66,12165,1000,0,
20180102 07:24:00,14.67,14.67,14.67,14.67,13365,1200,0,
20180102 07:31:00,14.68,14.68,14.68,14.68,13879,500,0,
20180102 07:33:00,14.68,14.68,14.68,14.68,14279,400,0,
20180102 07:41:00,14.65,14.65,14.65,14.65,14595,230,0,
20180102 07:45:00,14.65,14.65,14.65,14.65,15208,613,0,
20180102 07:46:00,14.68,14.68,14.68,14.68,15308,100,0,
20180102 07:53:00,14.68,14.69,14.68,14.69,16958,1600,0,
20180102 07:59:00,14.69,14.69,14.69,14.69,17158,150,0,
20180102 08:00:00,14.7,14.7,14.68,14.68,17393,200,0,
20180102 08:10:00,14.69,14.69,14.69,14.69,17793,385,0,
20180102 08:15:00,14.69,14.69,14.69,14.69,18793,985,0,
20180102 08:29:00,14.67,14.68,14.67,14.68,19093,300,0,
20180102 08:30:00,14.66,14.66,14.66,14.66,19293,200,0,
20180102 08:31:00,14.69,14.69,14.69,14.69,19793,500,0,
20180102 08:33:00,14.7,14.7,14.7,14.7,19993,200,0,
