TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:40:00,34.2,34.45,34.2,34.45,420,288,0,
20180102 09:52:00,34.2,34.2,34.2,34.2,601,100,0,
20180102 09:58:00,34.325,34.325,34.325,34.325,811,100,0,
20180102 10:24:00,34.3,34.3,34.2,34.2,1420,400,0,
20180102 10:25:00,34.15,34.15,34.15,34.15,1524,100,0,
20180102 10:31:00,34.1,34.1,34.1,34.1,1737,100,0,
20180102 10:38:00,34.1,34.1,33.9,33.9,2925,913,0,
20180102 10:55:00,33.98,33.98,33.98,33.98,3228,300,0,
20180102 11:03:00,33.95,33.95,33.95,33.95,3533,200,0,
20180102 11:11:00,33.975,33.975,33.975,33.975,3823,200,0,
20180102 11:12:00,33.95,33.95,33.95,33.95,4223,400,0,
20180102 11:13:00,33.975,34.05,33.975,34,6102,1491,0,
20180102 11:16:00,34,34,34,34,6723,500,0,
20180102 11:42:00,34,34,34,34,6829,100,0,
20180102 11:44:00,33.9,33.9,33.9,33.9,6929,100,0,
20180102 11:50:00,33.9,33.9,33.9,33.9,7034,100,0,
20180102 12:18:00,33.9,33.9,33.9,33.9,7142,100,0,
20180102 12:43:00,34,34.05,34,34,8543,600,0,
20180102 12:45:00,34,34,34,34,8730,100,0,
20180102 12:47:00,34,34,34,34,8830,100,0,
20180102 12:49:00,34,34,34,34,8930,100,0,
20180102 12:59:00,34.25,34.25,34,34,9936,900,0,
20180102 13:09:00,34,34,34,34,10230,294,0,
20180102 13:10:00,34.05,34.05,34.05,34.05,10330,100,0,
20180102 13:11:00,34.1,34.1,34.1,34.1,10530,200,0,
20180102 13:12:00,34.05,34.05,34.05,34.05,10630,100,0,
20180102 15:13:00,34,34,34,34,11134,200,0,
20180102 15:29:00,34.2,34.2,34.2,34.2,11436,100,0,
20180102 15:43:00,34.05,34.05,34,34,11822,300,0,
20180102 15:51:00,34.1,34.1,34.1,34.1,12211,100,0,
20180102 15:57:00,34.05,34.05,34.05,34.05,12382,100,0,
20180102 15:58:00,33.95,34.05,33.95,34.05,12951,400,0,
20180102 15:59:00,34.05,34.05,34.05,34.05,13343,261,0,
20180102 16:02:00,34.15,34.15,34.15,34.15,14195,819,0,
