TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 08:49:00,30.11,30.11,30.11,30.11,2534,2534,0,
20180102 09:30:00,30.39,30.58,30.32,30.5789,11482,8776,0,
20180102 09:31:00,30.39,30.43,30.3,30.33,13539,1372,0,
20180102 09:32:00,30.295,30.35,30.24,30.3,21507,7297,0,
20180102 09:33:00,30.21,30.23,30.08,30.08,37548,15801,0,
20180102 09:34:00,30,30.05,29.9,29.9,51265,13112,0,
20180102 09:35:00,29.91,30.025,29.88,29.98,64964,13065,0,
20180102 09:36:00,29.94,30.005,29.93,29.93,72853,7597,0,
20180102 09:37:00,29.958,29.96,29.958,29.96,73718,700,0,
20180102 09:38:00,29.94,29.94,29.93,29.93,74583,639,0,
20180102 09:39:00,29.98,30,29.96,29.96,81188,5943,0,
20180102 09:40:00,30,30,29.93,29.93,85431,3974,0,
20180102 09:41:00,29.9694,29.9694,29.92,29.92,88653,3050,0,
20180102 09:42:00,29.92,30,29.92,30,90144,1233,0,
20180102 09:43:00,30,30.005,29.91,30.005,91028,794,0,
20180102 09:44:00,29.92,29.94,29.91,29.91,91909,800,0,
20180102 09:45:00,30,30,29.93,29.93,93042,1130,0,
20180102 09:46:00,29.96,30.01,29.96,29.97,96580,3450,0,
20180102 09:47:00,29.96,29.98,29.88,29.88,102977,6326,0,
20180102 09:48:00,29.88,29.88,29.8,29.8,106430,3338,0,
20180102 09:49:00,29.79,29.79,29.7,29.7,108875,2148,0,
20180102 09:50:00,29.72,29.82,29.72,29.77,118387,8900,0,
20180102 09:52:00,29.7548,29.7548,29.71,29.7101,120428,1950,0,
20180102 09:53:00,29.7106,29.76,29.7,29.76,121432,880,0,
20180102 09:54:00,29.72,29.77,29.72,29.77,127567,6100,0,
20180102 09:55:00,29.745,29.745,29.745,29.745,127717,100,0,
20180102 09:56:00,29.77,29.78,29.7645,29.7645,129422,1600,0,
20180102 09:57:00,29.7762,29.7762,29.7762,29.7762,129687,200,0,
20180102 09:58:00,29.78,29.78,29.78,29.78,129997,200,0,
20180102 09:59:00,29.74,29.76,29.74,29.76,131106,900,0,
20180102 10:00:00,29.79,29.81,29.77,29.77,159462,28200,0,
20180102 10:01:00,29.809,29.83,29.78,29.82,161747,2185,0,
20180102 10:02:00,29.83,29.86,29.82,29.86,165622,3750,0,
20180102 10:03:00,29.89,29.9,29.875,29.875,171422,5700,0,
20180102 10:04:00,29.91,29.97,29.9,29.97,174971,2938,0,
20180102 10:05:00,29.9505,29.96,29.95,29.96,176719,1700,0,
20180102 10:06:00,29.97,29.97,29.92,29.922,177809,1050,0,
20180102 10:07:00,29.9237,29.95,29.9189,29.94,186393,8239,0,
20180102 10:08:00,29.94,29.95,29.93,29.94,188665,1600,0,
20180102 10:09:00,29.91,29.91,29.89,29.89,189144,300,0,
20180102 10:10:00,29.91,29.94,29.91,29.94,191492,1700,0,
20180102 10:11:00,29.9599,29.9599,29.93,29.93,192252,750,0,
20180102 10:12:00,29.96,29.96,29.9515,29.9515,192781,450,0,
20180102 10:13:00,29.94,29.97,29.94,29.97,196437,3371,0,
20180102 10:14:00,30,30,29.96,29.96,205245,8400,0,
20180102 10:15:00,29.97,30,29.97,30,214878,9506,0,
20180102 10:16:00,30,30,29.987,30,219278,4400,0,
20180102 10:17:00,29.97,30,29.87,30,239140,18936,0,
20180102 10:18:00,29.9999,29.9999,29.95,29.95,239881,700,0,
20180102 10:19:00,29.94,30,29.92,30,242385,2300,0,
20180102 10:20:00,30,30,29.95,29.95,243685,1100,0,
20180102 10:21:00,29.965,29.98,29.965,29.98,244050,300,0,
20180102 10:22:00,29.9435,29.9435,29.94,29.94,244531,446,0,
20180102 10:23:00,29.97,30.19,29.94,30.19,302307,56779,0,
20180102 10:24:00,30.18,30.19,30.165,30.165,343236,40850,0,
20180102 10:25:00,30.17,30.17,30.028,30.028,347551,3705,0,
20180102 10:27:00,30.0571,30.063,30,30.015,349695,1855,0,
20180102 10:28:00,30,30.1,30,30.06,353346,3568,0,
20180102 10:29:00,30.06,30.06,30.06,30.06,353465,100,0,
