TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,17.65,17.65,17.65,17.65,336,336,0,
20180102 09:34:00,17.6,17.6,17.6,17.6,1046,700,0,
20180102 09:35:00,17.6,17.65,17.6,17.65,1446,400,0,
20180102 09:49:00,17.55,17.55,17.475,17.475,3537,1415,0,
20180102 09:50:00,17.5,17.55,17.5,17.55,3937,400,0,
20180102 09:51:00,17.5,17.5,17.5,17.5,4651,600,0,
20180102 09:52:00,17.55,17.55,17.55,17.55,4755,100,0,
20180102 09:57:00,17.55,17.55,17.55,17.55,5165,200,0,
20180102 10:00:00,17.55,17.55,17.55,17.55,5395,100,0,
20180102 10:02:00,17.55,17.55,17.55,17.55,5635,100,0,
20180102 10:03:00,17.6,17.6,17.6,17.6,5793,100,0,
20180102 10:04:00,17.55,17.6,17.55,17.6,11300,5500,0,
20180102 10:05:00,17.6,17.6,17.6,17.6,11400,100,0,
20180102 10:07:00,17.6,17.6,17.6,17.6,12293,400,0,
20180102 10:08:00,17.65,17.65,17.65,17.65,13559,1135,0,
20180102 10:11:00,17.65,17.65,17.65,17.65,13709,100,0,
20180102 10:12:00,17.6,17.6,17.55,17.55,14599,655,0,
20180102 10:16:00,17.6,17.6,17.6,17.6,14894,198,0,
20180102 10:19:00,17.55,17.55,17.55,17.55,15670,395,0,
20180102 10:26:00,17.55,17.55,17.55,17.55,15943,238,0,
20180102 10:29:00,17.55,17.55,17.5,17.55,16490,500,0,
20180102 10:30:00,17.55,17.55,17.55,17.55,16790,300,0,
20180102 10:31:00,17.55,17.65,17.55,17.65,18290,1400,0,
20180102 10:35:00,17.6,17.6,17.55,17.55,19142,822,0,
20180102 10:36:00,17.55,17.55,17.55,17.55,19342,200,0,
20180102 10:37:00,17.55,17.55,17.55,17.55,19542,200,0,
20180102 10:44:00,17.5,17.5,17.45,17.45,24762,5100,0,
20180102 10:45:00,17.45,17.45,17.4,17.45,25767,900,0,
20180102 10:52:00,17.45,17.45,17.45,17.45,26967,976,0,
20180102 10:54:00,17.45,17.5,17.45,17.5,27467,500,0,
20180102 11:01:00,17.45,17.45,17.45,17.45,27627,100,0,
20180102 11:03:00,17.55,17.6,17.525,17.525,30835,3100,0,
20180102 11:04:00,17.45,17.45,17.45,17.45,31331,400,0,
20180102 11:19:00,17.4943,17.4943,17.4943,17.4943,31631,200,0,
20180102 11:23:00,17.5,17.5,17.5,17.5,31931,300,0,
20180102 11:28:00,17.45,17.5,17.425,17.45,36054,4088,0,
20180102 11:29:00,17.425,17.425,17.425,17.425,37667,1613,0,
20180102 11:32:00,17.425,17.425,17.425,17.425,38167,500,0,
20180102 11:33:00,17.4435,17.45,17.4435,17.45,38517,350,0,
20180102 11:38:00,17.4,17.45,17.4,17.45,40517,1900,0,
20180102 11:40:00,17.4,17.4,17.4,17.4,41217,700,0,
20180102 11:47:00,17.375,17.375,17.375,17.375,41399,100,0,
20180102 11:49:00,17.4,17.4,17.4,17.4,42717,803,0,
20180102 11:51:00,17.35,17.35,17.35,17.35,42817,100,0,
20180102 11:56:00,17.4,17.4,17.4,17.4,43017,200,0,
20180102 11:58:00,17.4,17.45,17.4,17.45,43217,200,0,
20180102 11:59:00,17.4,17.4,17.4,17.4,43317,100,0,
20180102 12:15:00,17.35,17.4,17.35,17.4,44117,700,0,
20180102 12:18:00,17.4,17.4,17.4,17.4,44217,100,0,
20180102 12:28:00,17.4,17.4,17.4,17.4,44317,100,0,
