TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,41.13,41.13,41.13,41.13,4299,4225,0,
20180102 09:31:00,41.14,41.14,41.14,41.14,4979,600,0,
20180102 09:32:00,41.09,41.09,41.05,41.05,5280,200,0,
20180102 09:33:00,41.04,41.04,40.96,40.96,6352,700,0,
20180102 09:34:00,40.9,40.9,40.84,40.84,7052,500,0,
20180102 09:35:00,40.87,40.94,40.87,40.94,10369,2802,0,
20180102 09:36:00,40.985,40.985,40.9,40.9,12969,2600,0,
20180102 09:37:00,40.905,41.04,40.905,40.94,18616,5237,0,
20180102 09:38:00,40.92,40.92,40.92,40.92,19289,200,0,
20180102 09:39:00,40.93,40.93,40.84,40.84,20758,1100,0,
20180102 09:40:00,40.82,40.84,40.82,40.84,21455,400,0,
20180102 09:41:00,40.85,40.86,40.83,40.84,22765,899,0,
20180102 09:42:00,40.83,40.83,40.78,40.78,24665,1800,0,
20180102 09:43:00,40.815,40.815,40.815,40.815,24765,100,0,
20180102 09:44:00,40.8,40.8,40.79,40.79,25312,400,0,
20180102 09:45:00,40.79,40.79,40.74,40.74,27011,1657,0,
20180102 09:46:00,40.73,40.79,40.73,40.79,28511,1000,0,
20180102 09:47:00,40.78,40.795,40.78,40.79,30085,1388,0,
20180102 09:49:00,40.76,40.76,40.76,40.76,30186,100,0,
20180102 09:50:00,40.74,40.74,40.65,40.66,32293,1900,0,
20180102 09:52:00,40.68,40.68,40.68,40.68,32693,400,0,
20180102 09:53:00,40.66,40.665,40.66,40.665,33327,428,0,
20180102 09:54:00,40.66,40.67,40.64,40.64,35870,2231,0,
20180102 09:55:00,40.66,40.695,40.66,40.68,37839,1700,0,
20180102 09:56:00,40.7,40.72,40.7,40.72,38758,840,0,
20180102 09:57:00,40.74,40.8,40.74,40.78,39559,600,0,
20180102 09:58:00,40.79,40.83,40.79,40.8,41009,1300,0,
20180102 09:59:00,40.815,40.84,40.78,40.81,45298,3940,0,
20180102 10:00:00,40.805,40.94,40.795,40.91,57281,11003,0,
20180102 10:01:00,40.89,40.95,40.89,40.91,64737,6908,0,
20180102 10:02:00,40.91,40.925,40.91,40.91,67354,2400,0,
20180102 10:03:00,40.9,41,40.9,40.99,73554,5440,0,
20180102 10:04:00,40.99,41.04,40.99,41,77712,3898,0,
20180102 10:05:00,41.01,41.02,41.01,41.02,79412,1700,0,
20180102 10:06:00,41.01,41.01,41,41.01,81544,2100,0,
20180102 10:07:00,41,41.005,40.99,40.99,84658,3104,0,
20180102 10:08:00,40.995,40.995,40.995,40.995,84861,200,0,
20180102 10:09:00,40.98,40.99,40.95,40.95,88807,3420,0,
20180102 10:10:00,40.95,40.98,40.95,40.97,94584,5444,0,
20180102 10:11:00,40.96,40.96,40.92,40.92,97773,2700,0,
20180102 10:12:00,40.93,40.98,40.93,40.97,100134,2138,0,
20180102 10:13:00,40.97,41.03,40.97,41.03,102260,1800,0,
20180102 10:14:00,41.015,41.03,41,41.03,102977,700,0,
20180102 10:15:00,41.06,41.07,41.06,41.07,106109,2820,0,
20180102 10:16:00,41.0523,41.12,41.0523,41.09,109684,3200,0,
20180102 10:17:00,41.09,41.1,41.07,41.07,161204,51419,0,
20180102 10:18:00,41.07,41.115,41.0601,41.115,164870,3600,0,
20180102 10:19:00,41.09,41.1,41.05,41.05,169374,4225,0,
20180102 10:20:00,41.094,41.094,41.04,41.09,170281,850,0,
20180102 10:21:00,41.06,41.06,41.06,41.06,170410,100,0,
20180102 10:22:00,41.06,41.06,41.06,41.06,170612,100,0,
20180102 10:23:00,41.07,41.105,41.07,41.1,173238,2464,0,
20180102 10:24:00,41.09,41.09,41.06,41.06,175645,2148,0,
20180102 10:25:00,41.055,41.06,41.04,41.04,176880,1204,0,
20180102 10:26:00,41.03,41.06,41.03,41.04,182696,5400,0,
20180102 10:27:00,41.04,41.04,41.02,41.02,183396,700,0,
20180102 10:28:00,41.02,41.037,41.01,41.035,185924,2456,0,
20180102 10:29:00,41.04,41.04,40.99,41.02,192798,6855,0,
20180102 10:30:00,40.99,41.01,40.99,41.01,194207,1245,0,
20180102 10:31:00,40.985,40.985,40.985,40.985,194307,100,0,
20180102 10:32:00,40.985,40.985,40.985,40.985,194411,100,0,
20180102 10:33:00,41,41.05,41,41.03,206346,11900,0,
20180102 10:34:00,41.03,41.06,41.01,41.06,213358,6200,0,
20180102 10:35:00,41.06,41.09,41.05,41.09,213959,600,0,
20180102 10:36:00,41.065,41.065,41.065,41.065,214159,200,0,
20180102 10:37:00,41.065,41.08,41.05,41.065,214969,800,0,
20180102 10:38:00,41.04,41.055,41.02,41.04,219643,4420,0,
20180102 10:39:00,41.03,41.05,41.03,41.04,225054,5320,0,
20180102 10:40:00,41.04,41.04,41.02,41.02,229099,3663,0,
20180102 10:41:00,41.03,41.03,41.03,41.03,229656,500,0,
20180102 10:42:00,41.03,41.035,41.03,41.035,230056,400,0,
20180102 10:43:00,41.05,41.05,41.04,41.04,230473,400,0,
20180102 10:44:00,41.04,41.05,41.04,41.04,231090,595,0,
20180102 10:45:00,41.04,41.05,41.04,41.05,231695,600,0,
20180102 10:46:00,41.045,41.05,41.04,41.04,234598,2900,0,
20180102 10:47:00,41.04,41.05,41.02,41.05,338942,104166,0,
20180102 10:48:00,41.05,41.17,41.05,41.17,344715,5500,0,
20180102 10:49:00,41.14,41.15,41.115,41.13,347797,2700,0,
20180102 10:50:00,41.13,41.13,41.12,41.12,348117,300,0,
20180102 10:51:00,41.12,41.13,41.09,41.105,351923,3164,0,
20180102 10:52:00,41.12,41.12,41.07,41.095,358918,6494,0,
20180102 10:53:00,41.09,41.095,41.085,41.085,360022,1100,0,
20180102 10:54:00,41.08,41.095,41.08,41.095,363105,2800,0,
20180102 10:55:00,41.09,41.11,41.05,41.05,368009,3865,0,
20180102 10:56:00,41.055,41.06,41.04,41.05,381376,13210,0,
20180102 10:57:00,41.05,41.07,41.05,41.06,384365,2510,0,
20180102 10:58:00,41.04,41.05,41.03,41.03,387260,2748,0,
20180102 10:59:00,41.035,41.04,41.035,41.04,388112,800,0,
20180102 11:00:00,41.04,41.05,41.04,41.04,391420,3034,0,
20180102 11:01:00,41.045,41.05,41.045,41.05,391920,500,0,
20180102 11:02:00,41.05,41.08,41.05,41.08,400981,8480,0,
20180102 11:03:00,41.08,41.08,41.01,41.03,431449,29659,0,
20180102 11:04:00,41.03,41.05,41.03,41.04,433563,2100,0,
20180102 11:05:00,41.045,41.05,41.045,41.05,434826,1000,0,
20180102 11:06:00,41.05,41.085,41.03,41.08,443913,8000,0,
20180102 11:07:00,41.08,41.1,41.08,41.09,446727,2560,0,
20180102 11:08:00,41.09,41.09,41.09,41.09,447427,700,0,
20180102 11:09:00,41.09,41.11,41.09,41.11,450089,2571,0,
20180102 11:10:00,41.1,41.105,41.08,41.08,453684,3228,0,
20180102 11:11:00,41.08,41.09,41.08,41.09,456087,2200,0,
20180102 11:12:00,41.09,41.09,41.08,41.09,458043,1900,0,
20180102 11:13:00,41.08,41.09,41.05,41.06,461151,2598,0,
20180102 11:14:00,41.09,41.095,41.08,41.09,465208,3860,0,
20180102 11:15:00,41.09,41.09,41.085,41.085,466138,900,0,
20180102 11:16:00,41.085,41.1,41.085,41.1,469368,2727,0,
20180102 11:17:00,41.1,41.1,41.1,41.1,469868,500,0,
20180102 11:18:00,41.1,41.1,41.08,41.08,472282,2300,0,
20180102 11:21:00,41.08,41.08,41.08,41.08,474255,1753,0,
20180102 11:22:00,41.08,41.08,41.08,41.08,474855,600,0,
20180102 11:23:00,41.08,41.08,41.07,41.075,476064,1108,0,
20180102 11:24:00,41.06,41.06,41.06,41.06,476171,100,0,
20180102 11:25:00,41.06,41.06,41.06,41.06,476706,500,0,
20180102 11:26:00,41.065,41.065,41.06,41.06,481901,4588,0,
20180102 11:27:00,41.06,41.07,41.06,41.065,483608,1700,0,
20180102 11:28:00,41.065,41.065,41.05,41.05,486238,2610,0,
20180102 11:29:00,41.06,41.085,41.06,41.085,487938,1700,0,
20180102 11:30:00,41.085,41.085,41.07,41.07,488381,300,0,
20180102 11:31:00,41.0701,41.11,41.0701,41.11,495567,7057,0,
20180102 11:32:00,41.095,41.095,41.08,41.095,495867,300,0,
20180102 11:33:00,41.08,41.1,41.08,41.1,497476,1500,0,
20180102 11:34:00,41.095,41.105,41.09,41.09,501107,3300,0,
20180102 11:35:00,41.085,41.1,41.085,41.1,506649,5120,0,
20180102 11:36:00,41.1,41.105,41.095,41.1,509507,2700,0,
