TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,12.25,12.3,12.2,12.2,6743,6743,0,
20180102 09:32:00,12.295,12.295,12.295,12.295,7093,310,0,
20180102 09:33:00,12.25,12.25,12.225,12.225,12136,4919,0,
20180102 09:35:00,12.225,12.225,12.2,12.2,12336,200,0,
20180102 09:37:00,12.25,12.25,12.25,12.25,12436,100,0,
20180102 09:38:00,12.225,12.225,12.225,12.225,14789,2350,0,
20180102 09:39:00,12.25,12.275,12.2,12.25,19324,4300,0,
20180102 09:43:00,12.275,12.3,12.275,12.3,19622,200,0,
20180102 09:45:00,12.275,12.275,12.275,12.275,19722,100,0,
20180102 09:47:00,12.275,12.275,12.275,12.275,20022,300,0,
20180102 09:48:00,12.275,12.275,12.275,12.275,20122,100,0,
20180102 09:50:00,12.25,12.25,12.225,12.225,23939,3717,0,
20180102 09:52:00,12.2166,12.25,12.2,12.25,25346,1292,0,
20180102 09:54:00,12.275,12.275,12.275,12.275,25646,300,0,
20180102 09:55:00,12.275,12.3,12.275,12.3,25846,200,0,
20180102 09:56:00,12.3,12.3,12.3,12.3,26046,114,0,
20180102 09:57:00,12.3,12.3,12.25,12.25,26546,400,0,
20180102 09:58:00,12.3,12.3,12.275,12.275,27178,486,0,
20180102 10:00:00,12.275,12.325,12.275,12.275,32874,5057,0,
20180102 10:01:00,12.3,12.3,12.3,12.3,33174,300,0,
20180102 10:04:00,12.325,12.325,12.3,12.3,33602,400,0,
20180102 10:05:00,12.325,12.325,12.3,12.325,34168,500,0,
20180102 10:06:00,12.35,12.35,12.325,12.325,34468,300,0,
20180102 10:07:00,12.325,12.35,12.325,12.35,35068,600,0,
20180102 10:08:00,12.35,12.35,12.35,12.35,35168,100,0,
20180102 10:13:00,12.325,12.325,12.325,12.325,35383,100,0,
20180102 10:14:00,12.35,12.35,12.325,12.325,36787,1240,0,
20180102 10:15:00,12.325,12.325,12.325,12.325,36987,200,0,
20180102 10:19:00,12.325,12.325,12.325,12.325,37687,300,0,
20180102 10:20:00,12.325,12.325,12.325,12.325,37787,100,0,
20180102 10:25:00,12.325,12.325,12.325,12.325,37987,100,0,
20180102 10:26:00,12.35,12.35,12.35,12.35,38387,300,0,
