TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,13.86,13.86,13.86,13.86,160,160,0,
20180102 10:28:00,14.112,14.112,14.112,14.112,339,100,0,
20180102 10:35:00,14.092,14.092,14.092,14.092,839,500,0,
20180102 10:40:00,13.9,13.92,13.71,13.71,6479,5583,0,
20180102 10:43:00,13.871,13.871,13.871,13.871,6629,150,0,
20180102 10:52:00,13.94,13.94,13.94,13.94,6729,100,0,
20180102 11:17:00,14.045,14.045,14.045,14.045,6873,132,0,
20180102 11:23:00,14.1,14.1,14.1,14.1,6991,100,0,
20180102 11:52:00,14.08,14.1082,14.08,14.1001,7395,300,0,
20180102 12:35:00,14.33,14.33,14.33,14.33,7660,100,0,
20180102 13:08:00,14.3282,14.3282,14.3282,14.3282,8083,388,0,
20180102 13:22:00,14.16,14.16,14.16,14.16,8283,100,0,
20180102 13:57:00,14.285,14.285,14.285,14.285,8611,328,0,
20180102 14:03:00,14.38,14.38,14.38,14.38,8912,200,0,
20180102 14:04:00,14.38,14.38,14.38,14.38,9012,100,0,
20180102 14:19:00,14.32,14.32,14.32,14.32,9250,100,0,
20180102 14:32:00,14.404,14.404,14.404,14.404,9383,100,0,
20180102 14:52:00,14.4,14.4,14.4,14.4,9483,100,0,
20180102 15:13:00,14.4424,14.4424,14.35,14.35,10584,1100,0,
20180102 15:14:00,14.4034,14.5,14.4034,14.5,12000,1416,0,
20180102 15:15:00,14.5101,14.5101,14.5101,14.5101,12100,100,0,
20180102 15:22:00,14.6701,14.6701,14.6701,14.6701,12263,100,0,
20180102 15:36:00,14.88,14.88,14.88,14.88,12365,100,0,
20180102 15:41:00,14.88,14.99,14.88,14.99,13085,718,0,
20180102 15:42:00,14.91,14.91,14.91,14.91,13285,100,0,
20180102 15:45:00,15.1975,15.1975,15.1975,15.1975,13535,238,0,
20180102 15:46:00,15.265,15.265,15.265,15.265,13786,250,0,
20180102 15:50:00,15.46,15.46,15.2301,15.2301,14917,990,0,
20180102 15:53:00,15.36,15.36,15.36,15.36,15017,100,0,
20180102 15:57:00,15.03,15.03,14.83,14.83,15266,249,0,
20180102 15:59:00,15.53,15.53,14.81,14.81,16066,800,0,
20180102 16:00:00,14.81,14.81,14.81,14.81,16171,105,0,
