TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,10.43,10.43,10.43,10.43,2228,2228,0,
20180102 09:35:00,10.49,10.49,10.49,10.49,2397,100,0,
20180102 09:39:00,10.47,10.5,10.46,10.47,3317,700,0,
20180102 09:44:00,10.4742,10.4742,10.4742,10.4742,3919,500,0,
20180102 09:45:00,10.45,10.47,10.45,10.45,5561,1532,0,
20180102 09:49:00,10.44,10.45,10.42,10.42,7033,1301,0,
20180102 09:50:00,10.43,10.43,10.43,10.43,7133,100,0,
20180102 09:51:00,10.44,10.44,10.43,10.43,7583,400,0,
20180102 09:54:00,10.42,10.42,10.42,10.42,7783,200,0,
20180102 09:55:00,10.43,10.43,10.43,10.43,7983,200,0,
20180102 09:56:00,10.45,10.46,10.43,10.46,8995,800,0,
20180102 09:57:00,10.46,10.46,10.46,10.46,9515,400,0,
20180102 09:58:00,10.46,10.46,10.46,10.46,9895,300,0,
20180102 09:59:00,10.46,10.46,10.43,10.43,10714,500,0,
20180102 10:00:00,10.47,10.48,10.47,10.47,11814,900,0,
20180102 10:02:00,10.475,10.475,10.475,10.475,12059,200,0,
20180102 10:03:00,10.48,10.48,10.48,10.48,12359,300,0,
20180102 10:05:00,10.48,10.48,10.48,10.48,14059,1500,0,
20180102 10:06:00,10.485,10.485,10.485,10.485,14159,100,0,
20180102 10:07:00,10.485,10.52,10.47,10.52,16551,2300,0,
20180102 10:08:00,10.52,10.52,10.52,10.52,16651,100,0,
20180102 10:09:00,10.51,10.52,10.51,10.52,17051,300,0,
20180102 10:10:00,10.5,10.5,10.5,10.5,17176,100,0,
20180102 10:11:00,10.49,10.49,10.49,10.49,17277,100,0,
20180102 10:12:00,10.4915,10.4915,10.47,10.47,18763,1441,0,
20180102 10:14:00,10.46,10.48,10.46,10.48,19273,500,0,
20180102 10:15:00,10.496,10.496,10.496,10.496,20173,900,0,
20180102 10:16:00,10.49,10.53,10.49,10.53,21333,900,0,
20180102 10:17:00,10.52,10.52,10.48,10.51,25833,4500,0,
20180102 10:18:00,10.49,10.5,10.48,10.5,28133,2188,0,
20180102 10:19:00,10.498,10.54,10.498,10.54,29838,1700,0,
20180102 10:22:00,10.53,10.57,10.53,10.555,31390,1400,0,
20180102 10:24:00,10.57,10.57,10.57,10.57,31500,100,0,
20180102 10:26:00,10.57,10.59,10.55,10.59,32400,800,0,
20180102 10:28:00,10.58,10.58,10.58,10.58,32500,100,0,
20180102 10:30:00,10.57,10.59,10.57,10.59,34138,1560,0,
20180102 10:32:00,10.5736,10.61,10.5736,10.61,36438,2300,0,
20180102 10:33:00,10.6056,10.61,10.6056,10.61,37353,870,0,
20180102 10:34:00,10.61,10.63,10.61,10.63,37653,300,0,
20180102 10:35:00,10.6,10.6,10.6,10.6,38053,400,0,
20180102 10:37:00,10.605,10.62,10.605,10.62,38403,350,0,
20180102 10:38:00,10.59,10.59,10.59,10.59,38803,400,0,
20180102 10:39:00,10.56,10.56,10.56,10.56,39003,100,0,
20180102 10:40:00,10.56,10.56,10.53,10.53,39838,700,0,
20180102 10:42:00,10.5401,10.57,10.51,10.54,45938,6100,0,
20180102 10:43:00,10.51,10.56,10.51,10.56,49153,3200,0,
20180102 10:47:00,10.56,10.58,10.56,10.58,50466,900,0,
20180102 10:48:00,10.59,10.59,10.58,10.59,51166,700,0,
20180102 10:49:00,10.58,10.58,10.58,10.58,51366,100,0,
20180102 10:50:00,10.57,10.58,10.54,10.57,52966,1600,0,
20180102 10:52:00,10.55,10.55,10.55,10.55,54616,200,0,
20180102 10:54:00,10.56,10.56,10.56,10.56,54716,100,0,
20180102 10:56:00,10.57,10.58,10.56,10.57,56227,1411,0,
20180102 10:57:00,10.56,10.56,10.54,10.54,62910,6370,0,
20180102 10:59:00,10.53,10.54,10.53,10.54,63210,200,0,
20180102 11:02:00,10.53,10.53,10.53,10.53,63684,100,0,
20180102 11:03:00,10.53,10.53,10.53,10.53,64884,1200,0,
20180102 11:04:00,10.54,10.54,10.54,10.54,65284,300,0,
20180102 11:05:00,10.53,10.53,10.525,10.525,65692,400,0,
20180102 11:06:00,10.54,10.55,10.54,10.55,66292,300,0,
20180102 11:08:00,10.54,10.55,10.54,10.55,66892,500,0,
20180102 11:10:00,10.55,10.55,10.55,10.55,66992,100,0,
20180102 11:13:00,10.55,10.55,10.53,10.54,67593,500,0,
20180102 11:15:00,10.54,10.55,10.54,10.55,68693,800,0,
20180102 11:16:00,10.5568,10.57,10.5568,10.57,72193,3500,0,
20180102 11:17:00,10.56,10.59,10.56,10.59,73293,1000,0,
20180102 11:19:00,10.595,10.595,10.595,10.595,73493,100,0,
20180102 11:20:00,10.58,10.59,10.56,10.56,74454,900,0,
20180102 11:21:00,10.54,10.54,10.54,10.54,74554,100,0,
20180102 11:22:00,10.555,10.555,10.555,10.555,74654,100,0,
20180102 11:23:00,10.54,10.54,10.54,10.54,74811,100,0,
20180102 11:24:00,10.55,10.55,10.55,10.55,74911,100,0,
20180102 11:25:00,10.56,10.56,10.54,10.56,75722,800,0,
20180102 11:26:00,10.56,10.59,10.55,10.59,79522,3700,0,
20180102 11:27:00,10.6,10.6,10.6,10.6,79722,200,0,
20180102 11:28:00,10.6,10.6,10.6,10.6,79822,100,0,
20180102 11:30:00,10.58,10.6,10.58,10.58,80272,400,0,
20180102 11:31:00,10.56,10.59,10.56,10.56,82272,2000,0,
20180102 11:33:00,10.56,10.56,10.54,10.56,83193,900,0,
20180102 11:38:00,10.54,10.54,10.52,10.52,84465,1100,0,
20180102 11:39:00,10.52,10.54,10.52,10.54,84769,300,0,
20180102 11:41:00,10.54,10.54,10.52,10.52,85549,600,0,
20180102 11:43:00,10.54,10.54,10.54,10.54,85649,100,0,
20180102 11:46:00,10.53,10.54,10.52,10.54,86149,500,0,
20180102 11:48:00,10.52,10.52,10.52,10.52,86249,100,0,
20180102 11:49:00,10.52,10.53,10.52,10.53,86797,400,0,
20180102 11:50:00,10.525,10.54,10.52,10.525,88900,1700,0,
20180102 11:51:00,10.52,10.52,10.52,10.52,89000,100,0,
20180102 11:52:00,10.5201,10.5201,10.5201,10.5201,89175,175,0,
20180102 11:53:00,10.52,10.52,10.52,10.52,89318,100,0,
20180102 11:54:00,10.53,10.53,10.52,10.52,89936,500,0,
20180102 11:57:00,10.53,10.53,10.52,10.52,90895,900,0,
20180102 12:00:00,10.52,10.52,10.52,10.52,90998,100,0,
20180102 12:01:00,10.53,10.53,10.53,10.53,91234,200,0,
20180102 12:02:00,10.53,10.53,10.53,10.53,91698,400,0,
