TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,91.21,91.24,91.21,91.24,1707,1456,0,
20180102 09:31:00,91.25,91.25,91.25,91.25,2179,300,0,
20180102 09:32:00,91.26,91.26,91.26,91.26,2390,100,0,
20180102 09:34:00,90.95,90.95,90.5,90.5,4727,1300,0,
20180102 09:35:00,90.35,90.605,90.35,90.35,5358,600,0,
20180102 09:36:00,90.34,90.34,90.15,90.15,5864,400,0,
20180102 09:37:00,90.34,90.34,90.13,90.13,6365,500,0,
20180102 09:38:00,90.15,90.15,90.1,90.1,6765,300,0,
20180102 09:39:00,90.23,90.3,90.23,90.23,7743,800,0,
20180102 09:40:00,90.23,90.23,90.12,90.12,8044,300,0,
20180102 09:41:00,90.17,90.24,90.17,90.2,9044,1000,0,
20180102 09:42:00,90.15,90.15,89.72,89.72,10752,1460,0,
20180102 09:43:00,89.93,90.01,89.93,90.01,11438,400,0,
20180102 09:44:00,89.98,89.98,89.93,89.93,12438,800,0,
20180102 09:45:00,90.05,90.05,89.89,89.895,13359,800,0,
20180102 09:46:00,89.8,89.8,89.8,89.8,13459,100,0,
20180102 09:47:00,89.79,89.79,89.655,89.655,14533,864,0,
20180102 09:48:00,89.6,89.6,89.52,89.52,14929,200,0,
20180102 09:49:00,89.69,89.69,89.69,89.69,15032,100,0,
20180102 09:50:00,89.55,89.55,89.55,89.55,15242,200,0,
20180102 09:51:00,89.54,89.54,89.49,89.49,16117,600,0,
20180102 09:52:00,89.39,89.39,89.39,89.39,16225,100,0,
20180102 09:54:00,89.46,89.53,89.45,89.45,17068,800,0,
20180102 09:55:00,89.64,89.64,89.64,89.64,17282,200,0,
20180102 09:56:00,89.68,89.7,89.68,89.7,17503,200,0,
20180102 09:58:00,89.69,89.69,89.56,89.65,19342,1200,0,
20180102 09:59:00,89.77,89.79,89.69,89.77,19862,500,0,
20180102 10:00:00,89.7,89.7,89.6,89.61,20262,300,0,
20180102 10:02:00,89.8,89.8,89.785,89.785,20728,300,0,
20180102 10:03:00,89.895,89.895,89.895,89.895,20828,100,0,
20180102 10:04:00,89.81,89.93,89.81,89.8771,21360,366,0,
20180102 10:06:00,89.9508,89.9508,89.9508,89.9508,21473,113,0,
