TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,25.46,25.46,25.46,25.46,1404,1404,0,
20180102 09:32:00,25.4423,25.4423,25.44,25.44,3604,2200,0,
20180102 09:40:00,25.4,25.4,25.4,25.4,3905,300,0,
20180102 10:27:00,25.4,25.4,25.4,25.4,4421,500,0,
20180102 10:28:00,25.34,25.34,25.34,25.34,8000,3132,0,
20180102 10:42:00,25.32,25.32,25.32,25.32,8169,100,0,
20180102 10:43:00,25.32,25.32,25.32,25.32,8445,100,0,
20180102 10:44:00,25.32,25.32,25.32,25.32,8746,100,0,
20180102 10:45:00,25.32,25.3241,25.32,25.3241,9546,800,0,
20180102 10:46:00,25.32,25.32,25.32,25.32,9746,200,0,
20180102 10:47:00,25.32,25.32,25.32,25.32,9946,200,0,
20180102 10:51:00,25.3295,25.33,25.3295,25.33,10975,314,0,
20180102 10:58:00,25.33,25.33,25.33,25.33,11553,100,0,
20180102 11:00:00,25.32,25.32,25.32,25.32,11653,100,0,
20180102 11:02:00,25.4075,25.4075,25.4075,25.4075,13019,1250,0,
20180102 11:07:00,25.4289,25.4289,25.4289,25.4289,13556,500,0,
20180102 11:19:00,25.3856,25.3856,25.3856,25.3856,13988,300,0,
20180102 11:25:00,25.3366,25.3366,25.3366,25.3366,18026,4000,0,
20180102 11:30:00,25.32,25.32,25.32,25.32,18263,100,0,
20180102 11:31:00,25.32,25.32,25.32,25.32,20469,1977,0,
20180102 11:37:00,25.31,25.31,25.31,25.31,20965,400,0,
20180102 11:44:00,25.26,25.26,25.26,25.26,21085,100,0,
20180102 11:47:00,25.24,25.24,25.24,25.24,21553,300,0,
20180102 11:55:00,25.21,25.21,25.21,25.21,21811,100,0,
20180102 11:59:00,25.21,25.2223,25.21,25.21,23163,1200,0,
20180102 12:09:00,25.21,25.21,25.21,25.21,23618,300,0,
20180102 12:24:00,25.2577,25.2577,25.2577,25.2577,24047,200,0,
20180102 12:32:00,25.2265,25.2265,25.2265,25.2265,24582,500,0,
20180102 12:49:00,25.25,25.25,25.229,25.229,25579,767,0,
20180102 13:08:00,25.2138,25.2138,25.2138,25.2138,26012,106,0,
20180102 13:13:00,25.21,25.21,25.21,25.21,26841,548,0,
20180102 13:14:00,25.2,25.2,25.2,25.2,28841,2000,0,
20180102 13:29:00,25.18,25.18,25.18,25.18,29173,190,0,
20180102 13:30:00,25.18,25.18,25.18,25.18,29370,100,0,
20180102 13:31:00,25.18,25.18,25.18,25.18,29770,400,0,
20180102 13:45:00,25.1387,25.1387,25.1387,25.1387,30035,123,0,
20180102 13:46:00,25.1281,25.1281,25.1281,25.1281,30435,400,0,
20180102 13:54:00,25.1439,25.1439,25.12,25.12,31579,1123,0,
20180102 14:01:00,25.12,25.13,25.12,25.129,33612,1342,0,
20180102 14:02:00,25.11,25.11,25.11,25.11,33717,100,0,
20180102 14:05:00,25.11,25.11,25.11,25.11,33855,100,0,
20180102 14:08:00,25.11,25.11,25.11,25.11,33998,100,0,
20180102 14:10:00,25.1206,25.1206,25.1206,25.1206,34098,100,0,
20180102 14:11:00,25.11,25.11,25.11,25.11,34198,100,0,
20180102 14:13:00,25.1,25.1,25.06,25.06,38323,3924,0,
20180102 14:17:00,25.06,25.06,25.06,25.06,38484,100,0,
20180102 14:20:00,25.06,25.06,25.06,25.06,38837,131,0,
20180102 14:23:00,25.06,25.06,25.06,25.06,38994,100,0,
20180102 14:25:00,25.06,25.06,25.06,25.06,39099,100,0,
20180102 14:26:00,25.06,25.06,25.06,25.06,39199,100,0,
20180102 14:29:00,25.06,25.06,25.06,25.06,39419,100,0,
20180102 14:32:00,25.06,25.06,25.06,25.06,39560,100,0,
20180102 14:33:00,25.0667,25.0673,25.0667,25.0673,39963,403,0,
20180102 14:35:00,25.065,25.065,25.06,25.06,40265,300,0,
20180102 14:38:00,25.06,25.06,25.06,25.06,40547,247,0,
20180102 14:41:00,25.06,25.06,25.06,25.06,40647,100,0,
20180102 14:42:00,25.07,25.08,25.06,25.06,41589,870,0,
20180102 14:43:00,25.06,25.06,25.06,25.06,41689,100,0,
20180102 14:46:00,25.06,25.06,25.06,25.06,41823,100,0,
20180102 14:47:00,25.0992,25.0992,25.0992,25.0992,42036,134,0,
20180102 14:48:00,25.1418,25.1418,25.1418,25.1418,43583,1547,0,
20180102 14:49:00,25.06,25.06,25.06,25.06,43683,100,0,
20180102 14:50:00,25.07,25.07,25.07,25.07,43783,100,0,
20180102 14:52:00,25.06,25.06,25.06,25.06,43951,100,0,
20180102 14:54:00,25.068,25.068,25.068,25.068,44192,115,0,
20180102 14:55:00,25.129,25.129,25.129,25.129,46792,2600,0,
