TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,25.2,25.2,25.2,25.2,16116,16116,0,
20180102 09:32:00,25.2,25.2,25.2,25.2,16223,100,0,
20180102 09:33:00,25.2,25.2,25.2,25.2,17123,900,0,
20180102 09:48:00,25.17,25.17,25.17,25.17,17627,400,0,
20180102 10:04:00,25.16,25.16,25.15,25.1501,18028,401,0,
20180102 10:05:00,25.15,25.15,25.14,25.14,18528,500,0,
20180102 10:21:00,25.155,25.155,25.155,25.155,19038,400,0,
20180102 10:22:00,25.17,25.17,25.17,25.17,19138,100,0,
20180102 10:40:00,25.1432,25.1432,25.1432,25.1432,20676,570,0,
20180102 10:41:00,25.1413,25.1413,25.1413,25.1413,21562,886,0,
20180102 10:48:00,25.13,25.14,25.13,25.14,22895,1200,0,
20180102 10:51:00,25.14,25.14,25.14,25.14,23067,100,0,
20180102 10:53:00,25.14,25.14,25.14,25.14,23346,100,0,
20180102 10:54:00,25.14,25.14,25.14,25.14,23463,117,0,
20180102 10:58:00,25.14,25.14,25.14,25.14,24163,700,0,
20180102 11:00:00,25.14,25.14,25.14,25.14,24363,100,0,
20180102 11:22:00,25.12,25.12,25.12,25.12,24905,491,0,
20180102 11:23:00,25.12,25.12,25.12,25.12,25205,300,0,
20180102 11:25:00,25.12,25.12,25.12,25.12,26433,1190,0,
20180102 11:30:00,25.08,25.08,25.08,25.08,26682,100,0,
20180102 11:31:00,25.08,25.08,25.08,25.08,28916,2107,0,
20180102 11:33:00,25.09,25.09,25.08,25.08,29281,300,0,
20180102 11:36:00,25.08,25.08,25.08,25.08,29681,400,0,
20180102 11:37:00,25.08,25.08,25.07,25.07,30581,900,0,
20180102 11:39:00,25.08,25.08,25.08,25.08,31489,554,0,
20180102 11:44:00,25.06,25.06,25.06,25.06,31589,100,0,
20180102 11:48:00,25.06,25.07,25.06,25.0693,34116,2400,0,
20180102 11:53:00,25.06,25.06,25.06,25.06,34216,100,0,
20180102 11:54:00,25.065,25.065,25.06,25.06,34516,300,0,
20180102 11:55:00,25.06,25.06,25.06,25.06,34652,100,0,
20180102 11:59:00,25.06,25.06,25.05,25.05,35152,300,0,
20180102 12:00:00,25.05,25.05,25.05,25.05,38509,3300,0,
20180102 12:05:00,25.04,25.04,25,25,49752,11136,0,
20180102 12:06:00,25.03,25.03,25,25,52814,3016,0,
20180102 12:09:00,25.01,25.01,25.01,25.01,53143,100,0,
20180102 12:17:00,25.01,25.01,25.01,25.01,53243,100,0,
20180102 12:23:00,25.018,25.018,25.018,25.018,53467,182,0,
20180102 12:27:00,25,25,25,25,53620,100,0,
20180102 12:39:00,25,25,25,25,53720,100,0,
20180102 12:49:00,25,25,25,25,57052,3274,0,
20180102 12:52:00,25,25,25,25,57204,100,0,
20180102 12:55:00,25,25,25,25,57444,200,0,
20180102 13:05:00,25,25,25,25,57644,100,0,
20180102 13:08:00,25.0038,25.0038,25.0038,25.0038,57987,313,0,
20180102 13:12:00,25,25,25,25,58109,115,0,
20180102 13:13:00,24.9701,24.9701,24.9701,24.9701,58424,100,0,
20180102 13:14:00,24.97,24.97,24.97,24.97,59424,1000,0,
20180102 13:17:00,24.97,24.97,24.97,24.97,59524,100,0,
20180102 13:18:00,24.97,24.97,24.97,24.97,59731,200,0,
20180102 13:26:00,24.97,24.97,24.97,24.97,59831,100,0,
20180102 13:29:00,24.97,24.97,24.97,24.97,59931,100,0,
20180102 13:30:00,24.97,24.9799,24.97,24.9799,61149,1218,0,
20180102 13:31:00,24.97,24.97,24.97,24.97,61277,128,0,
20180102 13:36:00,24.97,24.97,24.97,24.97,61494,214,0,
20180102 13:37:00,24.9762,24.9762,24.9762,24.9762,61882,388,0,
20180102 13:38:00,24.97,24.97,24.97,24.97,62182,300,0,
20180102 13:44:00,24.97,24.97,24.97,24.97,64081,1878,0,
20180102 13:45:00,24.9663,24.9663,24.9663,24.9663,64283,106,0,
20180102 13:53:00,24.96,24.96,24.96,24.96,64627,200,0,
20180102 13:54:00,24.96,24.96,24.96,24.96,64909,175,0,
20180102 13:56:00,24.96,24.96,24.96,24.96,65355,100,0,
20180102 14:03:00,24.95,24.95,24.95,24.95,67666,2305,0,
20180102 14:09:00,24.9,24.9,24.9,24.9,69836,2000,0,
20180102 14:13:00,24.86,24.86,24.86,24.86,69936,100,0,
20180102 14:19:00,24.85,24.8501,24.85,24.8501,70143,204,0,
20180102 14:20:00,24.845,24.845,24.845,24.845,70496,297,0,
20180102 14:22:00,24.84,24.84,24.84,24.84,71402,848,0,
20180102 14:26:00,24.84,24.84,24.84,24.84,71835,306,0,
20180102 14:33:00,24.8467,24.8467,24.8467,24.8467,72037,110,0,
20180102 14:38:00,24.858,24.858,24.8401,24.8401,73200,1101,0,
20180102 14:48:00,24.85,24.85,24.85,24.85,73480,100,0,
20180102 14:49:00,24.8599,24.8599,24.8599,24.8599,74280,800,0,
20180102 14:50:00,24.85,24.85,24.85,24.85,74535,206,0,
20180102 14:51:00,24.84,24.84,24.84,24.84,75649,1102,0,
20180102 14:53:00,24.8493,24.8493,24.8493,24.8493,75770,101,0,
20180102 15:00:00,24.86,24.86,24.86,24.86,75986,100,0,
20180102 15:06:00,24.855,24.86,24.855,24.86,76786,400,0,
20180102 15:09:00,24.86,24.86,24.86,24.86,77660,675,0,
20180102 15:13:00,24.86,24.86,24.86,24.86,78173,500,0,
20180102 15:14:00,24.86,24.86,24.86,24.86,79023,800,0,
20180102 15:15:00,24.86,24.86,24.86,24.86,79523,400,0,
20180102 15:17:00,24.8738,24.8738,24.8737,24.8737,81367,1751,0,
20180102 15:28:00,24.86,24.87,24.86,24.87,82070,513,0,
20180102 15:29:00,24.86,24.86,24.86,24.86,82318,100,0,
20180102 15:32:00,24.9073,24.9073,24.9073,24.9073,82729,400,0,
20180102 15:33:00,24.88,24.88,24.87,24.87,84149,1400,0,
20180102 15:34:00,24.87,24.87,24.865,24.865,84949,800,0,
20180102 15:38:00,24.87,24.87,24.87,24.87,85230,119,0,
20180102 15:40:00,24.865,24.87,24.865,24.87,85905,496,0,
20180102 15:46:00,24.867,24.867,24.867,24.867,86117,147,0,
20180102 15:47:00,24.8699,24.8699,24.86,24.86,86418,200,0,
20180102 15:48:00,24.87,24.87,24.87,24.87,87077,517,0,
20180102 15:50:00,24.84,24.84,24.84,24.84,87506,109,0,
20180102 15:51:00,24.85,24.85,24.85,24.85,87628,100,0,
20180102 15:52:00,24.84,24.84,24.84,24.84,87851,100,0,
20180102 15:53:00,24.86,24.87,24.86,24.87,89418,1449,0,
20180102 15:54:00,24.855,24.855,24.85,24.85,89918,500,0,
20180102 15:55:00,24.859,24.859,24.859,24.859,90084,100,0,
20180102 15:56:00,24.84,24.859,24.84,24.859,91384,1300,0,
20180102 15:57:00,24.859,24.859,24.859,24.859,91484,100,0,
20180102 15:58:00,24.855,24.855,24.855,24.855,91684,100,0,
20180102 15:59:00,24.84,24.84,24.84,24.84,92105,100,0,
