TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:32:00,18.75,18.75,18.75,18.75,3700,3404,0,
20180102 09:33:00,18.74,18.745,18.73,18.73,8934,3622,0,
20180102 09:34:00,18.67,18.67,18.67,18.67,9084,100,0,
20180102 09:35:00,18.74,18.75,18.7258,18.75,9773,689,0,
20180102 09:37:00,18.665,18.68,18.665,18.68,10973,1100,0,
20180102 09:38:00,18.7,18.7,18.7,18.7,11973,1000,0,
20180102 09:39:00,18.72,18.72,18.72,18.72,12077,104,0,
20180102 09:40:00,18.75,18.75,18.75,18.75,12177,100,0,
20180102 09:44:00,18.721,18.721,18.72,18.72,12724,400,0,
20180102 09:45:00,18.75,18.75,18.71,18.71,12924,200,0,
20180102 09:47:00,18.7224,18.7224,18.7224,18.7224,13818,800,0,
20180102 09:50:00,18.75,18.75,18.75,18.75,14115,100,0,
20180102 09:51:00,18.75,18.75,18.75,18.75,15442,1140,0,
20180102 09:52:00,18.75,18.75,18.745,18.745,15742,300,0,
20180102 09:53:00,18.75,18.75,18.7489,18.75,16486,600,0,
20180102 09:54:00,18.75,18.75,18.75,18.75,16803,317,0,
20180102 09:55:00,18.76,18.76,18.73,18.73,17143,300,0,
20180102 09:56:00,18.73,18.73,18.73,18.73,17243,100,0,
20180102 09:57:00,18.755,18.755,18.755,18.755,17456,200,0,
20180102 10:07:00,18.78,18.78,18.78,18.78,17947,400,0,
20180102 10:17:00,18.78,18.78,18.78,18.78,18834,850,0,
20180102 10:20:00,18.78,18.78,18.78,18.78,19544,700,0,
20180102 10:21:00,18.78,18.8,18.78,18.799,21244,1700,0,
20180102 10:22:00,18.8,18.8,18.7752,18.7752,21870,600,0,
20180102 10:26:00,18.7701,18.7701,18.7701,18.7701,22878,1000,0,
20180102 10:28:00,18.7761,18.7761,18.7761,18.7761,22978,100,0,
20180102 10:36:00,18.7805,18.7837,18.7805,18.7837,24242,1250,0,
20180102 10:38:00,18.8,18.8,18.799,18.799,25342,1100,0,
20180102 10:40:00,18.7999,18.7999,18.7999,18.7999,25542,200,0,
20180102 10:42:00,18.79,18.79,18.7801,18.7884,26542,1000,0,
20180102 10:44:00,18.78,18.78,18.78,18.78,26742,200,0,
20180102 10:55:00,18.78,18.78,18.7701,18.7701,27445,500,0,
20180102 11:02:00,18.78,18.78,18.78,18.78,28053,500,0,
20180102 11:06:00,18.7705,18.7705,18.7705,18.7705,28253,200,0,
20180102 11:07:00,18.78,18.79,18.78,18.79,30180,1900,0,
20180102 11:11:00,18.8,18.8,18.8,18.8,30280,100,0,
20180102 11:14:00,18.8,18.8,18.8,18.8,30380,100,0,
20180102 11:15:00,18.7808,18.7808,18.7808,18.7808,31380,1000,0,
20180102 11:20:00,18.8,18.8,18.8,18.8,31554,100,0,
