TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 07:00:00,34,34,34,34,200,200,0,
20180102 09:09:00,33,33,33,33,300,100,0,
20180102 09:29:00,32.83,32.83,32.83,32.83,530,200,0,
20180102 09:30:00,32.67,32.67,32.67,32.67,5652,5122,0,
20180102 09:31:00,32.73,32.86,32.73,32.74,55555,49900,0,
20180102 09:32:00,32.75,32.89,32.75,32.88,56991,1351,0,
20180102 09:33:00,32.9,33,32.9,33,58217,1000,0,
20180102 09:34:00,32.94,32.94,32.9,32.9,58937,200,0,
20180102 09:35:00,33,33.04,32.88,32.88,59840,900,0,
20180102 09:36:00,32.81,32.86,32.8,32.86,60540,700,0,
20180102 09:37:00,32.84,32.95,32.84,32.95,60748,200,0,
20180102 09:38:00,32.96,33.04,32.93,33.04,61549,600,0,
20180102 09:39:00,33.03,33.07,32.92,32.95,74230,11900,0,
20180102 09:40:00,33,33.045,32.93,32.93,75275,900,0,
20180102 09:41:00,33.04,33.11,33.04,33.11,75693,400,0,
20180102 09:42:00,33.115,33.115,33.115,33.115,75893,200,0,
20180102 09:43:00,33.06,33.06,33.05,33.05,76093,200,0,
20180102 09:44:00,33.06,33.15,33.05,33.05,76943,800,0,
20180102 09:45:00,33.075,33.075,32.97,32.97,77513,400,0,
20180102 09:46:00,33.01,33.01,33.01,33.01,77913,300,0,
20180102 09:47:00,33.05,33.1071,33.05,33.1071,78860,597,0,
20180102 09:48:00,33.145,33.145,33.145,33.145,79060,200,0,
20180102 09:49:00,33.12,33.24,33.12,33.23,80267,1031,0,
20180102 09:50:00,33.265,33.3,33.265,33.3,81279,1000,0,
20180102 09:51:00,33.29,33.31,33.1,33.13,85651,3900,0,
20180102 09:52:00,33.15,33.18,33.13,33.14,87081,1400,0,
20180102 09:53:00,33.14,33.2,33.14,33.2,87381,300,0,
20180102 09:54:00,33.16,33.16,33.16,33.16,87481,100,0,
20180102 09:55:00,33.2,33.2,33.2,33.2,87582,100,0,
20180102 09:57:00,33.21,33.23,33.2,33.23,88082,500,0,
20180102 09:59:00,33.255,33.27,33.15,33.22,94121,5174,0,
20180102 10:00:00,33.22,33.26,33.17,33.17,99379,4600,0,
20180102 10:01:00,33.15,33.15,33.09,33.09,99841,300,0,
20180102 10:02:00,33.12,33.12,33.08,33.08,100141,300,0,
20180102 10:03:00,33.08,33.14,33.04,33.0496,102801,2500,0,
20180102 10:05:00,33.03,33.15,33.03,33.15,105134,1500,0,
20180102 10:06:00,33.14,33.14,33.14,33.14,105234,100,0,
20180102 10:07:00,33.2,33.215,33.2,33.215,105753,330,0,
20180102 10:08:00,33.2,33.22,33.2,33.21,107265,1400,0,
20180102 10:09:00,33.22,33.2599,33.17,33.2599,110017,1930,0,
20180102 10:10:00,33.225,33.29,33.16,33.22,118870,8600,0,
20180102 10:11:00,33.2697,33.28,33.23,33.23,121859,2799,0,
20180102 10:12:00,33.26,33.41,33.255,33.41,134344,12302,0,
20180102 10:13:00,33.38,33.4744,33.38,33.4,137028,2252,0,
20180102 10:14:00,33.44,33.44,33.44,33.44,137328,300,0,
20180102 10:15:00,33.48,33.51,33.47,33.49,138927,1464,0,
20180102 10:16:00,33.47,33.49,33.45,33.47,142331,3200,0,
20180102 10:17:00,33.45,33.45,33.395,33.4,146458,3400,0,
20180102 10:18:00,33.4,33.4,33.39,33.4,148788,2300,0,
20180102 10:19:00,33.4,33.45,33.4,33.43,151358,2481,0,
20180102 10:20:00,33.43,33.455,33.42,33.42,152209,700,0,
20180102 10:21:00,33.48,33.48,33.39,33.395,155863,3315,0,
20180102 10:22:00,33.395,33.43,33.39,33.43,156769,900,0,
20180102 10:23:00,33.4,33.43,33.31,33.33,162873,5153,0,
20180102 10:24:00,33.335,33.4,33.32,33.39,165687,2500,0,
20180102 10:25:00,33.39,33.42,33.39,33.42,168646,2864,0,
20180102 10:26:00,33.43,33.43,33.42,33.42,170384,1280,0,
20180102 10:27:00,33.42,33.48,33.42,33.46,171826,1000,0,
20180102 10:28:00,33.45,33.45,33.375,33.385,177906,5743,0,
20180102 10:29:00,33.385,33.4,33.35,33.375,181758,3800,0,
20180102 10:30:00,33.4,33.53,33.4,33.53,185217,3088,0,
20180102 10:31:00,33.48,33.48,33.46,33.46,187297,1749,0,
20180102 10:32:00,33.46,33.51,33.44,33.51,189566,1900,0,
20180102 10:33:00,33.5339,33.5339,33.525,33.525,190246,680,0,
20180102 10:34:00,33.51,33.52,33.51,33.52,190668,400,0,
20180102 10:36:00,33.55,33.58,33.5,33.5,195746,4400,0,
20180102 10:37:00,33.4825,33.4825,33.385,33.385,197118,1300,0,
