TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,2.89,2.9,2.88,2.88,19009,18781,0,
20180102 09:31:00,2.87,2.88,2.87,2.875,24441,5400,0,
20180102 09:32:00,2.87,2.88,2.87,2.87,26255,1800,0,
20180102 09:33:00,2.8799,2.8799,2.86,2.86,30771,4500,0,
20180102 09:34:00,2.865,2.865,2.86,2.86,31171,400,0,
20180102 09:35:00,2.865,2.865,2.86,2.86,40806,9566,0,
20180102 09:36:00,2.86,2.8801,2.86,2.8801,52319,11131,0,
20180102 09:37:00,2.89,2.89,2.89,2.89,57214,4532,0,
20180102 09:38:00,2.8899,2.89,2.88,2.89,58554,1300,0,
20180102 09:39:00,2.88,2.9,2.88,2.9,61479,2700,0,
20180102 09:40:00,2.9,2.9,2.8942,2.9,69214,7700,0,
20180102 09:41:00,2.9,2.9,2.895,2.9,69674,400,0,
20180102 09:42:00,2.9,2.905,2.9,2.905,75318,5595,0,
20180102 09:43:00,2.905,2.91,2.9,2.91,85660,10130,0,
20180102 09:44:00,2.905,2.91,2.9042,2.905,89269,3609,0,
20180102 09:45:00,2.91,2.91,2.9,2.9,93869,4500,0,
20180102 09:46:00,2.905,2.91,2.905,2.91,94569,700,0,
20180102 09:47:00,2.91,2.91,2.9,2.9,95769,1200,0,
20180102 09:48:00,2.91,2.91,2.89,2.89,101580,5700,0,
20180102 09:49:00,2.89,2.89,2.88,2.88,104322,2578,0,
20180102 09:50:00,2.88,2.89,2.88,2.88,105273,910,0,
20180102 09:51:00,2.89,2.895,2.89,2.895,109690,4300,0,
20180102 09:52:00,2.9,2.9,2.895,2.9,112600,2900,0,
20180102 09:53:00,2.89,2.9,2.89,2.895,112910,300,0,
20180102 09:54:00,2.89,2.9,2.89,2.895,115112,2090,0,
20180102 09:55:00,2.895,2.9,2.89,2.895,115872,700,0,
20180102 09:56:00,2.895,2.9,2.8933,2.895,121383,5501,0,
20180102 09:57:00,2.895,2.9,2.89,2.895,122578,900,0,
20180102 09:58:00,2.89,2.895,2.89,2.895,124729,1930,0,
20180102 09:59:00,2.89,2.9,2.89,2.89,126731,1800,0,
20180102 10:00:00,2.895,2.895,2.89,2.895,127322,500,0,
20180102 10:01:00,2.9,2.9,2.895,2.895,128050,500,0,
20180102 10:02:00,2.8999,2.8999,2.895,2.895,128506,390,0,
20180102 10:03:00,2.8958,2.91,2.89,2.91,132462,3700,0,
20180102 10:04:00,2.91,2.92,2.905,2.92,139707,6500,0,
20180102 10:05:00,2.92,2.92,2.92,2.92,140227,500,0,
20180102 10:06:00,2.92,2.94,2.92,2.94,152621,12192,0,
20180102 10:07:00,2.9301,2.94,2.9301,2.935,153821,1200,0,
20180102 10:08:00,2.94,2.94,2.94,2.94,154734,600,0,
20180102 10:09:00,2.94,2.94,2.94,2.94,155692,800,0,
20180102 10:10:00,2.94,2.94,2.935,2.94,155992,300,0,
20180102 10:11:00,2.94,2.94,2.94,2.94,156467,400,0,
20180102 10:12:00,2.94,2.94,2.9301,2.94,159644,3177,0,
20180102 10:13:00,2.94,2.94,2.9322,2.9322,160844,1200,0,
20180102 10:14:00,2.94,2.94,2.94,2.94,161682,800,0,
20180102 10:15:00,2.9335,2.94,2.9301,2.94,175682,14000,0,
20180102 10:16:00,2.935,2.945,2.935,2.945,181582,5524,0,
20180102 10:17:00,2.945,2.95,2.94,2.945,182866,1284,0,
20180102 10:18:00,2.945,2.945,2.94,2.94,183866,1000,0,
20180102 10:19:00,2.945,2.95,2.94,2.945,185396,1500,0,
20180102 10:20:00,2.95,2.95,2.9401,2.9401,187430,1900,0,
20180102 10:21:00,2.945,2.945,2.945,2.945,187979,400,0,
20180102 10:22:00,2.945,2.95,2.945,2.9483,189009,900,0,
20180102 10:23:00,2.945,2.945,2.945,2.945,189411,300,0,
20180102 10:24:00,2.95,2.97,2.94,2.96,265562,75189,0,
20180102 10:25:00,2.954,2.954,2.94,2.9401,273400,7700,0,
20180102 10:26:00,2.9435,2.9435,2.93,2.935,279605,5877,0,
20180102 10:27:00,2.935,2.94,2.93,2.94,280322,600,0,
20180102 10:28:00,2.94,2.94,2.94,2.94,280477,100,0,
20180102 10:29:00,2.935,2.9399,2.93,2.9399,281998,1300,0,
20180102 10:30:00,2.94,2.96,2.935,2.96,288425,6300,0,
20180102 10:31:00,2.96,2.96,2.955,2.955,289025,600,0,
20180102 10:32:00,2.96,2.97,2.96,2.97,292032,2800,0,
20180102 10:33:00,2.9682,2.98,2.9682,2.98,312124,19734,0,
20180102 10:34:00,2.98,2.98,2.975,2.98,313919,1695,0,
20180102 10:35:00,2.98,2.98,2.975,2.98,314471,500,0,
20180102 10:36:00,2.98,2.98,2.98,2.98,314771,300,0,
20180102 10:37:00,2.98,2.98,2.97,2.975,331167,16365,0,
20180102 10:38:00,2.9706,2.975,2.97,2.97,341747,10157,0,
20180102 10:39:00,2.975,2.98,2.97,2.97,342765,900,0,
