TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,1.46,1.46,1.46,1.46,2867,2867,0,
20180102 09:31:00,1.33,1.33,1.33,1.33,3867,800,0,
20180102 09:37:00,1.35,1.3764,1.35,1.3764,5916,1999,0,
20180102 09:43:00,1.35,1.35,1.35,1.35,6026,110,0,
20180102 09:55:00,1.4221,1.4221,1.4221,1.4221,9363,3328,0,
20180102 10:02:00,1.429,1.43,1.4258,1.4258,10763,1400,0,
20180102 10:07:00,1.4299,1.47,1.42,1.47,26028,15151,0,
20180102 10:08:00,1.47,1.51,1.46,1.51,32138,6103,0,
20180102 10:09:00,1.5026,1.51,1.5,1.5,33163,1025,0,
20180102 10:11:00,1.51,1.51,1.45,1.5033,35191,1948,0,
20180102 10:12:00,1.498,1.52,1.498,1.51,38409,3218,0,
20180102 10:16:00,1.4601,1.4999,1.45,1.45,39915,1467,0,
20180102 10:18:00,1.4829,1.4829,1.4829,1.4829,40445,475,0,
20180102 10:43:00,1.44,1.44,1.44,1.44,40694,100,0,
20180102 10:47:00,1.44,1.44,1.44,1.44,43494,2800,0,
20180102 10:48:00,1.44,1.44,1.44,1.44,44201,706,0,
20180102 10:49:00,1.449,1.449,1.449,1.449,44901,700,0,
20180102 10:56:00,1.4444,1.4444,1.4444,1.4444,45925,1000,0,
20180102 11:00:00,1.449,1.449,1.449,1.449,46025,100,0,
20180102 11:23:00,1.4457,1.4457,1.4457,1.4457,46301,200,0,
20180102 11:30:00,1.4485,1.4485,1.4485,1.4485,46441,140,0,
20180102 11:33:00,1.445,1.445,1.44,1.44,47141,700,0,
20180102 11:34:00,1.44,1.44,1.41,1.41,48537,1300,0,
20180102 11:39:00,1.4049,1.4049,1.4049,1.4049,49137,600,0,
20180102 12:06:00,1.45,1.45,1.45,1.45,49337,200,0,
20180102 12:17:00,1.4356,1.4356,1.4356,1.4356,50226,805,0,
20180102 12:18:00,1.42,1.42,1.42,1.42,50326,100,0,
20180102 12:20:00,1.426,1.426,1.426,1.426,50566,240,0,
20180102 12:36:00,1.41,1.4248,1.41,1.4248,52666,2000,0,
20180102 12:42:00,1.45,1.45,1.4479,1.4479,53666,1000,0,
20180102 12:54:00,1.43,1.43,1.43,1.43,53776,100,0,
20180102 13:18:00,1.4329,1.4329,1.4329,1.4329,53956,120,0,
20180102 13:42:00,1.4399,1.4399,1.4399,1.4399,54470,500,0,
20180102 13:45:00,1.44,1.44,1.44,1.44,54615,100,0,
20180102 13:46:00,1.44,1.44,1.44,1.44,54715,100,0,
20180102 13:48:00,1.441,1.441,1.441,1.441,55169,454,0,
20180102 13:59:00,1.4466,1.4466,1.4466,1.4466,55705,500,0,
20180102 14:10:00,1.45,1.45,1.45,1.45,56105,400,0,
20180102 14:11:00,1.45,1.45,1.45,1.45,56205,100,0,
20180102 14:14:00,1.44,1.44,1.44,1.44,56505,300,0,
20180102 14:31:00,1.4221,1.4221,1.4221,1.4221,59693,3000,0,
20180102 14:34:00,1.4377,1.4377,1.4377,1.4377,60693,1000,0,
20180102 14:45:00,1.435,1.435,1.435,1.435,60801,100,0,
20180102 14:47:00,1.4224,1.4224,1.4224,1.4224,63801,3000,0,
20180102 14:53:00,1.435,1.435,1.435,1.435,63901,100,0,
20180102 15:02:00,1.4271,1.4271,1.4271,1.4271,67229,3328,0,
20180102 15:21:00,1.43,1.43,1.43,1.43,67353,100,0,
20180102 15:25:00,1.43,1.44,1.43,1.4399,70291,2938,0,
20180102 15:27:00,1.445,1.45,1.445,1.4487,72283,1881,0,
20180102 15:28:00,1.45,1.45,1.45,1.45,72490,200,0,
20180102 15:29:00,1.45,1.45,1.45,1.45,72590,100,0,
20180102 15:35:00,1.4401,1.4401,1.4401,1.4401,75090,2500,0,
20180102 15:36:00,1.44,1.44,1.44,1.44,75290,200,0,
20180102 15:37:00,1.44,1.44,1.44,1.44,75890,600,0,
20180102 15:47:00,1.45,1.45,1.45,1.45,76002,100,0,
20180102 15:50:00,1.44,1.44,1.44,1.44,76754,750,0,
20180102 15:52:00,1.435,1.435,1.435,1.435,76854,100,0,
20180102 16:00:00,1.44,1.44,1.44,1.44,77072,193,0,
