TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 08:00:00,36,36,36,36,100,100,0,
20180102 08:11:00,36.12,36.12,36.12,36.12,200,100,0,
20180102 09:30:00,36.35,36.4,36.35,36.4,16988,15938,0,
20180102 09:32:00,36.3622,36.3622,36.3622,36.3622,17514,500,0,
20180102 09:33:00,36.3,36.335,36.24,36.335,19150,1500,0,
20180102 09:34:00,36.0601,36.1,36.0601,36.1,20453,1162,0,
20180102 09:36:00,36.2044,36.23,36.2044,36.23,21195,555,0,
20180102 09:37:00,36.32,36.41,36.31,36.35,25037,3000,0,
20180102 09:38:00,36.36,36.59,36.36,36.57,34029,8170,0,
20180102 09:39:00,36.57,36.64,36.57,36.64,36787,2600,0,
20180102 09:40:00,36.65,36.8,36.65,36.8,38150,900,0,
20180102 09:41:00,36.78,36.78,36.78,36.78,39063,786,0,
20180102 09:43:00,36.71,36.715,36.71,36.715,39705,609,0,
20180102 09:44:00,36.7,36.73,36.6,36.6,45681,5688,0,
20180102 09:46:00,36.4668,36.4668,36.4668,36.4668,46007,100,0,
20180102 09:47:00,36.54,36.54,36.44,36.4825,47346,1000,0,
20180102 09:48:00,36.5,36.5,36.5,36.5,47918,537,0,
20180102 09:49:00,36.5,36.545,36.45,36.47,60850,12451,0,
20180102 09:50:00,36.45,36.55,36.45,36.47,62386,1000,0,
20180102 09:51:00,36.47,36.47,36.47,36.47,62499,100,0,
20180102 09:52:00,36.55,36.65,36.55,36.62,64829,1935,0,
20180102 09:54:00,36.61,36.62,36.61,36.62,65046,200,0,
20180102 09:56:00,36.555,36.555,36.555,36.555,65365,275,0,
20180102 09:59:00,36.64,36.66,36.63,36.65,68831,2900,0,
20180102 10:00:00,36.6499,36.74,36.6499,36.74,69932,1000,0,
20180102 10:01:00,36.7524,36.7524,36.705,36.74,72229,2136,0,
20180102 10:02:00,36.75,36.79,36.73,36.741,73540,1300,0,
20180102 10:03:00,36.78,36.79,36.76,36.76,73840,300,0,
20180102 10:05:00,36.75,36.755,36.75,36.755,74660,700,0,
20180102 10:06:00,36.76,36.87,36.76,36.87,87182,11826,0,
20180102 10:07:00,36.9,36.9,36.9,36.9,87388,200,0,
20180102 10:09:00,36.95,36.95,36.95,36.95,88549,900,0,
20180102 10:10:00,36.99,37.145,36.98,37.145,90277,1500,0,
20180102 10:12:00,37.07,37.1451,37.07,37.14,94032,3600,0,
20180102 10:13:00,37.1109,37.15,37.095,37.095,96153,1800,0,
20180102 10:14:00,37.1,37.11,37.05,37.1,98768,2170,0,
20180102 10:15:00,37.13,37.13,37.13,37.13,98868,100,0,
20180102 10:16:00,37.0922,37.0922,37.03,37.03,99361,413,0,
20180102 10:17:00,37.04,37.04,36.95,36.95,100732,1137,0,
20180102 10:18:00,36.98,36.98,36.98,36.98,100832,100,0,
20180102 10:19:00,36.975,36.98,36.975,36.98,101222,300,0,
20180102 10:20:00,36.98,36.98,36.98,36.98,101522,300,0,
20180102 10:21:00,36.98,37.035,36.98,37.035,101991,400,0,
20180102 10:22:00,36.93,37,36.93,36.93,103530,1400,0,
20180102 10:23:00,36.93,36.95,36.89,36.93,104616,900,0,
20180102 10:25:00,36.92,37,36.92,36.98,105247,600,0,
20180102 10:26:00,37,37,36.96,36.96,105647,400,0,
20180102 10:28:00,36.955,36.955,36.955,36.955,106200,400,0,
20180102 10:29:00,36.955,36.955,36.955,36.955,106720,500,0,
20180102 10:30:00,36.97,36.99,36.93,36.97,108163,1400,0,
20180102 10:31:00,36.97,37,36.97,37,109663,1500,0,
20180102 10:32:00,37,37.04,36.995,36.995,111075,1388,0,
20180102 10:36:00,37.005,37.005,36.95,36.95,112075,1000,0,
20180102 10:37:00,36.94,36.94,36.91,36.91,112600,500,0,
20180102 10:38:00,36.86,36.86,36.84,36.84,113600,1000,0,
20180102 10:39:00,36.865,36.865,36.8,36.85,114022,400,0,
20180102 10:40:00,36.85,36.85,36.85,36.85,114394,200,0,
20180102 10:42:00,36.77,36.77,36.77,36.77,114634,100,0,
20180102 10:43:00,36.77,36.84,36.77,36.835,115817,1080,0,
20180102 10:44:00,36.845,36.89,36.845,36.855,116770,600,0,
20180102 10:45:00,36.89,36.95,36.89,36.95,119650,2550,0,
20180102 10:48:00,36.91,37.04,36.91,37.015,124632,3931,0,
20180102 10:49:00,37,37.015,36.9375,36.9375,126626,1775,0,
20180102 10:51:00,36.92,36.95,36.87,36.95,130030,3100,0,
20180102 10:54:00,36.99,37.01,36.98,37,135137,4559,0,
20180102 10:55:00,37,37.02,36.88,36.88,138432,3000,0,
20180102 10:56:00,36.9395,36.9395,36.9395,36.9395,138953,501,0,
20180102 10:57:00,36.91,36.9604,36.91,36.9604,139253,300,0,
20180102 10:59:00,36.985,36.985,36.91,36.91,139753,500,0,
20180102 11:02:00,36.97,36.97,36.97,36.97,139869,100,0,
20180102 11:03:00,36.9461,36.9461,36.9461,36.9461,140178,209,0,
20180102 11:04:00,36.97,36.97,36.97,36.97,140578,400,0,
20180102 11:05:00,36.91,37,36.9,36.925,143112,2500,0,
20180102 11:07:00,36.86,37,36.86,36.995,144113,900,0,
20180102 11:09:00,36.93,36.93,36.86,36.86,144613,500,0,
20180102 11:10:00,36.995,36.995,36.995,36.995,144813,100,0,
20180102 11:12:00,36.976,36.976,36.85,36.85,145864,800,0,
20180102 11:13:00,36.85,36.85,36.79,36.835,147850,1700,0,
20180102 11:14:00,36.845,36.845,36.845,36.845,148064,200,0,
20180102 11:15:00,36.845,36.86,36.8,36.845,148864,800,0,
20180102 11:16:00,36.895,36.94,36.895,36.94,151217,2000,0,
20180102 11:17:00,36.94,36.95,36.94,36.95,152367,800,0,
20180102 11:18:00,36.98,36.98,36.94,36.94,152673,200,0,
20180102 11:19:00,36.965,36.965,36.965,36.965,152873,200,0,
20180102 11:20:00,36.94,36.985,36.92,36.985,153773,900,0,
20180102 11:21:00,36.92,36.92,36.9,36.9,154078,300,0,
20180102 11:24:00,36.89,36.89,36.89,36.89,154179,100,0,
20180102 11:25:00,36.88,36.925,36.88,36.925,154579,400,0,
20180102 11:26:00,36.88,36.88,36.87,36.87,154979,300,0,
20180102 11:27:00,36.88,36.92,36.88,36.92,155584,600,0,
20180102 11:29:00,36.92,36.94,36.92,36.94,155884,300,0,
20180102 11:30:00,36.95,36.95,36.95,36.95,156184,300,0,
20180102 11:31:00,36.9699,36.9699,36.9699,36.9699,156299,100,0,
20180102 11:32:00,36.93,36.93,36.93,36.93,156499,200,0,
20180102 11:33:00,36.93,36.94,36.9,36.9,158299,1600,0,
20180102 11:34:00,36.93,36.93,36.93,36.93,158599,300,0,
20180102 11:35:00,36.96,37.02,36.9,37.02,164660,5051,0,
20180102 11:36:00,37,37,37,37,164870,210,0,
20180102 11:37:00,37.02,37.02,37.02,37.02,164980,100,0,
20180102 11:38:00,37.02,37.02,37.02,37.02,165180,200,0,
