TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,78.87,78.87,78.87,78.87,2773,2773,0,
20180102 09:41:00,78.8,78.8,78.8,78.8,2873,100,0,
20180102 09:42:00,78.79,78.79,78.79,78.79,3373,500,0,
20180102 09:49:00,78.83,78.83,78.83,78.83,4373,1000,0,
20180102 10:05:00,78.89,78.89,78.89,78.89,4473,100,0,
20180102 10:06:00,78.89,78.89,78.89,78.89,4573,100,0,
20180102 10:08:00,78.9,78.9,78.9,78.9,4773,136,0,
20180102 10:10:00,78.9,78.9,78.9,78.9,4873,100,0,
20180102 11:27:00,78.9,78.9,78.9,78.9,5132,254,0,
20180102 13:21:00,79.045,79.045,79.045,79.045,5502,195,0,
20180102 14:14:00,79.015,79.015,79.015,79.015,5864,312,0,
20180102 14:20:00,78.98,78.98,78.98,78.98,5988,100,0,
20180102 14:54:00,79.17,79.17,79.04,79.04,6388,400,0,
20180102 15:01:00,79.06,79.06,79.06,79.06,6645,156,0,
20180102 15:03:00,79.045,79.045,79.045,79.045,6864,219,0,
20180102 15:08:00,79.03,79.03,79.03,79.03,7228,364,0,
20180102 15:27:00,79.0356,79.05,78.942,79.05,8914,1292,0,
20180102 15:33:00,79.06,79.06,79.06,79.06,9153,100,0,
20180102 15:41:00,79.18,79.18,79.18,79.18,9648,328,0,
