TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 10:05:00,12.88,12.9,12.88,12.9,505,400,0,
20180102 10:06:00,12.9,12.9,12.9,12.9,716,173,0,
20180102 10:21:00,12.94,12.94,12.94,12.94,916,100,0,
20180102 10:36:00,12.94,13,12.93,13,13468,12271,0,
20180102 10:38:00,13.01,13.02,13,13,14968,1500,0,
20180102 10:41:00,13.04,13.05,13.03,13.05,15768,600,0,
20180102 10:42:00,13.05,13.05,13,13,18370,2600,0,
20180102 10:44:00,12.96,12.96,12.95,12.95,18583,200,0,
20180102 10:46:00,13,13.1,13,13.03,29395,10556,0,
20180102 10:51:00,13.09,13.09,13.09,13.09,29696,300,0,
20180102 10:52:00,13.1,13.19,13.1,13.17,33201,3307,0,
20180102 10:59:00,13.21,13.21,13.21,13.21,33301,100,0,
20180102 11:05:00,13.1562,13.1562,13.1562,13.1562,33608,300,0,
20180102 11:19:00,13.2,13.2,13.16,13.16,34531,798,0,
20180102 11:20:00,13.1974,13.1974,13.1974,13.1974,35533,1000,0,
20180102 11:22:00,13.2,13.2,13.2,13.2,35833,300,0,
20180102 11:24:00,13.2,13.2,13.2,13.2,35943,100,0,
20180102 11:25:00,13.2,13.2,13.2,13.2,36049,100,0,
20180102 11:26:00,13.2,13.2,13.2,13.2,36249,200,0,
20180102 11:32:00,13.21,13.21,13.21,13.21,36349,100,0,
20180102 11:36:00,13.21,13.21,13.2,13.2,37464,1009,0,
20180102 11:37:00,13.2,13.25,13.2,13.25,38372,900,0,
20180102 12:16:00,13.25,13.25,13.25,13.25,41928,3100,0,
20180102 12:21:00,13.25,13.25,13.25,13.25,42028,100,0,
20180102 12:23:00,13.2,13.2,13.2,13.2,43139,1100,0,
20180102 12:31:00,13.1999,13.2,13.1999,13.2,45042,1895,0,
20180102 12:34:00,13.26,13.26,13.26,13.26,45254,100,0,
20180102 12:44:00,13.26,13.27,13.249,13.249,45666,400,0,
20180102 13:02:00,13.27,13.27,13.27,13.27,45977,100,0,
20180102 13:03:00,13.25,13.25,13.25,13.25,46077,100,0,
20180102 13:05:00,13.28,13.3,13.28,13.3,47327,1081,0,
20180102 13:06:00,13.3,13.3099,13.3,13.3,48233,701,0,
20180102 13:20:00,13.29,13.3,13.29,13.3,49185,800,0,
20180102 13:23:00,13.3,13.3,13.3,13.3,49285,100,0,
20180102 13:25:00,13.28,13.28,13.27,13.27,49492,200,0,
20180102 13:27:00,13.29,13.31,13.273,13.31,50700,812,0,
20180102 13:30:00,13.31,13.31,13.2905,13.2905,51073,200,0,
20180102 13:52:00,13.31,13.32,13.31,13.32,51308,200,0,
20180102 13:56:00,13.35,13.35,13.32,13.34,52815,1400,0,
20180102 14:03:00,13.36,13.36,13.36,13.36,53607,664,0,
20180102 14:33:00,13.35,13.35,13.35,13.35,54115,100,0,
20180102 14:35:00,13.36,13.36,13.36,13.36,54415,100,0,
20180102 14:37:00,13.36,13.36,13.36,13.36,54615,100,0,
20180102 14:40:00,13.38,13.4,13.38,13.4,56224,1300,0,
20180102 14:42:00,13.4,13.4,13.4,13.4,56324,100,0,
20180102 14:43:00,13.41,13.41,13.41,13.41,56424,100,0,
20180102 14:45:00,13.4,13.4,13.4,13.4,56629,200,0,
20180102 14:46:00,13.4,13.4,13.4,13.4,56829,200,0,
20180102 14:47:00,13.4,13.42,13.4,13.42,58431,1401,0,
20180102 14:48:00,13.42,13.42,13.42,13.42,58631,200,0,
20180102 14:49:00,13.42,13.42,13.42,13.42,58931,300,0,
20180102 14:50:00,13.42,13.42,13.42,13.42,59131,200,0,
20180102 14:51:00,13.42,13.42,13.42,13.42,59231,100,0,
20180102 14:52:00,13.42,13.42,13.42,13.42,59431,200,0,
20180102 14:53:00,13.42,13.42,13.42,13.42,59531,100,0,
20180102 14:56:00,13.42,13.42,13.42,13.42,60133,100,0,
20180102 14:57:00,13.42,13.42,13.42,13.42,60239,100,0,
20180102 14:58:00,13.42,13.42,13.42,13.42,60339,100,0,
20180102 14:59:00,13.42,13.42,13.42,13.42,60539,200,0,
20180102 15:00:00,13.42,13.42,13.42,13.42,60739,200,0,
20180102 15:01:00,13.42,13.42,13.42,13.42,60839,100,0,
20180102 15:03:00,13.42,13.42,13.42,13.42,61039,100,0,
20180102 15:05:00,13.42,13.42,13.42,13.42,61944,700,0,
20180102 15:08:00,13.3974,13.3974,13.3974,13.3974,62244,100,0,
20180102 15:09:00,13.42,13.42,13.42,13.42,62544,200,0,
20180102 15:10:00,13.42,13.42,13.42,13.42,62744,200,0,
20180102 15:11:00,13.42,13.42,13.42,13.42,62849,100,0,
