TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:29:00,22.63,22.63,22.6,22.6,2600,2600,0,
20180102 09:30:00,22.54,22.54,22.54,22.54,16763,14138,0,
20180102 09:32:00,22.68,22.77,22.63,22.77,18721,1400,0,
20180102 09:33:00,22.77,22.77,22.71,22.71,22591,3700,0,
20180102 09:34:00,22.71,22.71,22.555,22.625,23444,800,0,
20180102 09:37:00,22.63,22.63,22.6,22.6,23987,400,0,
20180102 09:38:00,22.635,22.66,22.635,22.65,24878,800,0,
20180102 09:39:00,22.72,22.72,22.72,22.72,25183,100,0,
20180102 09:40:00,22.79,22.79,22.79,22.79,25315,100,0,
20180102 09:41:00,22.78,22.78,22.78,22.78,25423,100,0,
20180102 09:43:00,22.75,22.79,22.74,22.74,26876,1200,0,
20180102 09:44:00,22.75,22.75,22.75,22.75,26976,100,0,
20180102 09:45:00,22.74,22.75,22.73,22.73,28408,1267,0,
20180102 09:46:00,22.73,22.77,22.72,22.72,30356,1600,0,
20180102 09:47:00,22.7416,22.78,22.7416,22.78,31256,800,0,
20180102 09:48:00,22.78,22.78,22.72,22.73,32066,800,0,
20180102 09:49:00,22.7,22.7,22.68,22.68,33867,1417,0,
20180102 09:50:00,22.705,22.705,22.705,22.705,33967,100,0,
20180102 09:51:00,22.73,22.8,22.73,22.8,36541,2000,0,
20180102 09:52:00,22.82,22.82,22.79,22.79,36874,200,0,
20180102 09:53:00,22.81,22.83,22.81,22.83,38174,1100,0,
20180102 09:54:00,22.83,22.83,22.8,22.8,39803,1300,0,
20180102 09:55:00,22.83,22.83,22.8,22.8,42355,2100,0,
20180102 09:56:00,22.805,22.82,22.79,22.82,43455,1100,0,
20180102 09:57:00,22.82,22.84,22.82,22.84,44862,1100,0,
20180102 09:58:00,22.87,22.89,22.87,22.89,45925,800,0,
20180102 09:59:00,22.89,22.94,22.89,22.925,48980,2800,0,
20180102 10:00:00,22.96,22.98,22.94,22.98,51614,2431,0,
20180102 10:01:00,22.98,22.99,22.82,22.82,58255,6370,0,
20180102 10:02:00,22.82,22.85,22.78,22.8,59055,800,0,
