TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,29,29,29,29,2946,2946,0,
20180102 09:31:00,28.89,28.89,28.8,28.8,4016,600,0,
20180102 09:32:00,28.8,28.85,28.75,28.8,4757,600,0,
20180102 09:33:00,28.85,28.95,28.85,28.95,5982,1220,0,
20180102 09:34:00,28.9,28.9,28.8,28.8,6228,200,0,
20180102 09:35:00,28.95,29.05,28.8,29.05,7368,900,0,
20180102 09:36:00,29.05,29.05,29.05,29.05,7468,100,0,
20180102 09:37:00,29.05,29.1,29.05,29.1,9310,1700,0,
20180102 09:38:00,29.25,29.25,29.15,29.15,10500,1000,0,
20180102 09:39:00,29.3,29.3,29.3,29.3,10981,400,0,
20180102 09:40:00,29.4,29.45,29.4,29.45,11281,200,0,
20180102 09:41:00,29.3153,29.45,29.3153,29.45,12554,1200,0,
20180102 09:42:00,29.5,29.55,29.5,29.55,13468,650,0,
20180102 09:43:00,29.45,29.5,29.45,29.45,16233,2500,0,
20180102 09:44:00,29.45,29.45,29.45,29.45,16616,300,0,
20180102 09:45:00,29.4,29.6,29.4,29.6,17434,600,0,
20180102 09:46:00,29.55,29.65,29.55,29.65,19112,1606,0,
20180102 09:47:00,29.65,29.7,29.6,29.7,19963,751,0,
20180102 09:48:00,29.75,29.75,29.75,29.75,20203,200,0,
20180102 09:49:00,29.75,29.75,29.75,29.75,20523,300,0,
20180102 09:50:00,29.75,29.75,29.75,29.75,20941,100,0,
20180102 09:51:00,29.65,29.65,29.6,29.6,21876,900,0,
20180102 09:52:00,29.55,29.55,29.55,29.55,22061,100,0,
20180102 09:53:00,29.6,29.7,29.6,29.7,22296,200,0,
20180102 09:54:00,29.65,29.65,29.6,29.6213,24132,1585,0,
20180102 09:55:00,29.6,29.6,29.5,29.5,24532,200,0,
20180102 09:56:00,29.55,29.55,29.5,29.5,25873,1318,0,
20180102 09:58:00,29.5897,29.6,29.55,29.55,27801,1918,0,
20180102 09:59:00,29.55,29.55,29.5,29.5,28424,591,0,
20180102 10:00:00,29.5503,29.5503,29.5503,29.5503,28531,100,0,
20180102 10:01:00,29.55,29.55,29.55,29.55,28951,400,0,
20180102 10:02:00,29.5757,29.5757,29.5757,29.5757,29231,270,0,
20180102 10:03:00,29.5,29.55,29.5,29.55,30551,1185,0,
20180102 10:04:00,29.536,29.536,29.536,29.536,30951,300,0,
20180102 10:07:00,29.53,29.53,29.53,29.53,31130,100,0,
20180102 10:09:00,29.54,29.54,29.54,29.54,31430,290,0,
20180102 10:12:00,29.55,29.55,29.55,29.55,31570,100,0,
20180102 10:13:00,29.65,29.65,29.55,29.55,36269,4385,0,
20180102 10:14:00,29.6002,29.6002,29.6002,29.6002,36769,400,0,
20180102 10:15:00,29.6,29.6,29.55,29.575,40602,3700,0,
20180102 10:16:00,29.5,29.55,29.5,29.525,42350,1600,0,
20180102 10:19:00,29.5255,29.55,29.5255,29.55,43105,600,0,
20180102 10:20:00,29.6,29.6,29.5705,29.5759,43841,710,0,
20180102 10:21:00,29.5681,29.575,29.5,29.55,46793,2090,0,
20180102 10:23:00,29.6,29.6,29.6,29.6,46993,100,0,
20180102 10:25:00,29.6,29.7,29.6,29.7,48946,1300,0,
20180102 10:27:00,29.7,29.7,29.7,29.7,49501,400,0,
20180102 10:29:00,29.65,29.65,29.6,29.6,51058,900,0,
20180102 10:31:00,29.6,29.6,29.6,29.6,51586,300,0,
20180102 10:32:00,29.65,29.65,29.65,29.65,51692,100,0,
20180102 10:33:00,29.65,29.65,29.65,29.65,51797,100,0,
20180102 10:35:00,29.65,29.7,29.65,29.65,53825,1500,0,
20180102 10:36:00,29.695,29.695,29.695,29.695,53952,110,0,
20180102 10:37:00,29.6,29.6,29.6,29.6,55374,1032,0,
20180102 10:38:00,29.6,29.6,29.5,29.5,55684,300,0,
20180102 10:39:00,29.6,29.65,29.6,29.65,56949,500,0,
20180102 10:40:00,29.75,29.75,29.75,29.75,57726,100,0,
20180102 10:41:00,29.725,29.75,29.7,29.7,58962,1199,0,
20180102 10:42:00,29.7,29.7,29.65,29.65,61076,1600,0,
20180102 10:43:00,29.7,29.75,29.7,29.75,63246,1913,0,
20180102 10:44:00,29.75,29.75,29.75,29.75,64251,1000,0,
20180102 10:46:00,29.75,29.8,29.7,29.7,68300,3528,0,
20180102 10:49:00,29.725,29.745,29.725,29.745,69524,1100,0,
20180102 10:50:00,29.7,29.7,29.65,29.675,70761,1200,0,
20180102 10:51:00,29.7,29.7,29.65,29.65,72665,1550,0,
20180102 10:52:00,29.7,29.7,29.7,29.7,73222,373,0,
20180102 10:53:00,29.75,29.75,29.75,29.75,73872,600,0,
20180102 10:54:00,29.8,29.8,29.8,29.8,75296,800,0,
20180102 10:56:00,29.8,29.8,29.75,29.75,77351,1582,0,
20180102 11:00:00,29.85,29.85,29.85,29.85,78627,843,0,
20180102 11:02:00,29.9,29.95,29.875,29.95,81967,3093,0,
20180102 11:03:00,29.9,29.9,29.85,29.85,84024,1880,0,
20180102 11:08:00,29.8946,29.8946,29.8946,29.8946,85674,1500,0,
20180102 11:09:00,29.869,29.869,29.869,29.869,87184,1500,0,
20180102 11:11:00,29.85,29.85,29.85,29.85,87287,100,0,
20180102 11:13:00,29.9,29.9,29.875,29.875,87502,200,0,
20180102 11:14:00,29.9,29.9,29.9,29.9,87602,100,0,
20180102 11:15:00,29.9,29.9,29.85,29.875,91324,3337,0,
20180102 11:16:00,29.85,29.9,29.85,29.85,92462,1000,0,
20180102 11:17:00,29.911,29.911,29.85,29.875,93514,850,0,
20180102 11:18:00,29.9,29.9,29.9,29.9,94884,1219,0,
20180102 11:19:00,29.9,29.9,29.9,29.9,95385,500,0,
20180102 11:20:00,29.9,29.9,29.9,29.9,97523,1837,0,
20180102 11:21:00,29.85,29.85,29.85,29.85,97757,100,0,
20180102 11:22:00,29.85,29.85,29.8,29.805,98300,300,0,
20180102 11:25:00,29.8,29.8,29.75,29.75,101330,2800,0,
20180102 11:26:00,29.75,29.8,29.75,29.75,103405,1865,0,
20180102 11:27:00,29.8,29.8,29.8,29.8,103705,300,0,
20180102 11:28:00,29.8,29.8,29.75,29.75,104105,400,0,
20180102 11:29:00,29.75,29.75,29.65,29.65,105127,1000,0,
20180102 11:30:00,29.7,29.7,29.7,29.7,105227,100,0,
20180102 11:32:00,29.68,29.68,29.68,29.68,106542,1300,0,
20180102 11:33:00,29.65,29.65,29.6,29.6,106943,400,0,
20180102 11:34:00,29.6,29.6,29.6,29.6,107044,100,0,
20180102 11:37:00,29.65,29.7,29.65,29.7,107646,472,0,
20180102 11:39:00,29.6,29.65,29.55,29.65,109358,1686,0,
20180102 11:44:00,29.65,29.65,29.65,29.65,109868,500,0,
20180102 11:45:00,29.6531,29.6531,29.6531,29.6531,110268,400,0,
20180102 11:46:00,29.6,29.65,29.6,29.65,110698,300,0,
20180102 11:48:00,29.7,29.75,29.7,29.75,111647,700,0,
20180102 11:50:00,29.69,29.7,29.65,29.65,111987,300,0,
20180102 11:52:00,29.75,29.75,29.75,29.75,112194,200,0,
20180102 11:53:00,29.75,29.75,29.75,29.75,112294,100,0,
20180102 11:54:00,29.75,29.75,29.75,29.75,112494,200,0,
20180102 12:05:00,29.75,29.75,29.7,29.7,113366,400,0,
20180102 12:06:00,29.75,29.75,29.75,29.75,113466,100,0,
20180102 12:07:00,29.65,29.65,29.65,29.65,113666,100,0,
20180102 12:10:00,29.75,29.75,29.75,29.75,113966,300,0,
20180102 12:12:00,29.714,29.714,29.714,29.714,114766,700,0,
20180102 12:14:00,29.7,29.7,29.7,29.7,114866,100,0,
20180102 12:15:00,29.65,29.8,29.65,29.8,116801,1639,0,
20180102 12:16:00,29.8,29.8,29.8,29.8,116901,100,0,
20180102 12:17:00,29.8,29.8,29.8,29.8,117111,200,0,
20180102 12:18:00,29.8,29.85,29.8,29.85,117858,700,0,
20180102 12:20:00,29.8,29.825,29.75,29.75,129165,10732,0,
20180102 12:24:00,29.75,29.75,29.75,29.75,129565,300,0,
20180102 12:25:00,29.75,29.75,29.7,29.7,130733,544,0,
20180102 12:27:00,29.775,29.775,29.775,29.775,130833,100,0,
20180102 12:28:00,29.75,29.775,29.75,29.775,131033,200,0,
20180102 12:29:00,29.8,29.8,29.8,29.8,131563,500,0,
20180102 12:31:00,29.75,29.75,29.75,29.75,132155,392,0,
20180102 12:33:00,29.75,29.75,29.75,29.75,132355,200,0,
20180102 12:35:00,29.8,29.8,29.75,29.75,133515,857,0,
20180102 12:39:00,29.75,29.75,29.75,29.75,133773,100,0,
20180102 12:45:00,29.7,29.7,29.7,29.7,137898,3500,0,
20180102 12:47:00,29.65,29.65,29.6,29.6,138698,600,0,
20180102 12:49:00,29.61,29.61,29.61,29.61,139298,570,0,
20180102 12:52:00,29.65,29.65,29.65,29.65,140440,748,0,
20180102 12:54:00,29.632,29.632,29.632,29.632,140940,100,0,
20180102 12:57:00,29.65,29.65,29.65,29.65,141241,200,0,
20180102 12:58:00,29.6,29.6,29.6,29.6,141441,200,0,
20180102 12:59:00,29.7,29.7,29.6,29.65,143108,900,0,
20180102 13:00:00,29.65,29.65,29.65,29.65,144490,1300,0,
20180102 13:01:00,29.675,29.675,29.675,29.675,144890,200,0,
20180102 13:02:00,29.7,29.7,29.7,29.7,144990,100,0,
20180102 13:03:00,29.65,29.65,29.65,29.65,145858,700,0,
20180102 13:14:00,29.6,29.625,29.6,29.625,147403,857,0,
20180102 13:17:00,29.55,29.6,29.55,29.6,147824,200,0,
20180102 13:18:00,29.6,29.6,29.6,29.6,148331,300,0,
20180102 13:19:00,29.5869,29.5869,29.5869,29.5869,148952,428,0,
20180102 13:20:00,29.6,29.6,29.6,29.6,149053,100,0,
20180102 13:22:00,29.65,29.65,29.65,29.65,149253,100,0,
20180102 13:23:00,29.6,29.6,29.6,29.6,149353,100,0,
20180102 13:24:00,29.6,29.6,29.6,29.6,149458,100,0,
20180102 13:27:00,29.65,29.65,29.65,29.65,149753,100,0,
20180102 13:28:00,29.65,29.65,29.65,29.65,149885,100,0,
20180102 13:37:00,29.55,29.55,29.55,29.55,150094,100,0,
20180102 13:38:00,29.6,29.6,29.6,29.6,150419,200,0,
20180102 13:41:00,29.65,29.65,29.65,29.65,150520,100,0,
20180102 13:43:00,29.6,29.625,29.55,29.55,153572,2480,0,
20180102 13:44:00,29.55,29.55,29.55,29.55,153772,200,0,
20180102 13:46:00,29.55,29.55,29.55,29.55,153985,200,0,
20180102 13:47:00,29.55,29.55,29.5,29.5,155825,1489,0,
20180102 13:49:00,29.525,29.525,29.525,29.525,155936,100,0,
20180102 13:51:00,29.525,29.525,29.45,29.475,158393,2400,0,
20180102 13:52:00,29.475,29.475,29.475,29.475,158613,100,0,
20180102 13:53:00,29.475,29.475,29.4723,29.4723,158813,200,0,
20180102 13:54:00,29.45,29.45,29.45,29.45,158923,100,0,
20180102 13:58:00,29.45,29.45,29.45,29.45,159044,100,0,
20180102 14:00:00,29.5,29.5,29.5,29.5,165264,5601,0,
20180102 14:01:00,29.5,29.5,29.4752,29.4752,165630,300,0,
20180102 14:02:00,29.5,29.5,29.47,29.47,166130,400,0,
20180102 14:03:00,29.5,29.5,29.475,29.5,167930,1800,0,
20180102 14:04:00,29.475,29.475,29.475,29.475,168131,200,0,
20180102 14:05:00,29.5,29.5,29.5,29.5,168231,100,0,
20180102 14:07:00,29.5,29.5,29.5,29.5,168331,100,0,
20180102 14:09:00,29.5,29.5,29.5,29.5,168431,100,0,
20180102 14:10:00,29.5,29.5,29.5,29.5,168532,100,0,
20180102 14:11:00,29.47,29.5,29.47,29.5,168882,250,0,
20180102 14:13:00,29.5,29.5,29.5,29.5,168991,100,0,
20180102 14:14:00,29.475,29.475,29.475,29.475,169141,150,0,
20180102 14:15:00,29.5,29.5,29.45,29.475,172752,3042,0,
20180102 14:16:00,29.425,29.425,29.425,29.425,172852,100,0,
20180102 14:18:00,29.45,29.45,29.45,29.45,172952,100,0,
20180102 14:20:00,29.45,29.45,29.4,29.4,173252,300,0,
20180102 14:22:00,29.45,29.45,29.45,29.45,173452,100,0,
20180102 14:23:00,29.4,29.425,29.35,29.35,176304,2335,0,
20180102 14:24:00,29.45,29.5,29.45,29.495,177974,1500,0,
20180102 14:25:00,29.45,29.45,29.45,29.45,178074,100,0,
20180102 14:28:00,29.45,29.5,29.45,29.5,185280,6851,0,
20180102 14:33:00,29.5,29.5,29.5,29.5,185511,100,0,
20180102 14:35:00,29.5,29.5,29.475,29.475,186211,700,0,
20180102 14:36:00,29.5,29.5,29.5,29.5,186611,300,0,
20180102 14:37:00,29.45,29.475,29.45,29.475,186863,200,0,
20180102 14:38:00,29.475,29.5,29.475,29.5,187063,200,0,
20180102 14:39:00,29.5,29.5,29.5,29.5,187229,100,0,
20180102 14:40:00,29.5,29.5,29.5,29.5,187329,100,0,
20180102 14:41:00,29.5,29.5,29.5,29.5,187429,100,0,
20180102 14:42:00,29.5,29.5,29.5,29.5,187629,200,0,
20180102 14:43:00,29.5,29.5,29.5,29.5,187892,100,0,
20180102 14:45:00,29.5,29.5,29.5,29.5,188007,100,0,
20180102 14:48:00,29.5,29.5,29.45,29.475,189134,900,0,
20180102 14:49:00,29.475,29.5,29.4722,29.5,189585,450,0,
20180102 14:50:00,29.5,29.5,29.45,29.5,189885,300,0,
20180102 14:52:00,29.45,29.45,29.45,29.45,190194,200,0,
20180102 14:53:00,29.5,29.5,29.5,29.5,190294,100,0,
20180102 14:54:00,29.45,29.45,29.45,29.45,190394,100,0,
20180102 14:56:00,29.5,29.5,29.45,29.475,193635,2642,0,
20180102 14:57:00,29.475,29.475,29.475,29.475,193770,100,0,
20180102 14:59:00,29.5,29.5,29.5,29.5,193870,100,0,
20180102 15:01:00,29.5,29.5,29.5,29.5,194070,100,0,
20180102 15:04:00,29.5,29.5,29.475,29.475,194270,200,0,
20180102 15:06:00,29.5,29.5,29.5,29.5,194471,200,0,
20180102 15:09:00,29.5,29.5,29.5,29.5,195023,552,0,
20180102 15:10:00,29.45,29.5,29.45,29.5,195481,400,0,
20180102 15:11:00,29.5,29.5,29.475,29.475,196183,600,0,
20180102 15:12:00,29.45,29.45,29.45,29.45,196363,180,0,
20180102 15:13:00,29.45,29.45,29.45,29.45,196483,100,0,
20180102 15:14:00,29.5,29.5,29.5,29.5,196683,200,0,
20180102 15:16:00,29.45,29.45,29.45,29.45,196783,100,0,
20180102 15:17:00,29.5,29.5,29.45,29.45,200283,3389,0,
20180102 15:18:00,29.475,29.5,29.475,29.475,201478,1100,0,
20180102 15:19:00,29.45,29.475,29.45,29.475,201778,300,0,
20180102 15:20:00,29.475,29.475,29.45,29.45,202499,694,0,
20180102 15:21:00,29.45,29.45,29.3,29.3,209434,6095,0,
20180102 15:23:00,29.325,29.325,29.325,29.325,209634,200,0,
20180102 15:24:00,29.35,29.35,29.3,29.325,212436,2700,0,
20180102 15:25:00,29.305,29.325,29.3,29.325,212786,300,0,
20180102 15:26:00,29.3,29.3,29.3,29.3,214719,1791,0,
20180102 15:27:00,29.325,29.325,29.325,29.325,216219,1500,0,
20180102 15:28:00,29.35,29.35,29.325,29.35,219486,3018,0,
20180102 15:29:00,29.375,29.375,29.35,29.35,223963,4265,0,
20180102 15:30:00,29.35,29.35,29.35,29.35,224163,200,0,
20180102 15:31:00,29.35,29.35,29.35,29.35,224665,400,0,
20180102 15:33:00,29.35,29.35,29.35,29.35,224765,100,0,
20180102 15:36:00,29.4,29.4,29.4,29.4,225106,100,0,
20180102 15:37:00,29.4,29.4,29.4,29.4,225873,400,0,
20180102 15:38:00,29.4,29.4,29.4,29.4,226144,100,0,
20180102 15:39:00,29.4,29.425,29.4,29.4,228001,1515,0,
20180102 15:40:00,29.4,29.45,29.4,29.45,228902,800,0,
20180102 15:41:00,29.425,29.425,29.425,29.425,229382,400,0,
20180102 15:43:00,29.45,29.45,29.425,29.425,230510,1100,0,
20180102 15:44:00,29.45,29.45,29.45,29.45,231589,300,0,
20180102 15:45:00,29.45,29.45,29.425,29.45,232335,500,0,
20180102 15:46:00,29.45,29.45,29.425,29.45,234330,1800,0,
20180102 15:47:00,29.5,29.5,29.475,29.475,234643,300,0,
20180102 15:48:00,29.5,29.5,29.5,29.5,235284,600,0,
20180102 15:49:00,29.4753,29.5,29.475,29.475,235814,500,0,
20180102 15:50:00,29.5,29.55,29.5,29.5,237774,1300,0,
20180102 15:51:00,29.55,29.55,29.525,29.525,238437,500,0,
20180102 15:52:00,29.55,29.55,29.525,29.525,239371,700,0,
20180102 15:53:00,29.55,29.55,29.55,29.55,240596,1125,0,
20180102 15:54:00,29.525,29.55,29.525,29.525,240974,300,0,
20180102 15:55:00,29.5,29.55,29.5,29.525,242967,1667,0,
20180102 15:56:00,29.5,29.55,29.5,29.525,243686,600,0,
20180102 15:57:00,29.525,29.55,29.5,29.55,246581,2536,0,
20180102 15:58:00,29.55,29.55,29.5,29.5,249883,2478,0,
20180102 15:59:00,29.55,29.575,29.5,29.5,261579,9784,0,
20180102 16:00:00,29.55,29.55,29.5,29.55,297464,34984,0,
20180102 16:07:00,29.5827,29.5827,29.5827,29.5827,297897,133,0,
