TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,37.34,37.34,37.34,37.34,11199,11199,0,
20180102 09:32:00,37.445,37.445,37.43,37.43,11400,200,0,
20180102 09:34:00,37.39,37.44,37.281,37.281,15884,4201,0,
20180102 09:35:00,37.36,37.36,37.2,37.2,16486,500,0,
20180102 09:36:00,37.324,37.38,37.324,37.34,17802,836,0,
20180102 09:37:00,37.4289,37.4289,37.39,37.39,20005,2103,0,
20180102 09:38:00,37.45,37.46,37.45,37.46,20849,700,0,
20180102 09:39:00,37.45,37.45,37.44,37.45,21582,530,0,
20180102 09:40:00,37.4731,37.4731,37.44,37.46,23596,1757,0,
20180102 09:41:00,37.46,37.46,37.46,37.46,23752,156,0,
20180102 09:42:00,37.46,37.46,37.46,37.46,23860,100,0,
20180102 09:44:00,37.43,37.43,37.43,37.43,24830,500,0,
20180102 09:45:00,37.48,37.48,37.48,37.48,25139,100,0,
20180102 09:46:00,37.41,37.41,37.4,37.41,25548,400,0,
20180102 09:47:00,37.44,37.4561,37.44,37.4561,26392,844,0,
20180102 09:48:00,37.4834,37.4834,37.45,37.45,27416,933,0,
20180102 09:49:00,37.45,37.45,37.4,37.4,29007,1400,0,
20180102 09:50:00,37.38,37.38,37.35,37.35,29752,734,0,
20180102 09:51:00,37.38,37.4053,37.38,37.4053,30173,200,0,
20180102 09:52:00,37.42,37.42,37.42,37.42,30383,200,0,
20180102 09:53:00,37.42,37.42,37.42,37.42,30583,200,0,
20180102 09:55:00,37.5,37.52,37.49,37.49,31471,800,0,
20180102 09:56:00,37.525,37.5505,37.5,37.5,36406,4900,0,
20180102 09:57:00,37.5,37.51,37.49,37.49,37010,600,0,
20180102 09:58:00,37.49,37.49,37.49,37.49,37110,100,0,
20180102 09:59:00,37.52,37.58,37.51,37.58,39143,1470,0,
20180102 10:00:00,37.595,37.61,37.59,37.61,40629,1445,0,
20180102 10:01:00,37.6264,37.65,37.6264,37.65,42196,1400,0,
20180102 10:02:00,37.65,37.66,37.65,37.66,43768,1500,0,
20180102 10:03:00,37.66,37.73,37.65,37.73,45069,900,0,
20180102 10:04:00,37.7,37.72,37.65,37.69,46605,1200,0,
20180102 10:05:00,37.69,37.71,37.69,37.69,47512,700,0,
20180102 10:06:00,37.69,37.72,37.68,37.68,48718,1100,0,
20180102 10:07:00,37.73,37.73,37.73,37.73,49344,300,0,
20180102 10:08:00,37.7484,37.7484,37.745,37.745,50059,700,0,
20180102 10:10:00,37.744,37.7608,37.744,37.7608,50970,788,0,
20180102 10:13:00,37.78,37.78,37.78,37.78,51095,100,0,
20180102 10:14:00,37.76,37.76,37.76,37.76,51195,100,0,
20180102 10:17:00,37.81,37.81,37.81,37.81,52260,630,0,
20180102 10:18:00,37.81,37.82,37.79,37.81,56908,4026,0,
20180102 10:19:00,37.8,37.805,37.8,37.805,58152,1000,0,
20180102 10:20:00,37.81,37.89,37.81,37.86,64569,5721,0,
20180102 10:21:00,37.86,37.89,37.86,37.89,65669,1100,0,
20180102 10:22:00,37.88,37.88,37.85,37.85,67785,1904,0,
20180102 10:23:00,37.84,37.84,37.84,37.84,68185,400,0,
20180102 10:25:00,37.82,37.84,37.785,37.785,74204,4805,0,
20180102 10:26:00,37.7865,37.8,37.785,37.785,77129,2900,0,
