TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,5.25,5.25,5.25,5.25,143,100,0,
20180102 10:14:00,5.06,5.06,5.06,5.06,318,100,0,
20180102 10:24:00,5.2499,5.25,5.23,5.25,1819,1501,0,
20180102 10:25:00,5.25,5.28,5.25,5.28,2119,300,0,
20180102 11:29:00,5.5463,5.5463,5.5463,5.5463,2374,250,0,
20180102 11:53:00,5.49,5.49,5.49,5.49,2654,280,0,
20180102 12:13:00,5.33,5.33,5.33,5.33,2755,100,0,
20180102 12:37:00,5.43,5.43,5.43,5.43,2955,200,0,
20180102 13:02:00,5.33,5.33,5.33,5.33,3056,100,0,
20180102 13:20:00,5.43,5.43,5.43,5.43,3156,100,0,
20180102 13:21:00,5.43,5.43,5.43,5.43,3256,100,0,
20180102 13:50:00,5.4081,5.4081,5.4081,5.4081,3366,110,0,
20180102 13:53:00,5.32,5.32,5.32,5.32,3466,100,0,
20180102 14:38:00,5.29,5.29,5.29,5.29,3600,100,0,
20180102 15:18:00,5.3,5.3,5.3,5.3,3700,100,0,
20180102 15:45:00,5.3,5.3,5.3,5.3,3824,100,0,
20180102 15:52:00,5.3,5.3,5.3,5.3,3924,100,0,
20180102 15:53:00,5.3959,5.3959,5.3959,5.3959,4585,661,0,
20180102 15:57:00,5.31,5.31,5.31,5.31,4685,100,0,
20180102 16:00:00,5.62,5.62,5.62,5.62,4885,200,0,
