TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,153.5,153.66,153.21,153.46,54642,42241,0,
20180102 09:31:00,153.28,153.4272,153,153,70178,6931,0,
20180102 09:32:00,152.96,153.045,152.91,152.92,72916,2441,0,
20180102 09:33:00,152.95,153.3,152.94,153.3,84303,10542,0,
20180102 09:34:00,153.181,153.38,153.18,153.37,88248,3700,0,
20180102 09:35:00,153.35,153.35,153.12,153.12,92464,3300,0,
20180102 09:36:00,153.245,153.245,153.08,153.14,94326,1214,0,
20180102 09:37:00,153.18,153.39,153.17,153.39,99507,3764,0,
20180102 09:38:00,153.34,153.47,153.14,153.37,106189,5446,0,
20180102 09:39:00,153.33,153.67,153.33,153.45,109119,2500,0,
20180102 09:40:00,153.55,153.82,153.5,153.65,117929,7528,0,
20180102 09:41:00,153.6169,153.6169,153.44,153.54,123672,5302,0,
20180102 09:42:00,153.5505,153.71,153.46,153.71,125979,1748,0,
20180102 09:43:00,153.71,153.76,153.64,153.76,128254,1300,0,
20180102 09:44:00,153.77,153.77,153.5,153.5,131368,2061,0,
20180102 09:45:00,153.54,153.68,153.475,153.68,133534,1718,0,
20180102 09:46:00,153.56,153.57,153.44,153.51,138898,4275,0,
20180102 09:47:00,153.57,153.57,153.555,153.555,139312,300,0,
20180102 09:48:00,153.6204,153.6719,153.545,153.6719,143295,3031,0,
20180102 09:49:00,153.6,153.6,153.45,153.4801,145823,1994,0,
20180102 09:50:00,153.475,153.55,153.38,153.38,154393,7387,0,
20180102 09:51:00,153.38,153.44,153.31,153.31,158719,3453,0,
20180102 09:52:00,153.345,153.39,153.29,153.36,163861,4395,0,
20180102 09:53:00,153.44,153.51,153.36,153.415,167147,2950,0,
20180102 09:54:00,153.42,153.42,153.32,153.352,170350,2550,0,
20180102 09:55:00,153.3101,153.36,153.242,153.28,174479,3456,0,
20180102 09:56:00,153.34,153.5,153.34,153.5,181464,6026,0,
20180102 09:57:00,153.46,153.47,153.41,153.435,183613,1368,0,
20180102 09:58:00,153.47,153.59,153.37,153.52,196874,11927,0,
