TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,29.65,29.65,29.65,29.65,100,100,0,
20180102 09:31:00,30,30,30,30,200,100,0,
20180102 09:50:00,29.5,29.5,29.5,29.5,660,398,0,
20180102 09:53:00,29.65,29.65,29.65,29.65,762,100,0,
20180102 11:28:00,29.85,29.85,29.85,29.85,903,100,0,
20180102 11:33:00,29.85,29.85,29.85,29.85,1003,100,0,
20180102 13:24:00,29.5,29.5,29.5,29.5,1304,300,0,
20180102 13:53:00,29.5,29.6,29.5,29.6,1704,200,0,
20180102 14:11:00,29.55,29.55,29.55,29.55,1804,100,0,
20180102 14:42:00,29.65,29.65,29.65,29.65,1933,100,0,
20180102 15:00:00,29.65,29.65,29.65,29.65,2272,200,0,
20180102 15:16:00,29.65,29.65,29.65,29.65,2372,100,0,
20180102 15:23:00,29.65,29.65,29.65,29.65,2472,100,0,
20180102 15:30:00,29.65,29.65,29.65,29.65,2603,100,0,
20180102 15:40:00,29.5,29.65,29.5,29.65,2803,200,0,
20180102 15:42:00,29.65,29.65,29.65,29.65,2903,100,0,
20180102 15:49:00,29.65,29.65,29.65,29.65,3113,100,0,
20180102 15:52:00,29.65,29.65,29.65,29.65,3392,200,0,
20180102 15:55:00,29.6,29.6,29.6,29.6,3692,100,0,
20180102 15:57:00,29.5,29.6,29.5,29.6,3992,200,0,
20180102 15:58:00,29.7,29.7,29.7,29.7,4141,100,0,
20180102 15:59:00,29.55,29.55,29.5,29.5,4649,200,0,
20180102 16:00:00,29.75,29.75,29.75,29.75,7139,2490,0,
