TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,21.7,21.7,21.7,21.7,5112,5112,0,
20180102 09:32:00,21.65,21.65,21.65,21.65,5212,100,0,
20180102 09:33:00,21.55,21.55,21.55,21.55,5645,300,0,
20180102 09:34:00,21.55,21.8,21.55,21.8,64870,59056,0,
20180102 09:35:00,21.7,21.8,21.7,21.8,65100,200,0,
20180102 09:36:00,21.8,21.85,21.8,21.85,65417,300,0,
20180102 09:38:00,21.95,22.1,21.9,21.9,71466,5880,0,
20180102 09:39:00,21.9,22.05,21.9,22.05,73083,1600,0,
20180102 09:40:00,22,22.05,21.95,22,77743,4500,0,
20180102 09:41:00,22,22,21.95,22,78970,1127,0,
20180102 09:42:00,22,22.2,22,22.1,80835,1838,0,
20180102 09:43:00,22.15,22.15,22,22,83170,1800,0,
20180102 09:44:00,21.95,22.05,21.95,22,84170,1000,0,
20180102 09:45:00,22.1,22.1,22,22.1,84970,800,0,
20180102 09:46:00,22.075,22.1,22,22.05,87182,2200,0,
20180102 09:47:00,22.1,22.35,22.1,22.35,98589,10860,0,
20180102 09:48:00,22.35,22.35,22,22,102491,3200,0,
20180102 09:49:00,22,22,22,22,102720,200,0,
20180102 09:50:00,22.1,22.2,22.05,22.2,103692,900,0,
20180102 09:51:00,22.15,22.2,22.15,22.15,105098,1265,0,
20180102 09:52:00,22.2,22.2,22.1,22.15,105808,700,0,
20180102 09:53:00,22.15,22.15,22.15,22.15,106208,400,0,
20180102 09:54:00,22.1,22.1,22.1,22.1,106350,100,0,
20180102 09:55:00,22.1,22.1,22.05,22.05,107559,1100,0,
20180102 09:56:00,22.1,22.1,22.1,22.1,108159,600,0,
20180102 09:57:00,22.1,22.15,22.1,22.15,109568,1200,0,
20180102 09:58:00,22.15,22.2,22.15,22.2,110278,700,0,
20180102 09:59:00,22.2137,22.3,22.2137,22.3,112155,1850,0,
20180102 10:00:00,22.3,22.35,22.3,22.35,112375,200,0,
20180102 10:02:00,22.3,22.45,22.3,22.45,115938,2900,0,
20180102 10:03:00,22.35,22.45,22.35,22.4,119536,3500,0,
20180102 10:04:00,22.45,22.55,22.45,22.55,122260,2500,0,
20180102 10:05:00,22.55,22.7,22.5,22.5,135333,12700,0,
20180102 10:06:00,22.5,22.7,22.5,22.7,144759,9191,0,
20180102 10:07:00,22.675,22.675,22.5,22.6,153475,7773,0,
20180102 10:08:00,22.55,22.65,22.55,22.6,160965,7188,0,
20180102 10:09:00,22.65,22.65,22.625,22.625,161665,700,0,
20180102 10:11:00,22.625,22.625,22.625,22.625,161847,100,0,
20180102 10:12:00,22.625,22.65,22.625,22.65,162507,400,0,
20180102 10:13:00,22.65,22.65,22.6,22.65,162950,400,0,
20180102 10:14:00,22.65,22.65,22.6,22.65,163971,1000,0,
20180102 10:15:00,22.6232,22.6232,22.6232,22.6232,164071,100,0,
20180102 10:16:00,22.65,22.65,22.65,22.65,164171,100,0,
20180102 10:17:00,22.625,22.625,22.5,22.5,168284,2800,0,
20180102 10:18:00,22.45,22.55,22.45,22.45,170684,2400,0,
20180102 10:19:00,22.45,22.45,22.45,22.45,170884,200,0,
20180102 10:21:00,22.55,22.6,22.525,22.6,173187,1900,0,
20180102 10:22:00,22.6,22.6,22.6,22.6,173367,100,0,
20180102 10:23:00,22.6,22.6,22.55,22.55,174929,1240,0,
20180102 10:24:00,22.55,22.575,22.5,22.5,176329,1200,0,
20180102 10:25:00,22.55,22.55,22.55,22.55,176729,400,0,
20180102 10:26:00,22.5,22.5,22.5,22.5,176919,100,0,
20180102 10:27:00,22.5,22.5,22.5,22.5,177789,600,0,
20180102 10:28:00,22.5,22.6,22.5,22.55,179469,1300,0,
20180102 10:29:00,22.5,22.5,22.45,22.45,183296,3700,0,
20180102 10:30:00,22.45,22.45,22.45,22.45,184048,200,0,
20180102 10:31:00,22.4,22.4,22.4,22.4,184248,200,0,
20180102 10:32:00,22.45,22.45,22.45,22.45,184348,100,0,
20180102 10:33:00,22.45,22.45,22.4,22.4,186973,2625,0,
20180102 10:34:00,22.4,22.45,22.4,22.4,190061,2900,0,
