TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,14.03,14.03,14.03,14.03,5197,5197,0,
20180102 09:36:00,14,14,14,14,8051,1000,0,
20180102 09:37:00,14.001,14.01,14.001,14.01,8361,310,0,
20180102 09:41:00,14.015,14.02,14.015,14.02,10248,1828,0,
20180102 09:46:00,14.05,14.06,14.02,14.04,15348,5100,0,
20180102 09:50:00,14.08,14.08,14.08,14.08,15848,500,0,
20180102 09:51:00,14.051,14.051,14.05,14.05,16248,400,0,
20180102 09:54:00,14.05,14.05,14.05,14.05,16377,100,0,
20180102 09:58:00,14.05,14.05,14.05,14.05,16477,100,0,
20180102 10:02:00,14.05,14.05,14.05,14.05,17078,600,0,
20180102 10:06:00,14.051,14.051,14.051,14.051,17827,700,0,
20180102 10:10:00,14.08,14.08,14.08,14.08,18049,200,0,
20180102 10:11:00,14.08,14.08,14.08,14.08,18349,300,0,
20180102 10:14:00,14.0766,14.0766,14.0766,14.0766,19484,1050,0,
20180102 10:18:00,14.0835,14.0835,14.0835,14.0835,21984,2500,0,
20180102 10:21:00,14.09,14.09,14.085,14.09,30883,8899,0,
20180102 10:25:00,14.11,14.11,14.092,14.092,33218,2097,0,
20180102 10:59:00,14.095,14.095,14.09,14.09,33703,400,0,
20180102 11:16:00,14.0987,14.1,14.0987,14.1,36903,3000,0,
20180102 11:17:00,14.1,14.1,14.095,14.095,38003,1100,0,
20180102 11:18:00,14.1,14.11,14.1,14.11,38655,600,0,
20180102 11:24:00,14.1,14.1,14.1,14.1,38855,200,0,
20180102 11:25:00,14.1099,14.1099,14.1099,14.1099,39097,242,0,
20180102 11:28:00,14.094,14.094,14.094,14.094,39796,699,0,
20180102 11:30:00,14.0886,14.0886,14.0886,14.0886,40158,362,0,
20180102 11:31:00,14.0993,14.0993,14.0993,14.0993,41058,900,0,
20180102 11:35:00,14.1,14.1,14.1,14.1,41158,100,0,
20180102 11:49:00,14.11,14.11,14.11,14.11,41264,100,0,
20180102 11:51:00,14.11,14.11,14.1001,14.1001,41944,680,0,
20180102 11:56:00,14.1107,14.1107,14.1107,14.1107,42445,500,0,
20180102 12:00:00,14.11,14.11,14.11,14.11,42845,400,0,
20180102 12:03:00,14.11,14.11,14.11,14.11,43345,100,0,
20180102 12:32:00,14.117,14.117,14.117,14.117,43703,277,0,
20180102 12:38:00,14.12,14.12,14.12,14.12,44603,900,0,
20180102 12:41:00,14.105,14.12,14.105,14.12,46969,2366,0,
20180102 12:46:00,14.14,14.14,14.14,14.14,47120,100,0,
20180102 12:55:00,14.14,14.14,14.135,14.135,48143,1000,0,
20180102 12:56:00,14.14,14.14,14.137,14.137,50397,2254,0,
20180102 12:57:00,14.14,14.14,14.14,14.14,50917,520,0,
20180102 13:05:00,14.15,14.16,14.1499,14.16,54136,3194,0,
20180102 13:07:00,14.16,14.16,14.16,14.16,54236,100,0,
20180102 13:12:00,14.16,14.16,14.15,14.15,55292,1056,0,
20180102 13:13:00,14.1668,14.1668,14.1668,14.1668,56042,750,0,
20180102 13:16:00,14.16,14.16,14.16,14.16,56677,635,0,
20180102 13:18:00,14.1684,14.1684,14.1684,14.1684,57630,953,0,
20180102 13:27:00,14.15,14.15,14.15,14.15,58056,426,0,
20180102 13:38:00,14.15,14.15,14.15,14.15,58536,480,0,
20180102 13:39:00,14.151,14.151,14.151,14.151,58976,440,0,
20180102 13:43:00,14.17,14.17,14.17,14.17,59076,100,0,
20180102 13:45:00,14.17,14.17,14.1658,14.1658,59477,400,0,
20180102 13:50:00,14.1591,14.1591,14.1591,14.1591,59938,461,0,
20180102 13:52:00,14.17,14.17,14.17,14.17,60599,660,0,
20180102 14:03:00,14.17,14.17,14.17,14.17,60835,100,0,
20180102 14:11:00,14.17,14.17,14.153,14.17,62889,1690,0,
20180102 14:16:00,14.1501,14.1501,14.1501,14.1501,63090,200,0,
20180102 14:28:00,14.1503,14.1503,14.1503,14.1503,63565,475,0,
20180102 14:30:00,14.1432,14.1432,14.1432,14.1432,64555,990,0,
20180102 14:38:00,14.13,14.13,14.13,14.13,65005,376,0,
20180102 14:42:00,14.1616,14.17,14.1616,14.17,66110,1100,0,
20180102 15:16:00,14.13,14.13,14.13,14.13,66673,562,0,
20180102 15:20:00,14.1425,14.1425,14.1425,14.1425,67523,850,0,
20180102 15:30:00,14.1455,14.155,14.1455,14.155,68309,785,0,
20180102 15:33:00,14.1443,14.1443,14.1443,14.1443,69309,1000,0,
20180102 15:40:00,14.13,14.13,14.13,14.13,69409,100,0,
20180102 15:41:00,14.13,14.13,14.13,14.13,69509,100,0,
20180102 15:52:00,14.1799,14.18,14.13,14.13,71909,2400,0,
20180102 15:55:00,14.1385,14.1385,14.1385,14.1385,72159,250,0,
20180102 15:57:00,14.13,14.1462,14.13,14.1462,72384,225,0,
20180102 15:59:00,14.18,14.18,14.13,14.13,72684,300,0,
20180102 16:03:00,14.13,14.13,14.13,14.13,72991,200,0,
