TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,12.9,12.9,12.9,12.9,1275,1275,0,
20180102 09:33:00,12.91,12.94,12.9,12.93,3475,2160,0,
20180102 09:34:00,12.9,12.9,12.885,12.885,4730,1255,0,
20180102 09:35:00,12.9,12.9,12.9,12.9,5028,200,0,
20180102 09:36:00,12.88,12.88,12.85,12.85,6016,902,0,
20180102 09:37:00,12.89,12.89,12.89,12.89,7216,1200,0,
20180102 09:38:00,12.94,12.94,12.94,12.94,7316,100,0,
20180102 09:40:00,12.9,12.9,12.9,12.9,7616,300,0,
20180102 09:44:00,12.89,12.89,12.89,12.89,7716,100,0,
20180102 09:45:00,12.88,12.9,12.86,12.9,8816,1100,0,
20180102 09:51:00,12.86,12.86,12.86,12.86,9051,200,0,
20180102 09:52:00,12.86,12.86,12.86,12.86,9189,100,0,
20180102 09:56:00,12.87,12.89,12.87,12.89,11168,1770,0,
20180102 09:57:00,12.885,12.9101,12.885,12.9101,12168,900,0,
20180102 09:59:00,12.92,12.92,12.92,12.92,12468,300,0,
20180102 10:01:00,12.9158,12.9158,12.9158,12.9158,12763,160,0,
20180102 10:03:00,12.92,12.92,12.92,12.92,12963,200,0,
20180102 10:06:00,12.92,12.92,12.92,12.92,13063,100,0,
20180102 10:08:00,12.96,12.96,12.9396,12.945,15863,2800,0,
20180102 10:16:00,12.945,12.945,12.945,12.945,16148,200,0,
20180102 10:19:00,12.93,12.93,12.93,12.93,16459,300,0,
20180102 10:30:00,12.93,12.93,12.93,12.93,16736,100,0,
20180102 10:31:00,12.94,12.94,12.94,12.94,16871,100,0,
20180102 10:32:00,12.925,12.925,12.91,12.91,17071,200,0,
20180102 10:36:00,12.9165,12.9165,12.91,12.91,18284,1213,0,
20180102 10:37:00,12.9,12.9,12.9,12.9,18384,100,0,
20180102 10:43:00,12.86,12.86,12.85,12.8599,19255,700,0,
20180102 10:44:00,12.86,12.86,12.86,12.86,19455,100,0,
20180102 10:48:00,12.85,12.86,12.85,12.86,21071,1500,0,
20180102 10:55:00,12.888,12.888,12.87,12.87,22522,1450,0,
20180102 10:58:00,12.87,12.87,12.87,12.87,22788,200,0,
20180102 11:02:00,12.868,12.868,12.868,12.868,23014,220,0,
20180102 11:04:00,12.8695,12.875,12.8695,12.875,23414,400,0,
20180102 11:05:00,12.87,12.87,12.87,12.87,23814,400,0,
20180102 11:06:00,12.87,12.87,12.87,12.87,24418,400,0,
20180102 11:10:00,12.87,12.87,12.86,12.87,27135,2600,0,
20180102 11:11:00,12.86,12.86,12.86,12.86,28528,1294,0,
20180102 11:12:00,12.85,12.85,12.81,12.82,35390,6695,0,
20180102 11:18:00,12.81,12.81,12.8099,12.8099,36103,600,0,
20180102 11:19:00,12.81,12.82,12.81,12.82,38038,1805,0,
20180102 11:20:00,12.82,12.83,12.82,12.83,38551,500,0,
20180102 11:22:00,12.84,12.84,12.84,12.84,38795,200,0,
20180102 11:25:00,12.85,12.85,12.85,12.85,38932,100,0,
20180102 11:27:00,12.85,12.85,12.84,12.84,40014,1082,0,
20180102 11:35:00,12.82,12.82,12.82,12.82,40289,200,0,
20180102 11:38:00,12.81,12.81,12.75,12.77,49860,9200,0,
20180102 11:39:00,12.78,12.78,12.78,12.78,49960,100,0,
20180102 11:43:00,12.79,12.79,12.78,12.78,51280,1210,0,
20180102 11:44:00,12.785,12.785,12.785,12.785,51780,500,0,
20180102 11:45:00,12.79,12.81,12.79,12.81,52592,800,0,
20180102 11:46:00,12.8048,12.8048,12.8048,12.8048,52792,200,0,
20180102 11:52:00,12.81,12.81,12.81,12.81,53298,500,0,
20180102 11:53:00,12.83,12.83,12.83,12.83,53601,200,0,
20180102 11:56:00,12.8365,12.8365,12.8365,12.8365,54405,770,0,
20180102 11:59:00,12.8363,12.8363,12.8363,12.8363,54530,100,0,
20180102 12:05:00,12.83,12.84,12.83,12.84,55072,400,0,
20180102 12:06:00,12.84,12.85,12.84,12.85,55989,800,0,
20180102 12:08:00,12.86,12.87,12.86,12.87,56488,386,0,
20180102 12:26:00,12.84,12.84,12.84,12.84,56685,100,0,
20180102 12:27:00,12.84,12.84,12.84,12.84,57124,200,0,
20180102 12:28:00,12.84,12.84,12.84,12.84,57224,100,0,
20180102 12:30:00,12.82,12.82,12.82,12.82,57376,150,0,
20180102 12:39:00,12.84,12.84,12.84,12.84,57478,100,0,
20180102 12:42:00,12.82,12.83,12.82,12.83,57753,200,0,
20180102 12:47:00,12.81,12.81,12.81,12.81,58163,400,0,
20180102 12:50:00,12.82,12.82,12.82,12.82,58463,300,0,
20180102 12:52:00,12.82,12.82,12.81,12.81,64477,5990,0,
20180102 12:53:00,12.81,12.81,12.81,12.81,64577,100,0,
20180102 12:54:00,12.8,12.8,12.8,12.8,64677,100,0,
20180102 12:55:00,12.8,12.8,12.76,12.76,85652,20800,0,
20180102 12:56:00,12.7805,12.7805,12.7805,12.7805,85863,200,0,
20180102 13:02:00,12.78,12.78,12.78,12.78,85965,100,0,
20180102 13:04:00,12.78,12.78,12.78,12.78,86165,100,0,
20180102 13:15:00,12.77,12.77,12.77,12.77,86676,300,0,
20180102 13:17:00,12.78,12.78,12.78,12.78,86777,100,0,
20180102 13:18:00,12.78,12.79,12.78,12.78,87157,300,0,
20180102 13:19:00,12.7875,12.7875,12.785,12.785,88157,1000,0,
20180102 13:20:00,12.79,12.81,12.785,12.81,91853,3234,0,
20180102 13:22:00,12.815,12.815,12.815,12.815,91959,100,0,
20180102 13:24:00,12.81,12.81,12.8,12.8,93215,1100,0,
20180102 13:25:00,12.81,12.81,12.81,12.81,93315,100,0,
20180102 13:28:00,12.8,12.8,12.8,12.8,93515,100,0,
20180102 13:31:00,12.805,12.805,12.805,12.805,93915,400,0,
20180102 13:32:00,12.7901,12.8,12.7901,12.8,101216,7177,0,
20180102 13:34:00,12.79,12.79,12.79,12.79,101422,200,0,
20180102 13:37:00,12.79,12.79,12.79,12.79,101522,100,0,
20180102 13:40:00,12.79,12.795,12.79,12.795,102123,600,0,
20180102 13:42:00,12.795,12.795,12.79,12.79,102736,380,0,
20180102 13:43:00,12.79,12.79,12.79,12.79,103036,300,0,
20180102 13:44:00,12.79,12.79,12.79,12.79,103591,419,0,
20180102 13:48:00,12.79,12.79,12.79,12.79,103741,100,0,
20180102 13:50:00,12.7938,12.7938,12.7938,12.7938,103942,200,0,
20180102 13:51:00,12.79,12.79,12.79,12.79,104641,500,0,
20180102 13:52:00,12.79,12.79,12.79,12.79,105341,700,0,
20180102 13:53:00,12.79,12.79,12.79,12.79,105832,400,0,
20180102 13:54:00,12.8,12.8,12.78,12.78,106689,850,0,
20180102 14:02:00,12.79,12.79,12.79,12.79,107144,300,0,
20180102 14:04:00,12.78,12.78,12.76,12.76,109948,2311,0,
20180102 14:05:00,12.7699,12.77,12.7699,12.77,110548,500,0,
20180102 14:06:00,12.77,12.78,12.77,12.78,112147,1591,0,
20180102 14:13:00,12.78,12.78,12.78,12.78,112853,700,0,
20180102 14:16:00,12.775,12.775,12.775,12.775,112987,100,0,
20180102 14:19:00,12.77,12.77,12.77,12.77,113187,200,0,
20180102 14:21:00,12.77,12.77,12.77,12.77,113392,100,0,
20180102 14:22:00,12.77,12.77,12.77,12.77,113492,100,0,
20180102 14:23:00,12.77,12.77,12.77,12.77,113592,100,0,
20180102 14:24:00,12.79,12.79,12.79,12.79,113716,123,0,
20180102 14:31:00,12.78,12.78,12.78,12.78,114485,558,0,
20180102 14:32:00,12.78,12.78,12.78,12.78,114985,400,0,
20180102 14:33:00,12.7869,12.7869,12.7869,12.7869,115199,169,0,
20180102 14:35:00,12.78,12.78,12.77,12.77,115593,300,0,
20180102 14:39:00,12.78,12.78,12.78,12.78,115793,100,0,
20180102 14:42:00,12.78,12.78,12.775,12.775,116188,300,0,
20180102 14:44:00,12.78,12.78,12.78,12.78,117060,700,0,
20180102 14:49:00,12.785,12.785,12.785,12.785,117174,100,0,
20180102 14:52:00,12.79,12.79,12.79,12.79,117679,400,0,
20180102 14:53:00,12.79,12.79,12.785,12.79,119739,2001,0,
20180102 14:56:00,12.8,12.8,12.8,12.8,119841,100,0,
20180102 14:58:00,12.8,12.8,12.8,12.8,119944,100,0,
20180102 15:02:00,12.8,12.8,12.8,12.8,120046,100,0,
20180102 15:05:00,12.7977,12.81,12.79,12.79,121352,1000,0,
20180102 15:07:00,12.8,12.8,12.8,12.8,121452,100,0,
20180102 15:09:00,12.79,12.79,12.79,12.79,122182,467,0,
20180102 15:10:00,12.79,12.79,12.79,12.79,122382,200,0,
20180102 15:12:00,12.79,12.79,12.79,12.79,124482,2100,0,
20180102 15:20:00,12.78,12.78,12.78,12.78,124741,100,0,
20180102 15:22:00,12.78,12.78,12.78,12.78,125042,223,0,
20180102 15:23:00,12.7923,12.7923,12.7923,12.7923,125345,200,0,
20180102 15:24:00,12.78,12.8,12.78,12.78,126446,1100,0,
20180102 15:27:00,12.79,12.79,12.79,12.79,126550,100,0,
20180102 15:32:00,12.78,12.78,12.78,12.78,127352,800,0,
20180102 15:34:00,12.78,12.78,12.78,12.78,127754,400,0,
20180102 15:35:00,12.78,12.78,12.78,12.78,127854,100,0,
20180102 15:39:00,12.79,12.79,12.79,12.79,128160,200,0,
20180102 15:43:00,12.78,12.78,12.78,12.78,128465,300,0,
20180102 15:45:00,12.785,12.8,12.78,12.79,130338,1700,0,
20180102 15:47:00,12.78,12.78,12.78,12.78,130442,100,0,
20180102 15:48:00,12.79,12.79,12.78,12.78,131063,500,0,
20180102 15:49:00,12.7834,12.7834,12.7834,12.7834,131365,200,0,
20180102 15:50:00,12.78,12.8,12.78,12.79,132872,1300,0,
20180102 15:51:00,12.79,12.79,12.78,12.79,134230,1226,0,
20180102 15:53:00,12.79,12.79,12.79,12.79,135953,1278,0,
20180102 15:54:00,12.79,12.79,12.78,12.785,142708,5851,0,
20180102 15:55:00,12.785,12.79,12.78,12.785,143514,600,0,
20180102 15:56:00,12.785,12.79,12.785,12.785,144810,1200,0,
20180102 15:57:00,12.785,12.785,12.78,12.78,145700,698,0,
20180102 15:58:00,12.78,12.79,12.78,12.78,146907,552,0,
20180102 15:59:00,12.78,12.8,12.78,12.8,154061,4910,0,
20180102 16:02:00,12.79,12.79,12.79,12.79,164625,10564,0,
