TimeStamp,Open,High,Low,Close,TotalVolume,PeriodVolume,NumberOfTrades
20180102 09:30:00,24.88,24.88,24.88,24.88,1088,1088,0,
20180102 09:31:00,24.89,25,24.86,24.86,3888,2800,0,
20180102 09:32:00,24.97,25,24.95,25,4988,1100,0,
20180102 09:33:00,24.87,24.87,24.67,24.73,5712,600,0,
20180102 09:35:00,24.955,24.955,24.7,24.7,6202,200,0,
20180102 09:40:00,24.93,24.93,24.93,24.93,6517,100,0,
20180102 09:44:00,24.71,24.71,24.71,24.71,6958,100,0,
20180102 09:45:00,24.79,24.82,24.79,24.82,8096,1000,0,
20180102 09:46:00,24.75,24.75,24.71,24.71,8460,200,0,
20180102 09:47:00,24.75,24.75,24.75,24.75,10418,1800,0,
20180102 09:48:00,24.75,24.8,24.75,24.8,12847,2300,0,
20180102 09:49:00,24.81,24.81,24.81,24.81,12992,100,0,
20180102 09:50:00,24.8,24.8,24.745,24.745,15457,2270,0,
20180102 09:52:00,24.72,24.73,24.72,24.73,15859,200,0,
20180102 09:53:00,24.66,24.71,24.66,24.71,16297,200,0,
20180102 09:54:00,24.71,24.71,24.67,24.67,18452,2100,0,
20180102 09:55:00,24.69,24.69,24.69,24.69,18579,100,0,
20180102 09:58:00,24.645,24.645,24.645,24.645,18866,100,0,
20180102 10:00:00,24.68,24.68,24.68,24.68,19318,200,0,
20180102 10:01:00,24.64,24.64,24.64,24.64,19418,100,0,
20180102 10:02:00,24.695,24.73,24.695,24.71,19972,400,0,
20180102 10:03:00,24.74,24.74,24.7372,24.74,20872,900,0,
20180102 10:05:00,24.735,24.735,24.68,24.71,22234,1100,0,
20180102 10:06:00,24.685,24.685,24.64,24.64,23034,700,0,
20180102 10:07:00,24.585,24.585,24.585,24.585,23144,100,0,
20180102 10:08:00,24.62,24.64,24.62,24.64,24277,1100,0,
20180102 10:09:00,24.615,24.615,24.615,24.615,24577,200,0,
20180102 10:10:00,24.56,24.56,24.56,24.56,24782,200,0,
20180102 10:11:00,24.6,24.64,24.6,24.64,26282,1400,0,
20180102 10:13:00,24.63,24.64,24.63,24.63,26912,600,0,
20180102 10:15:00,24.58,24.64,24.58,24.64,27222,253,0,
20180102 10:16:00,24.61,24.63,24.61,24.63,27602,200,0,
20180102 10:17:00,24.61,24.61,24.605,24.605,28102,400,0,
20180102 10:18:00,24.63,24.63,24.59,24.59,28744,600,0,
20180102 10:19:00,24.605,24.605,24.57,24.57,29790,700,0,
20180102 10:20:00,24.565,24.565,24.53,24.53,30290,500,0,
20180102 10:21:00,24.56,24.56,24.46,24.46,31233,900,0,
20180102 10:22:00,24.46,24.46,24.44,24.44,32063,600,0,
20180102 10:23:00,24.4,24.44,24.36,24.36,33263,1200,0,
20180102 10:24:00,24.36,24.36,24.36,24.36,33702,200,0,
20180102 10:25:00,24.355,24.45,24.355,24.44,37210,3124,0,
20180102 10:26:00,24.41,24.41,24.41,24.41,37310,100,0,
